Gene	exon_phyloP	TSG	OG	NG
HMGA2	0.944338142857143	0	1	0
SRSF3	2.4879287	0	1	0
EXT1	3.2224265624999995	1	0	0
UBE2D3	1.825283347222223	0	0	0
SETD1B	2.0563811363636364	1	0	0
COL1A2	2.3834379066666664	0	0	0
ARRDC3	2.8725832000000002	0	0	0
TNFRSF1A	0.4744883157894737	0	0	0
TFAP2A	2.3003220434782605	0	0	0
HSPA1B	2.3169925	0	0	0
NR4A3	2.4069583636363636	0	1	0
FRMD6	1.654244549019608	0	0	0
ARHGAP21	2.126859741379311	0	0	0
ARID1B	2.013392282051283	1	0	0
ZC3H12A	1.8839507999999998	0	0	0
TWIST1	1.3694895	0	0	0
SKI	1.3269786923076923	0	1	0
PPP1R15B	0.6049265	0	0	0
MCL1	1.0074992857142857	0	0	0
TWIST2	1.188658	0	0	0
NFE2L1	1.6692599807692305	0	0	0
DUSP1	2.25562825	0	0	0
DUSP5	1.7695024285714285	0	0	0
EEF1A1	2.46810548	0	0	0
RAP2B	0.691932	0	0	0
SOX4	1.9263536666666667	0	0	0
ZYX	1.090079033333333	0	0	0
SATB2	2.0680324666666663	0	0	0
IRF2BPL	1.832348	0	0	0
DCBLD2	1.5960004166666664	0	0	0
CPEB2	2.8794916363636363	0	0	0
PTMA	1.2963569000000001	0	0	0
ANP32A	1.6645031428571426	0	0	0
KLF9	1.377281	0	0	0
ARID5B	2.761674083333333	0	0	0
TCF7L2	3.0334184897959178	0	1	0
ING1	1.066460888888889	0	0	0
ZBTB7B	1.1854961052631579	0	0	0
COL1A1	2.4583937260273983	0	0	0
IGF2BP2	2.1161469166666667	1	0	0
BBC3	0.5498852222222221	0	0	0
PLK2	2.3142594146341455	0	0	0
MT-CYB	1.554489	0	0	0
ALKBH5	1.6451074285714284	0	0	0
IRS2	1.1924994999999998	0	0	0
ZFHX4	2.3639637000000002	0	0	0
PHLDA1	0.8530099999999999	0	0	0
SPRY4	1.0068097500000002	0	0	0
TSC22D1	1.8905105384615386	0	0	0
RBMS3	2.5015343720930225	0	0	0
SPN	0.17044440000000002	0	0	0
CITED2	1.5453044	0	0	0
WNK1	2.2186738142857143	0	0	0
DDX3X	2.3910304642857136	1	0	0
BCOR	1.8128660312499998	1	0	0
CTDSP1	1.3001567428571428	0	0	0
RND3	1.9542869500000006	0	0	0
JUN	1.517057	0	1	0
MAT2B	1.2970014545454545	0	0	0
TRIB2	1.538309375	0	0	0
MTCO1P12	1.57348	0	0	0
BMI1	2.2688101724137932	0	0	0
SPRED1	1.4773380833333334	0	0	0
CDK13	2.457118391304349	0	0	0
WEE1	2.13139762962963	0	0	0
HEXIM1	0.905871	0	0	0
CDH11	1.3565968695652175	1	0	0
ADAMTS1	1.6355286190476188	0	0	0
CCDC80	1.7364253750000003	0	0	0
FZD7	2.070508	0	0	0
FOXC1	1.66015	0	0	0
BAZ2A	1.852890633802817	0	0	0
ARHGEF17	2.265343580645161	0	0	0
KLF7	2.06367864	0	0	0
PKM2	1.4947529285714292	0	0	0
MSL2	1.4114814999999998	0	0	0
TGFB2	2.3177179999999997	0	0	0
KLF16	0.5732151428571429	0	0	0
CRIM1	1.8315218965517244	0	0	0
JAG1	2.95560729032258	0	0	0
HNRNPH1	1.538383394736841	0	0	0
FAT1	2.2655296666666667	1	0	0
BCL2L1	1.4359612352941173	0	0	0
DLX2	1.9217944999999999	0	0	0
JARID2	2.6546404400000005	0	0	0
C10ORF140	1.4711357500000002	0	0	0
LASP1	1.3552976363636364	0	0	0
NIPBL	3.006450116666667	0	0	0
ALCAM	1.56327175	0	0	0
AKIRIN2	2.411546857142857	0	0	0
ZNF703	1.5010775	0	0	0
YWHAZ	1.6910067735849061	0	0	0
TBX5	2.2600621250000006	0	0	0
ZNF462	2.15304343902439	0	0	0
SAMD4A	1.6814671666666665	0	0	0
CDC42EP3	0.4012850833333333	0	0	0
SPRED2	2.0264393	0	0	0
TLE3	1.6870388999999997	0	0	0
BMPR2	2.533208625	0	0	0
IGF1R	2.064326714285714	0	0	0
MLLT6	1.7764756578947367	0	0	0
TOB2	1.2345335	0	0	0
ZFAND5	1.9118289000000002	0	0	0
ZSWIM6	3.3058125714285715	0	0	0
PAWR	1.0282128965517243	0	0	0
ZMIZ1	2.590650709677419	0	0	0
HSPA8	2.025493275862069	0	0	0
FOXP1	2.1575739803921565	0	1	0
HNRNPD	1.875299416666667	0	0	0
NRP2	1.8154415555555554	0	0	0
TLE4	2.30095572972973	0	0	0
SMAD6	1.8316593333333333	0	0	0
TRA2B	1.7849039047619049	0	0	0
OSR1	0.9857463750000001	0	0	0
VEGFA	1.2426381578947376	0	0	0
PBX1	1.5384451224489795	0	1	0
JUNB	1.661241	0	0	0
STIM2	1.6146354	0	0	0
C6ORF62	2.556975	0	0	0
DUSP4	1.2271918571428573	0	0	0
LZTS2	1.2361037333333336	0	0	0
CCNL1	1.6630570000000007	0	0	0
FDFT1	1.2839264444444443	0	0	0
C3ORF58	1.701813	0	0	1
C17ORF59	1.065513	0	0	0
PURB	1.25522	0	0	0
ACTB	1.8478156176470586	0	0	0
LRP1	2.5652526491228076	0	0	0
EFNA5	2.3356195833333335	0	0	0
NAB2	1.5639471249999999	1	0	0
KLF3	1.2819833	0	0	0
SOS1	2.60781625	0	0	0
CDKN1B	1.3804939	1	0	0
MICA	-0.12959342857142858	0	0	0
APOLD1	1.5699857391304346	0	0	0
NNMT	0.5642898947368421	0	0	0
NUDT4	1.3811012631578947	0	0	0
HIVEP1	1.5031846521739127	0	0	0
ARF6	1.6342625	0	0	0
NFIA	2.5290502972972972	0	0	0
VCPIP1	2.404573	0	0	0
PCDH10	2.4373778571428573	0	0	0
MAT2A	2.0074932105263157	0	0	0
SPARC	2.084116222222222	0	0	0
PTGER4	1.5975636666666666	0	0	0
SIX1	1.305572909090909	0	1	0
SMARCA2	2.571050359375	0	0	0
BCL2L11	0.7620226999999998	0	0	0
CAV1	1.5044904705882356	0	0	0
LAMC1	2.289315605263158	0	0	0
MLL2	2.0690589130434787	0	0	0
NRIP1	1.1117071250000001	0	0	0
MAMLD1	0.6160453684210526	0	0	0
CSDA	1.1530957708333336	0	0	0
SPRY1	0.9267872307692309	0	0	0
TENC1	1.488413383561644	0	0	0
ID3	1.3874795714285713	1	0	0
KDM5B	2.154373617021276	0	0	0
DR1	1.6669220000000002	0	0	0
DHRS3	1.789321181818182	0	0	0
PCF11	2.5841966666666667	0	0	0
CNN3	1.9859731363636366	0	0	0
TRIO	2.54431434	0	0	0
CFLAR	0.398456649122807	0	0	0
BMP4	2.0569626842105264	0	0	1
ZC3H4	1.95947296	0	0	0
CXXC5	1.1839678	0	0	0
GLS	2.2667060212765957	0	0	0
SEPT11	1.468048956521739	0	0	0
PTPRG	2.57647956097561	0	0	0
FUBP1	2.934576930232559	0	1	0
MIDN	1.4202187647058824	0	0	0
SOX9	2.2495366666666667	0	0	0
CD44	0.847273031578948	0	0	0
UGCG	2.7355755	0	0	0
NFE2L2	1.0519943783783785	1	1	0
ZBTB7A	1.1569074000000001	0	0	0
ATP2A2	2.4432502	0	0	0
FOXC2	1.954991	0	0	0
PCDH18	2.1596488333333332	0	0	0
ZCCHC2	1.4159209375000001	0	0	0
MID1IP1	0.7712031428571429	0	0	1
UBTF	2.075404777777777	0	0	0
MLLT3	2.0663191666666667	0	0	0
KIAA1539	1.5303543333333334	0	0	0
SNX33	1.7949065999999998	0	0	0
FST	2.8656343333333334	0	0	0
HOXB4	1.2710965	0	0	0
RPL3	1.6538673249999996	0	0	0
RNASE4	0.365942	0	0	0
SALL1	2.5182843333333333	0	0	0
ATXN1	0.8625586153846154	0	0	0
BCL3	1.0562385925925926	0	1	0
MAML3	1.3160003076923077	0	0	0
SNX18	1.74983975	0	0	0
CAMK2D	2.5590465217391305	0	0	0
ACTN1	2.5911132698412684	0	0	0
SLC2A1	1.7019925499999995	0	0	0
KLF10	1.2592056666666667	0	0	0
EIF4A2	2.0145936666666655	0	0	0
KIAA1949	0.8619634999999999	0	0	0
KLF12	2.474133	0	0	0
TCF4	2.2553581727272727	0	0	0
EFNB2	2.4106526	0	0	0
USP9X	3.0058594067796607	0	0	0
FZD8	2.038278	0	0	0
ARHGEF12	1.8460866393442625	1	0	0
ST3GAL1	0.39816663414634146	0	0	0
ATP1A1	2.365654774999999	1	1	0
GAPDH	1.3615325666666664	0	0	0
HNRNPU	2.3794323214285713	0	0	0
HSPA5	2.7990891249999996	0	0	0
VCAN	1.8432959428571427	0	0	0
FOXF1	1.6352030000000002	0	0	0
GABPB1	2.108657064516129	0	0	0
ETV1	2.130472771929824	0	1	0
ARF4	1.8204450454545453	0	0	0
PNRC1	0.9369775000000001	0	0	0
CDC42BPA	2.555257610169492	0	0	0
FTH1	1.540175333333333	0	0	0
TXNIP	1.5636918823529409	0	0	0
ERRFI1	0.7631210833333334	0	0	0
TIPARP	1.6373361874999997	0	0	0
PRRX1	1.8515473333333334	0	0	0
FEM1B	1.35556575	0	0	0
TEAD1	2.2844861923076922	0	0	0
CPEB4	2.6412281923076923	0	0	0
TRERF1	1.7065156250000004	0	0	0
TRIB1	1.2445625555555555	0	0	0
NFIL3	0.9996265	0	0	0
FSCN1	1.5401865	0	0	0
CALM2	2.2087706315789473	0	0	0
STAG2	2.417052217391306	1	0	0
TUBB3	1.460563914285714	0	0	0
IGF2BP1	2.08745776	0	0	0
VGLL4	1.209575871794872	0	0	0
GIT2	1.6807085789473684	0	0	0
TRPS1	1.9208477096774192	0	0	0
SMAD3	1.7158778055555564	1	0	0
HNRNPUL1	1.6625800740740735	0	0	0
ELL2	2.150158535714286	0	0	0
MGEA5	2.71136275	0	0	0
CLTC	3.043667770491803	1	0	0
STXBP5	2.9090496578947374	0	0	0
ATF4	0.8905247142857143	0	0	0
JUB	1.4908355454545457	0	0	0
CDKN2C	1.297731142857143	1	0	0
PRPF4B	2.440185068181817	0	0	0
SERBP1	2.431298958333333	0	0	0
SDC4	0.6742763333333333	0	0	0
ERBB2IP	2.179575982758621	0	0	0
MAP7D1	1.358499181818182	0	0	0
MLL	2.3341315156249998	0	0	0
HES1	2.0569196666666665	0	0	0
SLIT2	2.8118059666666664	0	0	0
LRIG3	2.0111829714285716	1	0	0
HUWE1	2.703262256880733	0	0	0
HIC1	1.580554769230769	0	0	0
BHLHE41	2.248022555555556	0	0	0
AAK1	1.8839465897435894	0	0	0
CDC42SE1	0.7731167894736843	0	0	0
HNRNPF	0.878104076923077	0	0	0
SCD	1.7168943333333333	0	0	0
VGLL3	1.535987888888889	0	0	0
ARSJ	1.0349513333333333	0	0	1
HIVEP2	1.9232240769230768	0	0	0
WDR26	2.6260289487179476	0	0	0
SOX12	0.7223676666666666	0	0	0
B4GALT1	1.5899327777777776	0	0	0
MAN1A2	2.3778110000000003	0	0	0
SLC16A1	1.3573954210526316	0	0	0
COL12A1	2.3297570235294116	0	0	0
MYL12A	1.090588652173913	0	0	0
MIER1	2.0296190937500005	0	0	0
AMD1	2.8946185294117646	0	0	0
MXI1	1.7262387499999996	0	0	0
ETV6	1.4481190555555556	1	0	0
SP3	2.1387480588235293	0	0	0
SQLE	1.809714727272727	0	0	0
RHOF	0.7832274499999999	0	0	0
ERF	2.0314907058823533	0	0	1
ZBTB37	1.8958223333333333	0	0	0
SEPT10	1.3347169500000002	0	0	0
USP38	2.3498624285714285	0	0	0
ARF1	1.6653439142857147	0	0	0
WBP4	1.5956310000000002	0	0	0
CHD3	2.435917625	0	0	0
KLF4	1.2736737692307694	1	1	0
GADD45B	1.1134909285714287	0	0	0
EP300	3.0528129032258056	1	0	0
LAPTM4A	2.415302777777778	0	0	0
RUSC1	0.8525063846153847	0	0	0
MSL1	2.12272871875	0	0	0
TOB1	1.6952717142857145	0	0	0
FEM1C	1.5868226666666667	0	0	0
BAG3	0.9697100000000001	0	0	0
WWTR1	1.145450742857143	0	1	0
MEF2D	1.77462924	0	0	0
ENO1	1.9028235	0	0	0
STC2	2.0571707499999996	0	0	0
ZEB1	1.9586582666666668	0	1	0
CDKN1A	0.35751164705882355	1	1	0
MYCBP2	3.2178573873873875	0	0	0
COL3A1	2.35401978125	0	0	1
MSH5	1.3838824428571426	0	0	0
XPO1	2.7260462602739732	0	1	0
FBXO11	2.331322297872341	1	0	0
KNTC1	1.4315010978260867	0	0	0
HNRNPL	1.9453725833333335	0	0	0
ADAMTS6	2.9698602000000007	0	0	0
USPL1	1.1450922	0	0	0
FBXL14	1.6338745000000001	0	0	0
RNF139	1.58107175	0	0	0
ITPRIP	0.6593888750000001	0	0	0
CDK17	2.450252125	0	0	0
NT5E	1.5833562500000002	0	0	0
GATA3	2.136749538461538	1	1	0
NUAK1	2.6763632307692307	0	0	0
TLE1	2.958989800000001	0	0	0
PICALM	2.6582280461538463	0	0	0
SC4MOL	1.1456824615384615	0	0	0
ENC1	1.3651582857142859	0	0	0
YY1	2.309103	0	0	0
REV3L	2.3261803636363636	0	0	0
PHF12	1.8685107450980394	0	0	0
MAP4K4	2.4547370499999994	0	0	0
KLHL21	0.9642033333333333	0	0	0
PBX3	2.7656330357142855	0	0	0
SRF	2.3707162222222222	0	0	1
SGMS1	1.2141816538461538	0	0	0
SMTN	1.2533839375	0	0	1
PER1	1.610795984375	1	0	0
F3	0.4837106666666667	0	0	0
EEF2	2.514316185185185	0	0	0
MYH9	2.654126854838709	1	0	0
FGF5	1.021629153846154	0	0	0
SEMA5A	1.771890321428571	0	0	0
FZD1	1.774018	0	0	0
MAF	1.4880938000000001	0	1	0
RBPJ	2.0588978787878798	0	0	0
PTTG1IP	0.5980818333333333	0	0	0
SLC1A5	1.1012448124999998	0	0	0
PFN2	1.9308408157894736	0	0	0
SLC20A1	2.005066064516129	0	0	0
YAP1	2.065142047619048	0	0	0
SNX1	1.8423504186046507	0	0	0
SHB	1.6513874999999996	0	0	0
SERPINH1	1.160097212121212	0	0	0
GAS1	0.965503	0	0	0
GIT1	2.1815792549019606	0	0	0
CLK1	1.4308660000000002	0	0	0
PHF15	1.6520011333333326	0	0	0
EPHA4	2.558084375	0	0	0
UBE2H	2.315173192307692	0	0	0
TRHDE	2.1231079999999998	0	0	0
DNAJB4	1.524284	0	0	0
GJA1	1.6289695	0	0	0
ZBTB10	1.7970468571428575	0	0	0
CIC	1.8485676829268296	1	1	0
AMOTL2	1.250475153846154	0	0	0
ZNF292	1.7765145666666666	0	0	0
PTBP1	1.6977417592592596	0	0	0
KDM6A	2.8934590416666666	1	1	0
ACTN4	2.549524585365854	0	0	0
PPP1R12A	2.3355521917808217	0	0	0
UQCRH	1.3720142727272726	0	0	0
PCBP1	2.017541	0	0	0
GABBR1	1.6859580000000005	0	0	0
CBLB	1.8320389142857145	1	0	0
TRAM2	2.599742	0	0	0
ASPH	1.0546146829268288	0	0	0
OBFC2A	1.1407704799999998	0	0	0
BRI3	0.68825625	0	0	0
DPYSL2	2.3420395925925925	0	0	0
PTGES3	2.06755155	0	0	0
CSNK1E	1.5312815116279075	0	0	0
S100A10	0.7844754	0	0	0
IGFBP4	1.3578755714285715	0	0	0
RBM15	2.0743054	0	0	0
SEPT2	1.1744234895833334	0	0	0
CYP1B1	0.8782265294117648	0	0	0
FAT4	2.266198318181818	1	0	0
EGR1	1.987936	0	0	0
KLF13	0.6515726666666666	0	0	0
SYNCRIP	3.212791625	0	0	0
LRFN5	1.261845866666667	0	0	0
YBX1	2.6308015	0	0	0
GLUD1	2.0573306000000002	0	0	0
CCND2	1.8884495454545454	0	1	0
AHR	1.7410529473684213	0	0	0
IL6ST	1.2969917804878053	0	1	0
MAML2	1.5937088	0	1	0
MEX3B	1.886339666666667	0	0	1
CACNB3	1.7563716206896554	0	0	0
TSPAN5	1.666760103448276	0	0	0
MDM2	1.0000078235294119	0	1	0
RANBP9	3.0123321666666674	0	0	0
CRKL	1.688638	0	0	0
NRM	0.9422174666666667	0	0	0
PABPC1	2.8373656363636375	1	1	0
UGP2	1.6823423088235296	0	0	0
RBBP6	2.238851000000001	0	0	0
SOCS3	0.8567855000000001	0	0	0
TSHZ3	1.4993300000000003	0	0	0
SOX11	1.368313	0	0	0
KDM2B	1.9748710819672133	0	0	0
RABGGTB	1.4241934878048779	0	0	0
ALDOA	1.4484706285714288	0	0	0
KIF26B	2.0019104090909092	0	0	0
IVNS1ABP	2.258883125	0	0	0
CDC42EP4	0.6029459000000001	0	0	0
FANK1	0.6215969999999998	0	0	0
TMEM165	1.2545536666666666	0	0	0
SAP30	1.4865367142857142	0	0	0
LPHN2	2.8500774406779663	0	0	0
ODZ4	2.3902526481481483	0	0	0
ACBD5	1.5542330740740737	0	0	0
TRAF7	2.08680893939394	1	0	0
FOS	1.8242536818181818	0	0	0
ARL4C	1.1948623333333332	0	0	0
C6ORF145	1.3287391666666666	0	0	0
PPAP2B	1.5121040000000001	0	0	0
PRDX6	1.6277537777777777	0	0	0
DUSP7	1.7855484285714287	0	0	0
RPRD2	2.0713046	0	0	0
TOMM70A	2.695067875	0	0	0
ZMYND8	2.59733388	0	0	0
CEBPD	0.939552	0	0	0
RPL28	0.6941637083333337	0	0	0
ATP2B4	2.265645828571428	0	0	0
RNF168	0.778596125	0	0	0
EPHA2	2.0958104090909093	0	0	0
TPM2	2.3195489230769235	0	0	0
ITGA3	1.3922664999999996	0	0	0
CD164	0.5946359130434783	0	0	0
SLC38A1	1.262993083333334	0	0	0
LARP1	2.3130724285714286	0	0	0
CTNNB1	2.4586458125	0	1	0
SFPQ	1.8538395769230773	1	0	0
ARHGAP5	1.8484012799999994	0	1	0
PLOD2	1.9116475945945943	0	0	0
RPS12	2.6370455	0	0	0
CCNI	1.8805160399999996	0	0	0
ITGB8	1.317759318181818	0	0	0
FAM120A	2.3713886428571427	0	0	0
FZD2	2.710773	0	0	0
DAB2	1.3342553749999997	0	0	0
ACTR3	2.3901113103448277	0	0	0
MAP3K8	1.4788400952380953	0	0	0
LIN54	1.8626909411764707	0	0	0
PANK2	1.4954077777777777	0	0	0
ALOXE3	1.3287726818181815	0	0	1
BCORL1	1.4630976153846154	1	1	0
FOXO1	1.7130546	1	1	0
MAN1A1	1.9854980588235294	0	0	0
PVRL2	0.9268323333333333	0	0	0
PTPN14	2.045239107142857	0	0	0
BAZ2B	2.4254057464788716	0	0	0
SNAI2	1.5983923333333336	0	0	0
KCTD1	1.4955814800000002	0	0	0
CEBPB	1.6084	0	0	0
EFNB1	1.5622327999999999	0	0	0
NEGR1	1.815590176470588	0	0	0
DDX6	2.6140645600000005	0	1	0
NPM1	1.3010387647058823	0	1	0
PPM1D	1.9068199090909095	0	1	0
BNC2	2.3488782258064513	0	0	0
PVRL3	1.2738803793103448	0	0	0
RAP2A	1.7301545999999999	0	0	0
E2F3	2.4364981	0	0	0
SIAH2	1.6311094285714287	0	0	0
MYADM	0.6125478235294117	0	0	0
FBXO5	0.5095671428571429	0	0	0
HES7	1.4246385	0	0	0
ANXA5	1.0711062	0	0	0
ATXN2	2.1662282571428575	0	0	0
CTDSP2	2.1059056538461545	0	0	0
HDAC7	1.3755725862068968	0	0	0
ROCK1	2.8315491860465114	0	0	0
CDCA8	1.1367936923076924	0	0	0
WTAP	2.2356193571428573	0	0	0
PFN1	1.2109215	0	0	0
BBX	1.8867164520547948	0	0	0
CD63	0.9625164999999998	0	0	0
MEX3C	1.5781934	0	0	0
GTPBP1	1.873839250000001	0	0	0
FLNA	2.334519666666666	0	0	0
KCTD12	1.2355166666666666	0	0	0
NHLRC3	1.1018123076923076	0	0	1
TMEM30A	1.6020501538461538	0	0	0
TUBA1C	1.6232111304347825	0	0	0
MAP3K1	2.651159272727273	1	1	0
G3BP1	1.7808527575757573	0	0	0
MEF2C	2.8658299682539683	0	0	0
MFHAS1	1.0594304	0	0	0
FUS	1.6937258205128212	1	0	0
NBEAL1	2.346723256756757	0	0	0
SEPHS1	2.231313142857142	0	0	0
RASSF1	1.3710095625	0	0	0
DUSP10	1.7763766666666667	0	0	0
OSBPL3	1.8752009777777776	0	0	0
SLC12A2	2.4964121749999997	0	0	0
TNKS1BP1	0.84317568	0	0	0
PHF17	1.7589290882352941	0	0	0
ARID4A	2.377209279069767	0	0	0
HNRNPR	2.322760029411765	0	0	0
H3F3B	0.9900086551724137	0	1	0
PAPD7	1.736897227272727	0	0	0
NR4A2	2.5872583448275854	0	0	0
PGRMC2	1.2436382666666668	0	0	0
MBNL2	2.9564887368421053	0	0	0
SPHK1	0.7074799259259259	0	0	0
KCMF1	1.969838909090909	0	0	0
GARS	2.1549837352941177	0	0	0
PPP3R1	2.4379846	0	0	0
LAMB1	1.913934606557377	0	0	0
EHD1	1.465272535714286	0	0	0
TNFAIP3	1.6819788666666666	1	0	0
VASP	1.2967999166666664	0	0	0
U2AF2	2.0495935862068966	0	0	0
PRKAR1A	1.861665018867925	1	1	0
OGT	2.652823227272727	0	0	0
WRNIP1	2.146365	0	0	1
BDNF	0.9581490555555556	0	0	1
MLXIP	1.464796702702703	0	0	0
CORO1C	1.999152085106383	0	0	0
STK17B	1.2786091666666666	0	0	0
EPAS1	1.7292851470588235	1	1	0
NBR1	1.4441227368421052	0	0	0
CSNK1A1	2.8442834193548387	0	0	0
NFYA	2.871806999999999	0	0	0
CPT1A	1.6561486363636364	0	0	0
FBN1	2.681006975609756	0	0	1
DSTN	1.0930837	0	0	0
FOXD1	0.9435646666666667	0	0	0
IKZF2	2.0761037999999994	0	0	0
GADD45A	1.6007897	0	0	0
CCDC6	2.624729538461539	1	0	0
GLRX5	0.9761224999999999	0	0	0
SH3RF1	2.0538504736842103	0	0	0
PFKFB3	1.6083193250000005	0	0	0
PRKD2	1.9570262222222223	0	0	0
MYL6	1.2173744893617022	0	0	0
SLC30A1	1.586471	0	0	0
HAS2	2.48305525	0	0	0
SQSTM1	0.869988904761905	0	0	0
SESN1	1.9267741363636366	0	0	0
GGNBP2	2.077129967741936	0	0	0
TPP2	2.599681478260869	0	0	0
TAGLN2	0.8902196666666665	0	0	0
TNPO2	2.268891602941177	0	0	0
PPP1R15A	0.34674825	0	0	0
NUFIP2	2.2831011666666665	0	0	0
PHF21A	2.2067847142857153	0	0	0
HEG1	1.013051	0	0	0
TPT1	1.359143451612903	0	0	0
RNF145	2.2360845666666673	0	0	0
RCC2	2.311422	0	0	0
DDX17	2.0631606857142857	0	0	0
PPP1CB	2.085993041666667	0	0	0
FAM108B1	1.8938280000000003	0	0	0
SCAF11	1.1820472790697674	0	0	0
HNRNPA0	1.566225	0	0	0
HOXA1	2.0819364	0	0	0
RAB10	2.49445325	0	0	0
ENAH	1.7724724516129033	0	0	0
RPL27A	1.444518208333333	0	0	0
JUND	1.3153453333333331	0	0	0
UTRN	2.244491279569892	0	0	0
CREBZF	1.3692301818181818	0	0	0
RHOBTB3	1.4668398181818185	0	0	0
C12ORF23	1.0161234	0	0	1
MYO10	2.1029288548387104	0	0	0
PDGFC	1.5723277500000001	0	0	0
NAP1L4	1.2912188387096772	0	0	0
TGFB1	1.4648336923076923	0	0	0
RBM39	2.0035958282828292	0	0	0
ATN1	1.804521625	0	0	0
MAP4K3	2.467446316666666	0	0	0
RNH1	0.1142836507936508	0	0	0
ZFHX3	2.417377666666667	1	0	0
TM9SF2	2.5192345454545455	0	0	0
THAP9	0.7925471999999999	0	0	1
GDI2	2.039409677419355	0	0	0
CSRNP1	1.0027507142857144	0	0	0
NEK7	1.6858808000000003	0	0	0
PCNT	0.5797550819672133	0	0	0
BACH1	0.6595701851851851	0	0	0
TXNDC12	1.4150566875	0	0	0
HIPK3	2.5105341200000004	0	0	0
CALD1	1.277670698412698	0	0	0
DDIT4	1.266665	0	0	0
ADAMTS9	2.096394186440678	0	0	0
PPP3CA	2.5410404705882352	0	0	0
TMSB4X	1.100264375	0	0	0
CNOT8	1.4289745500000002	0	0	0
EMP1	0.6628136800000002	0	0	0
NFKBIZ	1.6283732999999998	0	0	0
PRKCE	1.7682301960784315	0	0	0
RBPMS	1.1580102641509433	0	0	0
INSIG1	1.2295944705882353	0	0	1
OAZ1	1.1908945666666666	0	0	0
RRM2	1.8519206000000006	0	0	0
OTUD4	1.4820174878048782	0	0	0
EIF4G2	2.4089669111111114	0	0	0
STT3B	2.856780034482759	0	0	0
MGAT1	0.5312100181818181	0	0	0
SLC3A2	0.6730127343749999	0	0	0
SMEK2	2.4514243571428573	0	0	0
UBL3	2.420202	0	0	0
ANKRD17	2.7144950545454543	0	0	0
