Gene	ATAC_seq_peak_signal	TSG	OG	NG
CPEB2	76.22203098	0	0	0
PTMA	110.2643288	0	0	0
ANP32A	56.90937429	0	0	0
KLF9	67.25709173	0	0	0
ARID5B	33.63894996	0	0	0
TCF7L2	37.69618108	0	1	0
ING1	114.0899027	0	0	0
ZBTB7B	150.0983237	0	0	0
COL1A1	92.51525612	0	0	0
IGF2BP2	80.10521853	1	0	0
BBC3	53.99469437	0	0	0
PLK2	61.30096019	0	0	0
MT-CYB	0	0	0	0
ALKBH5	95.19452621	0	0	0
IRS2	47.18413431	0	0	0
ZFHX4	31.09765498	0	0	0
PHLDA1	65.09320304	0	0	0
SPRY4	38.01425652	0	0	0
TSC22D1	69.69503604	0	0	0
RBMS3	28.9786279	0	0	0
SPN	35.18532539	0	0	0
CITED2	86.7451884	0	0	0
WNK1	111.2671005	0	0	0
DDX3X	54.11534704	1	0	0
BCOR	20.46297637	1	0	0
CTDSP1	48.16489151	0	0	0
RND3	31.13363037	0	0	0
JUN	141.1097491	0	1	0
MAT2B	78.38410751	0	0	0
TRIB2	44.73232488	0	0	0
MTCO1P12	3.69447826	0	0	0
BMI1	36.02668002	0	0	0
SPRED1	41.04694941	0	0	0
CDK13	86.66105699	0	0	0
WEE1	83.12918845	0	0	0
HEXIM1	106.0962508	0	0	0
CDH11	38.82913229	1	0	0
ADAMTS1	39.34345592	0	0	0
CCDC80	19.51785649	0	0	0
FZD7	42.59903511	0	0	0
FOXC1	31.78770312	0	0	0
BAZ2A	162.355979	0	0	0
ARHGEF17	66.25052326	0	0	0
KLF7	116.72747	0	0	0
PKM2	5.586826993	0	0	0
MSL2	97.60768322	0	0	0
TGFB2	24.33193099	0	0	0
KLF16	76.79793506	0	0	0
CRIM1	32.22205315	0	0	0
JAG1	58.19305914	0	0	0
HNRNPH1	56.79850845	0	0	0
FAT1	36.08985685	1	0	0
BCL2L1	102.8725388	0	0	0
DLX2	39.52673787	0	0	0
JARID2	156.1682568	0	0	0
C10ORF140	44.62091113	0	0	0
LASP1	98.2942383	0	0	0
NIPBL	45.39426958	0	0	0
ALCAM	71.45410842	0	0	0
AKIRIN2	47.19175097	0	0	0
ZNF703	174.5913602	0	0	0
YWHAZ	119.0877522	0	0	0
TBX5	9.880164792	0	0	0
ZNF462	21.64489667	0	0	0
SAMD4A	48.94903448	0	0	0
CDC42EP3	32.77689677	0	0	0
SPRED2	38.83583346	0	0	0
TLE3	62.88501077	0	0	0
BMPR2	56.57382704	0	0	0
IGF1R	144.47636	0	0	0
MLLT6	27.64641169	0	0	0
TOB2	107.2903593	0	0	0
ZFAND5	133.9893506	0	0	0
ZSWIM6	109.2812399	0	0	0
PAWR	44.96820942	0	0	0
ZMIZ1	33.35464973	0	0	0
HSPA8	110.8944902	0	0	0
FOXP1	34.16435551	0	1	0
HNRNPD	61.56623239	0	0	0
NRP2	38.28991085	0	0	0
TLE4	109.7013613	0	0	0
SMAD6	43.09691474	0	0	0
TRA2B	182.0813092	0	0	0
OSR1	16.12675193	0	0	0
VEGFA	254.3465789	0	0	0
PBX1	107.4837963	0	1	0
JUNB	110.3684081	0	0	0
STIM2	58.28538019	0	0	0
C6ORF62	104.2813839	0	0	0
DUSP4	65.50881512	0	0	0
LZTS2	48.98120639	0	0	0
CCNL1	90.5685033	0	0	0
FDFT1	423.0908329	0	0	0
C3ORF58	127.8810683	0	0	1
C17ORF59	60.67617974	0	0	0
PURB	58.29577246	0	0	0
ACTB	105.1102557	0	0	0
LRP1	73.35986712	0	0	0
EFNA5	18.38701206	0	0	0
NAB2	92.57750956	1	0	0
KLF3	52.34126382	0	0	0
SOS1	50.76065993	0	0	0
CDKN1B	72.01751137	1	0	0
MICA	59.9436797	0	0	0
APOLD1	39.8677744	0	0	0
NNMT	35.59172669	0	0	0
NUDT4	64.04553869	0	0	0
HIVEP1	96.47261166	0	0	0
ARF6	64.01743104	0	0	0
NFIA	41.22344032	0	0	0
VCPIP1	146.6378184	0	0	0
PCDH10	63.36080673	0	0	0
MAT2A	108.7284773	0	0	0
SPARC	55.43319397	0	0	0
PTGER4	53.84989536	0	0	0
SIX1	41.43611144	0	1	0
SMARCA2	76.45782511	0	0	0
BCL2L11	74.29579929	0	0	0
CAV1	52.04018066	0	0	0
LAMC1	47.02882656	0	0	0
MLL2	6.063149648	0	0	0
NRIP1	92.18543834	0	0	0
MAMLD1	18.34645065	0	0	0
CSDA	29.65195841	0	0	0
SPRY1	23.96911307	0	0	0
TENC1	79.39031335	0	0	0
ID3	54.13653029	1	0	0
KDM5B	20.76223983	0	0	0
DR1	34.74239217	0	0	0
DHRS3	57.99682648	0	0	0
PCF11	131.254194	0	0	0
CNN3	55.60926535	0	0	0
TRIO	59.35488211	0	0	0
CFLAR	27.53894638	0	0	0
BMP4	42.27516506	0	0	1
ZC3H4	83.13221909	0	0	0
CXXC5	34.17611926	0	0	0
GLS	119.0961408	0	0	0
SEPT11	33.38385913	0	0	0
PTPRG	41.62931054	0	0	0
FUBP1	54.00095786	0	1	0
MIDN	78.81160891	0	0	0
SOX9	52.42535495	0	0	0
CD44	27.47635748	0	0	0
UGCG	55.03272947	0	0	0
NFE2L2	62.76498086	1	1	0
ZBTB7A	71.23187383	0	0	0
ATP2A2	67.25709173	0	0	0
FOXC2	11.6909813	0	0	0
PCDH18	21.8812753	0	0	0
ZCCHC2	98.39903101	0	0	0
MID1IP1	36.35346714	0	0	1
UBTF	46.73169199	0	0	0
MLLT3	50.26845481	0	0	0
KIAA1539	63.87506459	0	0	0
SNX33	26.47609277	0	0	0
FST	14.5333654	0	0	0
HOXB4	14.63535641	0	0	0
RPL3	80.59915025	0	0	0
RNASE4	35.45205714	0	0	0
SALL1	72.4942704	0	0	0
ATXN1	28.98907897	0	0	0
BCL3	64.05619156	0	1	0
MAML3	37.03874326	0	0	0
SNX18	91.39052709	0	0	0
CAMK2D	70.85047128	0	0	0
ACTN1	54.49311359	0	0	0
SLC2A1	71.15417624	0	0	0
KLF10	105.4563533	0	0	0
EIF4A2	75.8612647	0	0	0
KIAA1949	7.969004783	0	0	0
KLF12	1.8914783	0	0	0
TCF4	37.69618108	0	0	0
EFNB2	59.864929	0	0	0
USP9X	69.66207634	0	0	0
FZD8	63.57205684	0	0	0
ARHGEF12	39.64421309	1	0	0
ST3GAL1	116.3666441	0	0	0
ATP1A1	110.1981394	1	1	0
GAPDH	124.2167536	0	0	0
HNRNPU	100.0155891	0	0	0
HSPA5	95.74974902	0	0	0
VCAN	22.90390051	0	0	0
FOXF1	15.67489907	0	0	0
GABPB1	34.94598608	0	0	0
ETV1	91.05653927	0	1	0
ARF4	216.7293325	0	0	0
PNRC1	78.86608921	0	0	0
CDC42BPA	30.13946991	0	0	0
FTH1	90.69221662	0	0	0
TXNIP	110.3514983	0	0	0
ERRFI1	52.16586475	0	0	0
TIPARP	116.7951525	0	0	0
PRRX1	26.92049149	0	0	0
FEM1B	49.64225176	0	0	0
TEAD1	51.38075499	0	0	0
CPEB4	85.84278899	0	0	0
TRERF1	77.75475058	0	0	0
TRIB1	333.1419647	0	0	0
NFIL3	41.75235324	0	0	0
FSCN1	43.18761545	0	0	0
CALM2	64.17382421	0	0	0
STAG2	32.00019542	1	0	0
TUBB3	59.62631581	0	0	0
IGF2BP1	34.2350428	0	0	0
VGLL4	81.77338729	0	0	0
GIT2	34.27247336	0	0	0
TRPS1	22.5762403	0	0	0
SMAD3	37.7333844	1	0	0
HNRNPUL1	131.5783065	0	0	0
ELL2	81.79288202	0	0	0
MGEA5	80.44197045	0	0	0
CLTC	57.96957851	1	0	0
STXBP5	24.87856157	0	0	0
ATF4	81.68156	0	0	0
JUB	22.83307662	0	0	0
CDKN2C	65.01401906	1	0	0
PRPF4B	48.63533488	0	0	0
SERBP1	80.44197045	0	0	0
SDC4	28.89487617	0	0	0
ERBB2IP	51.89184165	0	0	0
MAP7D1	40.3276402	0	0	0
MLL	9.013571961	0	0	0
HES1	70.49917145	0	0	0
SLIT2	17.19333333	0	0	0
LRIG3	48.46949713	1	0	0
HUWE1	50.37049735	0	0	0
HIC1	36.44556639	0	0	0
BHLHE41	264.5120629	0	0	0
AAK1	45.61543475	0	0	0
CDC42SE1	70.35789854	0	0	0
HNRNPF	68.98819333	0	0	0
SCD	55.97066348	0	0	0
VGLL3	34.57372622	0	0	0
ARSJ	10.7881426	0	0	1
HIVEP2	24.83691269	0	0	0
WDR26	26.63434373	0	0	0
SOX12	67.80373496	0	0	0
B4GALT1	79.54899499	0	0	0
MAN1A2	63.34935274	0	0	0
SLC16A1	43.49754357	0	0	0
COL12A1	23.2317306	0	0	0
MYL12A	90.16346169	0	0	0
MIER1	95.46073101	0	0	0
AMD1	85.13398262	0	0	0
MXI1	44.67021561	0	0	0
ETV6	26.1175638	1	0	0
SP3	71.04427057	0	0	0
SQLE	103.5572885	0	0	0
RHOF	69.00933273	0	0	0
ERF	47.85076177	0	0	1
ZBTB37	167.2583752	0	0	0
SEPT10	105.109919	0	0	0
USP38	51.10797454	0	0	0
ARF1	100.5432686	0	0	0
WBP4	86.66867874	0	0	0
CHD3	54.97927723	0	0	0
KLF4	42.65051893	1	1	0
GADD45B	64.11011145	0	0	0
EP300	100.718762	1	0	0
LAPTM4A	104.3788395	0	0	0
RUSC1	167.3709145	0	0	0
MSL1	52.80680366	0	0	0
TOB1	102.8280818	0	0	0
FEM1C	93.58484364	0	0	0
BAG3	41.85934067	0	0	0
WWTR1	78.97777531	0	1	0
MEF2D	197.2107448	0	0	0
ENO1	78.51470197	0	0	0
STC2	50.159141	0	0	0
ZEB1	31.75693585	0	1	0
CDKN1A	58.99272394	1	1	0
MYCBP2	56.22535378	0	0	0
COL3A1	27.68629675	0	0	1
MSH5	113.2221267	0	0	0
XPO1	131.5411839	0	1	0
FBXO11	76.88170031	1	0	0
KNTC1	77.745544	0	0	0
HNRNPL	205.212022	0	0	0
ADAMTS6	40.63848273	0	0	0
USPL1	124.6200526	0	0	0
FBXL14	84.80368418	0	0	0
RNF139	123.2008055	0	0	0
ITPRIP	45.24878716	0	0	0
CDK17	42.86069869	0	0	0
NT5E	39.98067169	0	0	0
GATA3	117.9682228	1	1	0
NUAK1	29.3760276	0	0	0
TLE1	96.93538118	0	0	0
PICALM	80.98989012	0	0	0
SC4MOL	114.3982332	0	0	0
ENC1	38.08861166	0	0	0
YY1	78.77494947	0	0	0
REV3L	57.35844435	0	0	0
PHF12	158.7432028	0	0	0
MAP4K4	19.22495267	0	0	0
KLHL21	62.9547847	0	0	0
PBX3	54.6673455	0	0	0
SRF	98.81257688	0	0	1
SGMS1	90.64145177	0	0	0
SMTN	37.69429224	0	0	1
PER1	417.7443577	1	0	0
F3	42.57700136	0	0	0
EEF2	38.75160056	0	0	0
MYH9	121.4266113	1	0	0
FGF5	17.45857442	0	0	0
SEMA5A	36.29800248	0	0	0
FZD1	70.35205707	0	0	0
MAF	37.73115897	0	1	0
RBPJ	64.78825565	0	0	0
PTTG1IP	43.97686882	0	0	0
SLC1A5	64.67685111	0	0	0
PFN2	34.47110658	0	0	0
SLC20A1	90.38694324	0	0	0
YAP1	44.07867625	0	0	0
SNX1	47.20751249	0	0	0
SHB	76.5673449	0	0	0
SERPINH1	46.88041351	0	0	0
GAS1	40.50250953	0	0	0
GIT1	52.38741294	0	0	0
CLK1	55.82264665	0	0	0
PHF15	46.41333186	0	0	0
EPHA4	50.82789836	0	0	0
UBE2H	51.38389355	0	0	0
TRHDE	45.26067411	0	0	0
DNAJB4	54.00095786	0	0	0
GJA1	17.546577	0	0	0
ZBTB10	69.50423283	0	0	0
CIC	164.6477669	1	1	0
AMOTL2	54.12467748	0	0	0
ZNF292	66.69501451	0	0	0
PTBP1	132.2384473	0	0	0
KDM6A	67.71851579	1	1	0
ACTN4	81.73770529	0	0	0
PPP1R12A	83.00029985	0	0	0
UQCRH	62.11679026	0	0	0
PCBP1	66.50144044	0	0	0
GABBR1	50.34989247	0	0	0
CBLB	145.4959657	1	0	0
TRAM2	43.65279807	0	0	0
ASPH	109.8121228	0	0	0
OBFC2A	12.34370055	0	0	0
BRI3	123.5507344	0	0	0
DPYSL2	66.5012459	0	0	0
PTGES3	117.7381421	0	0	0
CSNK1E	54.3749501	0	0	0
S100A10	62.32929545	0	0	0
IGFBP4	22.20101306	0	0	0
RBM15	142.8097821	0	0	0
SEPT2	112.9751651	0	0	0
CYP1B1	28.5963662	0	0	0
FAT4	16.45728954	1	0	0
EGR1	177.2023778	0	0	0
KLF13	146.9720296	0	0	0
SYNCRIP	106.16618	0	0	0
LRFN5	16.49208475	0	0	0
YBX1	82.12521333	0	0	0
GLUD1	39.32541126	0	0	0
CCND2	110.8435719	0	1	0
AHR	123.2178909	0	0	0
IL6ST	85.22146116	0	1	0
MAML2	47.67331555	0	1	0
MEX3B	69.53483975	0	0	1
CACNB3	53.83373661	0	0	0
TSPAN5	35.25470863	0	0	0
MDM2	1944.528942	0	1	0
RANBP9	180.7106655	0	0	0
CRKL	138.036167	0	0	0
NRM	28.93689891	0	0	0
PABPC1	182.3627577	1	1	0
UGP2	130.2951087	0	0	0
RBBP6	130.7763676	0	0	0
SOCS3	67.71851579	0	0	0
TSHZ3	22.58904442	0	0	0
SOX11	47.14324949	0	0	0
KDM2B	38.60831256	0	0	0
RABGGTB	47.14243602	0	0	0
ALDOA	146.6462781	0	0	0
KIF26B	15.90828806	0	0	0
IVNS1ABP	108.3146578	0	0	0
CDC42EP4	67.00339155	0	0	0
FANK1	18.28010655	0	0	0
TMEM165	299.6416033	0	0	0
SAP30	69.93753395	0	0	0
LPHN2	28.65323908	0	0	0
ODZ4	46.65952882	0	0	0
ACBD5	46.46000896	0	0	0
TRAF7	123.1714387	1	0	0
FOS	105.6841252	0	0	0
ARL4C	23.35172628	0	0	0
C6ORF145	32.36822151	0	0	0
PPAP2B	27.9819493	0	0	0
PRDX6	81.16291368	0	0	0
DUSP7	85.83921252	0	0	0
RPRD2	129.9082731	0	0	0
TOMM70A	91.03317998	0	0	0
ZMYND8	41.30877242	0	0	0
CEBPD	71.19020026	0	0	0
RPL28	56.02275886	0	0	0
ATP2B4	60.63616071	0	0	0
RNF168	49.37273901	0	0	0
EPHA2	23.2176066	0	0	0
TPM2	25.74802858	0	0	0
ITGA3	53.35297907	0	0	0
CD164	75.0786361	0	0	0
SLC38A1	39.88884301	0	0	0
LARP1	69.09011886	0	0	0
CTNNB1	183.8910391	0	1	0
SFPQ	75.99931182	1	0	0
ARHGAP5	68.95269027	0	1	0
PLOD2	43.25758854	0	0	0
RPS12	112.1168333	0	0	0
CCNI	82.32226482	0	0	0
ITGB8	79.91439805	0	0	0
FAM120A	31.01980815	0	0	0
FZD2	55.28501625	0	0	0
DAB2	48.77713728	0	0	0
ACTR3	72.80871434	0	0	0
MAP3K8	61.14133026	0	0	0
LIN54	67.10401602	0	0	0
PANK2	79.12495177	0	0	0
ALOXE3	51.06764228	0	0	1
BCORL1	30.51169841	1	1	0
FOXO1	52.37796163	1	1	0
MAN1A1	58.70882217	0	0	0
PVRL2	66.48306511	0	0	0
PTPN14	57.67403425	0	0	0
BAZ2B	39.17590069	0	0	0
SNAI2	53.3512593	0	0	0
KCTD1	35.31394256	0	0	0
CEBPB	47.71911363	0	0	0
EFNB1	73.06658849	0	0	0
NEGR1	42.22923024	0	0	0
DDX6	36.92843481	0	1	0
NPM1	93.75599654	0	1	0
PPM1D	102.0206371	0	1	0
BNC2	33.7740153	0	0	0
PVRL3	68.72431536	0	0	0
RAP2A	114.7652329	0	0	0
E2F3	706.4122891	0	0	0
SIAH2	107.8829142	0	0	0
MYADM	92.86766846	0	0	0
FBXO5	96.81726672	0	0	0
HES7	5.661698799	0	0	0
ANXA5	61.70291421	0	0	0
ATXN2	29.28847298	0	0	0
CTDSP2	698.7463605	0	0	0
HDAC7	50.24073991	0	0	0
ROCK1	175.5673529	0	0	0
CDCA8	211.9373315	0	0	0
WTAP	63.78920029	0	0	0
PFN1	63.00211733	0	0	0
BBX	73.48368856	0	0	0
CD63	72.0616447	0	0	0
MEX3C	106.7381124	0	0	0
GTPBP1	136.1874086	0	0	0
FLNA	43.64068071	0	0	0
KCTD12	39.76421726	0	0	0
NHLRC3	46.11370681	0	0	1
TMEM30A	76.45854459	0	0	0
TUBA1C	71.59853275	0	0	0
MAP3K1	49.57562631	1	1	0
G3BP1	114.7933877	0	0	0
MEF2C	28.91895309	0	0	0
MFHAS1	13.96239667	0	0	0
FUS	72.455004	1	0	0
NBEAL1	91.73233443	0	0	0
SEPHS1	44.23893123	0	0	0
RASSF1	67.40581118	0	0	0
DUSP10	138.3221472	0	0	0
OSBPL3	95.49789931	0	0	0
SLC12A2	44.81862782	0	0	0
TNKS1BP1	82.24993144	0	0	0
PHF17	26.0487622	0	0	0
ARID4A	110.9420251	0	0	0
HNRNPR	73.98573186	0	0	0
H3F3B	97.88580587	0	1	0
PAPD7	72.78886278	0	0	0
NR4A2	48.21697995	0	0	0
PGRMC2	82.98160262	0	0	0
MBNL2	68.97945935	0	0	0
SPHK1	31.1156337	0	0	0
KCMF1	22.61764893	0	0	0
GARS	61.19805784	0	0	0
PPP3R1	62.96786439	0	0	0
LAMB1	22.62959904	0	0	0
EHD1	107.5818047	0	0	0
TNFAIP3	84.93505639	1	0	0
VASP	92.34208863	0	0	0
U2AF2	88.56251548	0	0	0
PRKAR1A	77.84667778	1	1	0
OGT	28.28376534	0	0	0
WRNIP1	89.93801372	0	0	1
BDNF	45.04257478	0	0	1
MLXIP	50.82789836	0	0	0
CORO1C	87.28209933	0	0	0
STK17B	87.48472267	0	0	0
EPAS1	50.62158647	1	1	0
NBR1	58.08074112	0	0	0
CSNK1A1	99.61168522	0	0	0
NFYA	121.3306457	0	0	0
CPT1A	146.6087058	0	0	0
FBN1	24.20020879	0	0	1
DSTN	54.15982742	0	0	0
FOXD1	36.9066906	0	0	0
IKZF2	27.39558617	0	0	0
GADD45A	74.69436485	0	0	0
CCDC6	73.15057414	1	0	0
GLRX5	124.8045329	0	0	0
SH3RF1	50.49046424	0	0	0
PFKFB3	92.01168493	0	0	0
PRKD2	54.54377588	0	0	0
MYL6	74.25172097	0	0	0
SLC30A1	129.2046755	0	0	0
HAS2	26.3370253	0	0	0
SQSTM1	74.45378173	0	0	0
SESN1	78.77751942	0	0	0
GGNBP2	66.4495269	0	0	0
TPP2	73.35576786	0	0	0
TAGLN2	143.6761821	0	0	0
TNPO2	51.31217293	0	0	0
PPP1R15A	44.21000486	0	0	0
NUFIP2	130.9638253	0	0	0
PHF21A	137.8532856	0	0	0
HEG1	34.43539075	0	0	0
TPT1	121.5875626	0	0	0
RNF145	35.237918	0	0	0
RCC2	16.01474195	0	0	0
DDX17	73.32871475	0	0	0
PPP1CB	70.58766685	0	0	0
FAM108B1	107.4000844	0	0	0
SCAF11	134.1913943	0	0	0
HNRNPA0	99.71153418	0	0	0
HOXA1	39.4715244	0	0	0
RAB10	89.34152036	0	0	0
ENAH	44.51993137	0	0	0
RPL27A	56.48023933	0	0	0
JUND	104.3877279	0	0	0
UTRN	34.38859616	0	0	0
CREBZF	48.42659439	0	0	0
RHOBTB3	40.97429925	0	0	0
C12ORF23	63.80123471	0	0	1
MYO10	44.79040481	0	0	0
PDGFC	26.36779204	0	0	0
NAP1L4	52.33911062	0	0	0
TGFB1	35.87603191	0	0	0
RBM39	114.6943695	0	0	0
ATN1	105.8186219	0	0	0
MAP4K3	39.4128965	0	0	0
RNH1	93.70573551	0	0	0
ZFHX3	22.1952746	1	0	0
TM9SF2	35.49771207	0	0	0
THAP9	94.97830064	0	0	1
GDI2	74.10833403	0	0	0
CSRNP1	69.74327726	0	0	0
NEK7	47.5844637	0	0	0
PCNT	135.0292356	0	0	0
BACH1	57.48730118	0	0	0
TXNDC12	51.45829998	0	0	0
HIPK3	40.87942076	0	0	0
CALD1	39.34719264	0	0	0
DDIT4	103.5631234	0	0	0
ADAMTS9	52.1144083	0	0	0
PPP3CA	85.6214024	0	0	0
TMSB4X	28.66727746	0	0	0
CNOT8	72.30941021	0	0	0
EMP1	70.34598151	0	0	0
NFKBIZ	115.5818726	0	0	0
PRKCE	37.01873018	0	0	0
RBPMS	31.09843009	0	0	0
INSIG1	99.45296148	0	0	1
OAZ1	63.11107144	0	0	0
RRM2	48.04289241	0	0	0
OTUD4	56.22535378	0	0	0
EIF4G2	95.67483542	0	0	0
STT3B	583.2462215	0	0	0
MGAT1	85.08907882	0	0	0
SLC3A2	60.75391748	0	0	0
SMEK2	81.33683907	0	0	0
UBL3	58.59463664	0	0	0
ANKRD17	55.80561799	0	0	0
TMCO3	171.8209573	0	0	0
HNRNPA2B1	116.8764151	0	1	0
CBX3	116.8764151	0	0	0
NFKBIA	64.36203286	0	0	0
TGFB3	29.12474177	0	0	0
AIM1	202.4259959	0	0	0
ETS2	43.43692487	0	0	0
ADD3	58.24044289	0	0	0
NDUFV2	79.54899499	0	0	0
TSPYL4	48.66689693	0	0	0
GLUL	105.4675966	0	0	0
USP3	80.44197045	0	0	0
TSHZ1	18.0800069	0	0	0
ZADH2	29.36232116	0	0	0
COL6A3	16.18987657	0	0	0
NR3C2	80.4001763	0	0	0
UBP1	482.7208678	0	0	0
ZNF839	42.30002147	0	0	0
SPTAN1	53.05745037	0	0	0
TBX18	54.54721614	0	0	0
FAS	24.87409716	1	0	0
ZNF827	20.16432512	0	0	0
GNAQ	30.12839887	0	1	0
HMGB2	113.1731218	0	0	0
PDZD8	60.16405308	0	0	0
PMP22	46.85458298	0	0	0
HERPUD1	94.2350998	0	0	0
PHIP	47.09516481	0	0	0
PANX1	30.52455298	0	0	0
RPL14	51.14071486	0	0	0
NFAT5	54.4120679	0	0	0
SKIL	123.1525157	0	0	0
ACVR2A	29.14464134	1	0	0
GBA2	35.83956418	0	0	1
ETF1	114.9915196	0	0	0
UBE2E1	18.37902266	0	0	0
PIM1	139.6158019	0	1	0
LDLR	107.7955415	0	0	0
SSFA2	60.99925282	0	0	0
HMG20A	72.47586772	0	0	0
EBF1	51.81484016	1	0	0
CUX1	30.65848287	1	1	0
C14ORF104	24.77232334	0	0	0
ATP1B3	58.89751681	0	0	0
ID1	70.32518563	0	0	0
MAP2K3	93.75599654	0	0	0
SLK	43.64190852	0	0	0
NEDD9	352.8866331	0	0	0
CTNND1	34.15558561	0	0	0
KAZALD1	53.94689012	0	0	0
RAD23B	85.3992454	0	0	0
CKS2	101.8052919	0	0	0
ZBTB41	56.34852737	0	0	0
EGR3	20.40615766	0	0	0
ING2	94.97830064	0	0	0
FGFR1	150.1711988	0	1	0
PMAIP1	44.60319703	0	0	0
RHOA	83.90415237	1	1	0
TRIM41	69.85695097	0	0	0
ATP1B1	268.236792	0	0	0
TBL1XR1	29.49812663	1	1	0
TGFBR2	34.38357667	1	0	0
RASSF3	70.13389694	0	0	0
TACC1	73.61778967	0	0	0
PTPN1	77.40138401	0	0	0
ARHGAP12	75.24400521	0	0	0
PTMS	157.4629449	0	0	1
RFX7	19.55138274	0	0	0
FNDC3B	58.7190928	0	0	0
ZBTB2	24.36541777	0	0	0
TMEM64	68.34382293	0	0	0
DKK1	17.26574043	0	0	0
SEC61A1	78.06217179	0	0	0
MTMR4	131.9852096	0	0	0
BCL9L	51.45053485	1	1	0
PTPN12	182.6941855	0	0	0
BMPR1A	47.77898671	1	1	0
DYRK2	54.41871873	0	0	0
LOX	52.60019606	0	0	0
IDI1	100.7477604	0	0	0
PDGFA	30.60198432	0	0	0
HS3ST3A1	25.27992343	0	0	0
IRX3	45.46171321	0	0	0
AXL	25.72299777	0	0	0
STX16	56.46697457	0	0	0
ZNF521	26.18717826	0	1	0
