Gene	cancer	HR	pvalue
ZNF283	READ	0.577	0.031
CCDC39	READ	0.588	0.032
DCAF16	READ	0.635	0.033
SH3TC1	READ	1.587	0.033
FAM13C	READ	1.576	0.034
TP63	READ	1.573	0.034
CASC3	READ	0.623	0.035
DCLK2	READ	1.636	0.036
MTMR8	READ	0.611	0.036
SCN2B	READ	1.611	0.036
HEMK1	READ	0.623	0.037
NUP153	READ	0.618	0.037
BRIP1	READ	0.577	0.038
GPIHBP1	READ	1.546	0.038
KIAA1257	READ	0.656	0.038
RIMKLB	READ	1.548	0.038
SESN2	READ	0.622	0.038
AGMAT	READ	0.619	0.039
ANK2	READ	1.578	0.039
PCNA	READ	0.629	0.039
SUSD5	READ	1.605	0.039
WSCD2	READ	1.497	0.039
CC2D2B	READ	1.529	0.04
KIAA0913	READ	1.556	0.04
NLGN2	READ	1.633	0.04
CORO1C	READ	1.544	0.041
CSNK2A1	READ	0.633	0.041
RBM15	READ	0.669	0.041
TTBK1	READ	0.632	0.041
ZNF404	READ	1.53	0.041
EBF3	READ	1.553	0.042
ESAM	READ	1.554	0.042
MYO1H	READ	1.521	0.042
SV2B	READ	1.553	0.042
SMCO3	READ	1.583	0.043
RAB7L1	READ	1.573	0.043
SETD2	READ	0.635	0.043
PSMB8	READ	0.619	0.044
TMOD1	READ	1.539	0.044
ANKS1A	READ	0.629	0.045
CPXM2	READ	1.498	0.045
FGF12	READ	1.583	0.045
HEY1	READ	1.521	0.045
CSTF3	READ	0.61	0.046
FAM167A	READ	0.647	0.046
RSPO3	READ	1.548	0.046
TYW1B	READ	0.655	0.046
ZNF181	READ	0.645	0.046
LUZP1	READ	0.668	0.047
METAP1D	READ	0.648	0.047
MEF2B	READ	1.527	0.047
SLC30A3	READ	1.57	0.047
C15ORF59	READ	1.623	0.048
METTL22	READ	0.66	0.048
CLEC17A	READ	0.609	0.048
NRG1	READ	0.623	0.048
SLC35E2	READ	0.662	0.048
SNX20	READ	0.649	0.048
FER1L6	READ	0.669	0.049
NAGPA	READ	0.63	0.049
OLFML2B	READ	1.521	0.049
C7ORF61	READ	1.52	0.05
FABP2	READ	0.637	0.05
NUP85	READ	0.63	0.05
SLC10A4	READ	0.605	0.05
ZSCAN5B	READ	0.613	0.05
DCHS2	READ	1.565	0.051
LRRC70	READ	1.515	0.051
MCCC1	READ	0.667	0.051
MEIS2	READ	1.521	0.051
PCDHGB7	READ	1.473	0.051
SNAPC1	READ	1.644	0.051
ZNF597	READ	0.667	0.051
ADH6	READ	0.659	0.052
HTRA4	READ	1.539	0.052
LYL1	READ	1.539	0.052
CCDC171	READ	0.661	0.053
IRF2	READ	1.528	0.053
MSH2	READ	0.636	0.053
P2RX1	READ	1.553	0.053
GIGYF2	READ	1.625	0.054
HEYL	READ	1.473	0.054
OSBPL7	READ	0.634	0.054
ZNF362	READ	1.516	0.054
HSBP1L1	READ	1.527	0.055
HN1L	READ	0.669	0.056
EBF1	READ	1.502	0.057
KAL1	READ	1.496	0.057
SULT1C2	READ	0.722	0.057
GUCY1B3	READ	1.54	0.058
KIAA1407	READ	0.649	0.058
CSRNP3	READ	1.684	0.059
CYP4F2	READ	0.663	0.059
PLAC9	READ	1.477	0.059
PNPLA4	READ	0.645	0.059
RSPO4	READ	0.635	0.059
HDAC4	READ	1.458	0.061
PADI3	READ	0.651	0.061
SHISA4	READ	1.457	0.061
HRASLS5	READ	1.537	0.062
LYPLAL1	READ	1.513	0.062
PHACTR4	READ	0.666	0.062
TENC1	READ	1.531	0.062
ZSCAN16	READ	0.651	0.062
C6ORF120	READ	0.659	0.063
MAP1B	READ	1.502	0.063
TSC2	READ	0.658	0.064
C11ORF45	READ	1.467	0.065
GPRASP1	READ	1.569	0.065
NFASC	READ	1.517	0.065
PUM1	READ	0.642	0.065
TMEM35	READ	1.569	0.065
CCDC107	READ	1.512	0.066
ERG	READ	1.51	0.066
PTMA	READ	1.427	0.066
STAC	READ	1.522	0.066
ACTRT3	READ	0.697	0.067
CLEC16A	READ	0.662	0.067
NHLRC1	READ	0.691	0.067
PLA2G5	READ	1.486	0.067
SF3A1	READ	0.681	0.067
SHC1	READ	1.519	0.067
FLT4	READ	1.475	0.068
FOXRED1	READ	0.649	0.068
HNRNPM	READ	0.688	0.069
MATN3	READ	1.442	0.069
NXPH4	READ	1.434	0.069
PRDM11	READ	0.681	0.069
SMAD4	READ	1.453	0.069
C10ORF114	READ	1.527	0.07
C18ORF32	READ	1.487	0.07
FAM127C	READ	1.418	0.07
HOXA2	READ	1.442	0.07
LYSMD4	READ	0.688	0.07
MITF	READ	1.479	0.07
MYCL1	READ	0.654	0.07
SLC5A12	READ	0.66	0.07
USP36	READ	0.65	0.07
FCGR2B	READ	1.465	0.071
CTIF	READ	1.435	0.071
MAP3K12	READ	1.53	0.071
RARG	READ	1.474	0.071
SRSF2	READ	0.642	0.071
SPR	READ	1.531	0.071
C20ORF202	READ	0.677	0.072
LMOD1	READ	1.423	0.072
NAB2	READ	1.428	0.072
SLC25A25	READ	1.496	0.072
EPHA3	READ	1.458	0.073
FCRLB	READ	1.479	0.073
GLRB	READ	1.501	0.073
MCOLN1	READ	1.433	0.073
PPP1R3F	READ	1.399	0.073
PRRT4	READ	1.484	0.073
XPC	READ	0.638	0.073
DDX39B	READ	0.717	0.074
FAXDC2	READ	1.428	0.074
EXOG	READ	0.674	0.074
KIF16B	READ	0.664	0.074
AMBP	READ	0.677	0.075
KNOP1	READ	0.672	0.075
FAM69B	READ	1.428	0.075
TTC22	READ	0.671	0.075
NIPAL1	READ	0.695	0.076
ACTC1	READ	1.495	0.077
TMEM74B	READ	0.726	0.077
C2CD4B	READ	0.677	0.077
TMCC2	READ	1.487	0.077
ZNF749	READ	0.679	0.077
IQCA1	READ	1.532	0.078
NOP14	READ	0.678	0.078
ACTB	READ	1.539	0.079
KCNMB1	READ	1.383	0.079
NDUFV2	READ	1.46	0.079
MICU3	READ	1.502	0.08
GRIP2	READ	0.678	0.08
KCNJ5	READ	1.459	0.08
PHACTR1	READ	1.533	0.08
RPUSD1	READ	0.641	0.08
TRIM6	READ	1.51	0.08
AQP7	READ	1.529	0.081
DBP	READ	1.379	0.081
KIAA1949	READ	1.502	0.081
DIP2C	READ	1.532	0.082
GNB4	READ	1.515	0.082
SMTN	READ	1.441	0.082
TTLL7	READ	1.508	0.082
CCDC138	READ	0.675	0.083
CRNKL1	READ	0.665	0.083
PLEKHG4B	READ	0.671	0.083
TMEM130	READ	1.432	0.083
CLIC2	READ	1.511	0.084
GALNT8	READ	0.698	0.084
TRIM27	READ	0.703	0.084
TMEM252	READ	0.701	0.085
C18ORF21	READ	1.417	0.086
CRAMP1L	READ	0.68	0.086
FAM78B	READ	1.466	0.086
PCDH12	READ	1.464	0.087
RNPEPL1	READ	1.492	0.087
AKNA	READ	0.669	0.088
PHKG1	READ	1.408	0.088
TGIF1	READ	1.374	0.088
KCNA5	READ	1.418	0.089
APCDD1L	READ	1.421	0.09
ARID4B	READ	1.542	0.09
CCND2	READ	0.715	0.09
LENG1	READ	1.368	0.09
PLA1A	READ	1.47	0.09
RFXAP	READ	0.675	0.09
WDR90	READ	0.694	0.09
RSG1	READ	0.697	0.091
PCDHGB5	READ	1.327	0.091
PPAPDC3	READ	1.454	0.091
TRIM74	READ	0.657	0.091
ZNF418	READ	1.443	0.091
KRBOX4	READ	1.418	0.091
CCDC88A	READ	1.493	0.092
JPH2	READ	1.391	0.092
PIGH	READ	1.502	0.092
TLL1	READ	1.47	0.092
ATF6B	READ	0.675	0.093
CXCR4	READ	1.392	0.093
ERH	READ	1.455	0.093
GPR133	READ	1.419	0.093
TFEB	READ	1.426	0.093
WRN	READ	0.693	0.093
ZNF74	READ	0.693	0.093
C16ORF93	READ	0.702	0.094
NPAT	READ	0.655	0.094
RSRC2	READ	1.467	0.094
SNX32	READ	1.405	0.094
ZNF621	READ	0.676	0.094
AIF1L	READ	1.461	0.095
CHEK1	READ	0.647	0.095
NKAIN4	READ	1.474	0.095
RFTN2	READ	1.493	0.095
RNF165	READ	1.44	0.096
IER5L	READ	1.419	0.097
SFPQ	READ	0.696	0.097
LPHN3	READ	0.696	0.098
TRAF7	READ	0.681	0.098
CKMT2	READ	0.665	0.099
OST4	READ	1.369	0.099
SNRPC	READ	0.708	0.099
TMED8	READ	1.462	0.099
CAND2	READ	1.461	0.1
CCNC	READ	0.685	0.1
DLGAP3	READ	0.678	0.1
F13A1	READ	1.392	0.1
TIMM10B	READ	0.703	0.1
GPR108	READ	1.459	0.1
IGSF22	READ	0.692	0.1
JOSD2	READ	1.412	0.1
LAD1	READ	1.47	0.1
LRP5L	READ	0.714	0.1
MBD6	READ	1.471	0.1
MFN1	READ	0.694	0.1
NTS	READ	0.704	0.1
PEX26	READ	0.73	0.1
PHLDB3	READ	1.393	0.1
SCN4B	READ	1.42	0.1
TIGD6	READ	0.702	0.1
USP24	READ	0.697	0.1
VWA1	READ	1.43	0.1
XBP1	READ	0.739	0.1
EFCAB8	READ	0.696	0.11
AKR7L	READ	0.687	0.11
AMBRA1	READ	0.687	0.11
ASCC3	READ	0.705	0.11
BCORL1	READ	1.441	0.11
BRCA2	READ	0.674	0.11
VRTN	READ	0.678	0.11
CMC2	READ	1.408	0.11
C19ORF59	READ	1.42	0.11
SLC18B1	READ	0.678	0.11
CRTC3	READ	1.467	0.11
DMRTA2	READ	0.67	0.11
FAHD2A	READ	0.728	0.11
FAM105A	READ	0.698	0.11
METTL21B	READ	0.702	0.11
FYN	READ	1.43	0.11
HDAC7	READ	1.484	0.11
IQCD	READ	1.381	0.11
KCNH3	READ	1.331	0.11
LDB1	READ	1.424	0.11
LONRF2	READ	1.398	0.11
MDN1	READ	0.664	0.11
MRPL44	READ	1.387	0.11
NOL11	READ	0.674	0.11
NOTCH2NL	READ	1.412	0.11
NSUN3	READ	0.713	0.11
NTF3	READ	0.666	0.11
OXTR	READ	0.728	0.11
PLD6	READ	1.413	0.11
PLK1S1	READ	0.717	0.11
PPP1R15B	READ	1.383	0.11
PPP2R4	READ	1.475	0.11
PTCHD1	READ	1.421	0.11
QTRTD1	READ	0.703	0.11
RIN2	READ	0.709	0.11
SETD5	READ	0.687	0.11
TBKBP1	READ	1.35	0.11
TET1	READ	1.369	0.11
TMEM132E	READ	1.433	0.11
TRIM8	READ	1.433	0.11
TSTD2	READ	0.728	0.11
AMELX	READ	1.392	0.12
ANKRD53	READ	1.453	0.12
IRF2BPL	READ	1.402	0.12
C20ORF96	READ	0.73	0.12
PTCHD4	READ	1.372	0.12
MMS22L	READ	0.707	0.12
CASP8	READ	0.728	0.12
CCDC11	READ	1.408	0.12
CDYL2	READ	1.363	0.12
COG1	READ	0.702	0.12
CTNNB1	READ	0.743	0.12
CYP2B6	READ	0.689	0.12
EDEM1	READ	0.715	0.12
ELAVL2	READ	1.395	0.12
ESPNL	READ	0.741	0.12
FAM171A1	READ	0.696	0.12
FAM83G	READ	0.711	0.12
FANCC	READ	0.724	0.12
FRRS1	READ	0.737	0.12
HLF	READ	1.446	0.12
LGI2	READ	1.439	0.12
MKS1	READ	0.701	0.12
NEDD8	READ	1.451	0.12
PALM2-AKAP2	READ	1.423	0.12
PDE1A	READ	1.374	0.12
PHF5A	READ	0.702	0.12
PXMP2	READ	0.73	0.12
RAD50	READ	0.722	0.12
RIT1	READ	1.441	0.12
SCN11A	READ	1.476	0.12
SIGLEC12	READ	0.741	0.12
SOX2	READ	1.378	0.12
SPEN	READ	0.697	0.12
STIL	READ	0.71	0.12
TCEAL2	READ	1.426	0.12
TMEM57	READ	0.713	0.12
TNMD	READ	0.697	0.12
TNXB	READ	1.384	0.12
TRIM16L	READ	0.7	0.12
U2AF1	READ	0.731	0.12
WDR27	READ	0.738	0.12
WT1	READ	0.684	0.12
ZEB1	READ	1.445	0.12
ZNF607	READ	0.697	0.12
ZNF658	READ	0.712	0.12
ZNF781	READ	1.463	0.12
ASIC3	READ	1.41	0.13
AQP6	READ	0.735	0.13
ATP13A4	READ	0.723	0.13
BNC2	READ	1.391	0.13
C19ORF18	READ	1.401	0.13
TMEM240	READ	1.369	0.13
CASC5	READ	0.738	0.13
CASZ1	READ	0.716	0.13
CIC	READ	1.428	0.13
CREB3L2	READ	1.434	0.13
DUSP18	READ	0.717	0.13
EDNRA	READ	1.443	0.13
HOXD13	READ	1.387	0.13
IER2	READ	1.383	0.13
IGSF21	READ	1.437	0.13
JKAMP	READ	1.41	0.13
MECOM	READ	0.775	0.13
NBPF7	READ	0.712	0.13
NCOA7	READ	0.731	0.13
PCDHGA9	READ	1.361	0.13
PECR	READ	1.346	0.13
PRPF40B	READ	1.352	0.13
RAF1	READ	0.702	0.13
RAMP3	READ	1.358	0.13
RIC3	READ	1.365	0.13
SDK2	READ	0.728	0.13
SLC4A2	READ	1.399	0.13
TMEM200A	READ	1.463	0.13
EMC4	READ	1.38	0.13
TNNT2	READ	1.387	0.13
ZBTB38	READ	0.725	0.13
A2M	READ	1.379	0.14
ABL2	READ	1.358	0.14
ACN9	READ	0.739	0.14
AOX1	READ	1.383	0.14
ARRDC3	READ	1.425	0.14
ASPHD2	READ	0.75	0.14
ASUN	READ	0.714	0.14
NDUFAF5	READ	0.689	0.14
C2ORF88	READ	0.724	0.14
CCDC102A	READ	1.338	0.14
CLN3	READ	0.713	0.14
CUL3	READ	1.418	0.14
DGCR8	READ	0.738	0.14
ERCC3	READ	1.32	0.14
ERCC4	READ	0.735	0.14
FAM120C	READ	1.34	0.14
FAM171B	READ	1.438	0.14
FCER1A	READ	1.398	0.14
FRG1	READ	1.398	0.14
GAPDHS	READ	0.748	0.14
GOLGA4	READ	0.712	0.14
HIP1	READ	1.363	0.14
HLA-B	READ	0.719	0.14
IER3IP1	READ	1.388	0.14
KAZN	READ	0.754	0.14
KLHL34	READ	0.744	0.14
MEF2D	READ	1.398	0.14
MRPL53	READ	1.34	0.14
NDNL2	READ	1.409	0.14
NRAS	READ	0.728	0.14
OAZ3	READ	1.373	0.14
OCEL1	READ	1.421	0.14
RYR3	READ	1.364	0.14
SAAL1	READ	0.69	0.14
SAMM50	READ	0.736	0.14
SDR16C5	READ	0.758	0.14
SLC45A1	READ	1.381	0.14
SPATS2L	READ	1.376	0.14
TCAP	READ	1.358	0.14
TMEM200B	READ	1.366	0.14
TMEM61	READ	0.737	0.14
TUB	READ	1.372	0.14
ZBTB16	READ	1.412	0.14
ZNF221	READ	0.716	0.14
ZNF229	READ	1.373	0.14
ZNF558	READ	0.72	0.14
ZRANB2	READ	0.686	0.14
ADRA2B	READ	1.371	0.15
BAP1	READ	0.76	0.15
ARL14EP	READ	0.704	0.15
C17ORF103	READ	1.356	0.15
CCDC174	READ	0.716	0.15
C9ORF129	READ	0.749	0.15
CCDC102B	READ	1.486	0.15
CCDC71	READ	0.727	0.15
CCNJL	READ	0.739	0.15
CPNE9	READ	0.749	0.15
CREBBP	READ	0.727	0.15
DBNDD1	READ	1.399	0.15
DNAJB12	READ	1.345	0.15
FAM198B	READ	1.35	0.15
FAM83C	READ	0.719	0.15
FCN3	READ	1.363	0.15
FSTL3	READ	1.387	0.15
GPRASP2	READ	1.383	0.15
HMCN1	READ	1.367	0.15
JAKMIP2	READ	1.4	0.15
KCNH2	READ	1.396	0.15
KCNT2	READ	1.386	0.15
MARK3	READ	1.331	0.15
NAA50	READ	0.746	0.15
NTHL1	READ	0.729	0.15
POLQ	READ	0.731	0.15
SIAE	READ	0.737	0.15
SLC41A1	READ	1.378	0.15
SLC6A6	READ	0.734	0.15
SPHAR	READ	1.379	0.15
SPTBN1	READ	0.75	0.15
TGFBR1	READ	1.409	0.15
TLCD1	READ	1.359	0.15
VAMP5	READ	1.354	0.15
WDR52	READ	0.734	0.15
ZNF30	READ	0.744	0.15
ZNF610	READ	1.351	0.15
ATN1	READ	1.419	0.16
ATP1A1	READ	0.728	0.16
BARD1	READ	0.778	0.16
FAM204A	READ	1.388	0.16
C19ORF55	READ	0.735	0.16
C21ORF67	READ	1.319	0.16
C5AR1	READ	1.366	0.16
DDX10	READ	0.695	0.16
DYRK3	READ	1.351	0.16
ELF3	READ	1.329	0.16
FAM115C	READ	1.363	0.16
FBXW9	READ	0.721	0.16
GATA2	READ	0.751	0.16
GLT8D1	READ	0.745	0.16
GRIN2C	READ	1.314	0.16
HIPK1	READ	0.742	0.16
HMGCR	READ	0.759	0.16
IL7R	READ	0.742	0.16
KIAA1644	READ	1.335	0.16
NIPSNAP3B	READ	1.306	0.16
MAP2K7	READ	1.334	0.16
MLH1	READ	0.726	0.16
MUTYH	READ	0.74	0.16
NARG2	READ	0.72	0.16
NXPH3	READ	1.285	0.16
PCBP1	READ	1.343	0.16
PHF2	READ	1.414	0.16
PRR12	READ	1.371	0.16
SRSF3	READ	0.716	0.16
STAG1	READ	0.747	0.16
TCEAL3	READ	1.377	0.16
TMEM108	READ	1.361	0.16
TOR3A	READ	1.326	0.16
TPSG1	READ	0.729	0.16
ZBTB14	READ	1.391	0.16
ZSCAN31	READ	0.735	0.16
ZNF385D	READ	1.337	0.16
ZNF599	READ	0.749	0.16
ZNF880	READ	1.384	0.16
AKT1	READ	1.352	0.17
AQP12A	READ	0.721	0.17
BBS2	READ	0.732	0.17
C12ORF74	READ	0.734	0.17
C17ORF82	READ	1.375	0.17
SPATA25	READ	0.748	0.17
DAXX	READ	0.789	0.17
DDAH1	READ	0.743	0.17
DDR2	READ	1.363	0.17
DEK	READ	0.731	0.17
DNHD1	READ	0.734	0.17
DPP7	READ	1.346	0.17
EPB41L3	READ	1.361	0.17
FKBP5	READ	0.722	0.17
GAA	READ	1.323	0.17
GPR83	READ	0.732	0.17
GRM2	READ	1.382	0.17
ANKRD65	READ	1.305	0.17
MAN2B1	READ	1.371	0.17
MAP3K13	READ	0.781	0.17
MRPL24	READ	1.32	0.17
MSRB2	READ	1.379	0.17
MTOR	READ	0.731	0.17
NT5M	READ	1.346	0.17
PDZRN3	READ	1.277	0.17
PLK1	READ	0.731	0.17
PMVK	READ	1.316	0.17
PTPRK	READ	0.734	0.17
RAB35	READ	1.359	0.17
RAB39B	READ	0.752	0.17
SRSF7	READ	0.732	0.17
SH2D3C	READ	1.342	0.17
SH2D7	READ	0.768	0.17
TOR1A	READ	1.366	0.17
TRMT61B	READ	0.736	0.17
ZNF528	READ	1.32	0.17
ZNF57	READ	0.743	0.17
ZNF775	READ	1.31	0.17
ASB6	READ	1.332	0.18
ATP6V0E2	READ	1.304	0.18
C15ORF52	READ	1.401	0.18
C19ORF53	READ	1.306	0.18
C1QTNF7	READ	1.38	0.18
C1ORF53	READ	1.298	0.18
C20ORF166-AS1	READ	1.338	0.18
C2ORF81	READ	1.338	0.18
ADTRP	READ	0.755	0.18
C6ORF70	READ	0.772	0.18
C9ORF47	READ	1.327	0.18
CC2D1B	READ	0.761	0.18
CDKN1A	READ	1.326	0.18
COL6A2	READ	1.329	0.18
DHCR7	READ	0.74	0.18
FBL	READ	0.74	0.18
GALNT18	READ	1.31	0.18
HERPUD1	READ	0.744	0.18
HMGCS1	READ	0.73	0.18
IARS	READ	0.743	0.18
LMNA	READ	1.302	0.18
MAP2K1	READ	1.356	0.18
MLLT11	READ	1.382	0.18
MRVI1	READ	1.315	0.18
MYH3	READ	1.315	0.18
NAP1L5	READ	1.358	0.18
PCNX	READ	1.391	0.18
PLEKHG2	READ	1.338	0.18
POLR1A	READ	0.75	0.18
POLR3H	READ	0.76	0.18
PPP1R1C	READ	1.342	0.18
PSORS1C2	READ	0.749	0.18
RGS3	READ	1.338	0.18
RTP4	READ	0.714	0.18
SNW1	READ	1.384	0.18
TRA2B	READ	0.738	0.18
TRERF1	READ	1.318	0.18
ZNF765	READ	0.747	0.18
ABCA1	READ	1.341	0.19
AHCTF1	READ	1.382	0.19
AXL	READ	1.338	0.19
EFCAB13	READ	0.761	0.19
TPGS1	READ	1.311	0.19
SDE2	READ	1.327	0.19
C9ORF139	READ	1.34	0.19
CAMK1G	READ	1.341	0.19
CBFA2T3	READ	0.78	0.19
COL15A1	READ	1.344	0.19
COL4A1	READ	1.37	0.19
EPS8L1	READ	1.344	0.19
FAM200A	READ	1.269	0.19
FASTKD3	READ	0.73	0.19
PAXBP1	READ	0.745	0.19
GNAS	READ	1.301	0.19
IFFO1	READ	1.324	0.19
IGLON5	READ	1.404	0.19
KBTBD8	READ	0.754	0.19
KIAA0947	READ	0.73	0.19
KIAA1211	READ	0.767	0.19
LATS1	READ	0.776	0.19
MAOA	READ	0.742	0.19
MAP3K5	READ	0.761	0.19
MED6	READ	1.378	0.19
PLXNB2	READ	0.757	0.19
SFRP4	READ	1.346	0.19
SLC35E2	READ	0.783	0.19
SLC38A5	READ	0.729	0.19
SPSB3	READ	0.753	0.19
TMEM139	READ	0.737	0.19
TSEN15	READ	1.334	0.19
TSSK3	READ	0.732	0.19
VNN3	READ	0.744	0.19
YPEL5	READ	1.329	0.19
ZSCAN5A	READ	0.748	0.19
APOA1BP	READ	1.31	0.2
ARID1B	READ	0.733	0.2
BTG2	READ	1.303	0.2
SPATC1L	READ	1.309	0.2
COA5	READ	1.293	0.2
SAYSD1	READ	0.75	0.2
C8ORF42	READ	1.276	0.2
CHRNA7	READ	0.757	0.2
CNGA3	READ	1.329	0.2
PBDC1	READ	1.316	0.2
DDX17	READ	0.74	0.2
DOLK	READ	1.333	0.2
FAM122C	READ	0.75	0.2
FAM32A	READ	1.33	0.2
FCAR	READ	1.312	0.2
FGFR1	READ	1.313	0.2
GSN	READ	1.32	0.2
GTF3C5	READ	1.341	0.2
HJURP	READ	1.303	0.2
KIAA0195	READ	0.76	0.2
LAMB2	READ	1.338	0.2
LRRC29	READ	1.265	0.2
MAFB	READ	1.308	0.2
MAP7D1	READ	1.297	0.2
MESP1	READ	0.75	0.2
MESP2	READ	0.769	0.2
MIER2	READ	1.325	0.2
MTERF	READ	1.279	0.2
MYB	READ	0.759	0.2
NIPAL4	READ	1.281	0.2
PCMTD1	READ	1.37	0.2
PDXDC2P	READ	0.769	0.2
POU5F1	READ	0.755	0.2
PPT2	READ	0.755	0.2
SEL1L3	READ	0.753	0.2
SLC16A9	READ	0.775	0.2
SLC41A3	READ	0.736	0.2
SMAD2	READ	1.338	0.2
SMARCD3	READ	1.291	0.2
SNAP25	READ	1.317	0.2
SNRNP200	READ	0.733	0.2
SOLH	READ	0.739	0.2
SPOP	READ	1.338	0.2
STIM2	READ	0.765	0.2
SUCNR1	READ	1.333	0.2
TINAG	READ	0.749	0.2
TOP2B	READ	0.73	0.2
TREX1	READ	0.723	0.2
UBE2O	READ	0.739	0.2
VILL	READ	0.746	0.2
ZBTB47	READ	1.348	0.2
ZFP30	READ	0.741	0.2
ZNF503	READ	1.276	0.2
ACVR1	READ	1.312	0.21
ATF7IP2	READ	0.777	0.21
ATXN2L	READ	0.743	0.21
SMCO4	READ	0.773	0.21
TMEM52B	READ	1.336	0.21
TRMT1L	READ	1.305	0.21
C1ORF27	READ	1.299	0.21
C2CD4A	READ	0.802	0.21
YAE1D1	READ	0.729	0.21
AAED1	READ	1.332	0.21
CDC73	READ	1.32	0.21
CIRH1A	READ	0.763	0.21
FANCF	READ	0.755	0.21
ING1	READ	1.293	0.21
IRF4	READ	0.737	0.21
KTI12	READ	0.772	0.21
LEMD2	READ	0.787	0.21
LTV1	READ	0.731	0.21
MPZ	READ	0.759	0.21
MYC	READ	0.733	0.21
MYH4	READ	0.729	0.21
NFKB2	READ	1.31	0.21
OMP	READ	0.755	0.21
RHCE	READ	0.758	0.21
SEC14L5	READ	0.777	0.21
SLC5A9	READ	0.764	0.21
SSNA1	READ	1.293	0.21
THAP8	READ	1.276	0.21
TNNT1	READ	1.293	0.21
TTLL2	READ	0.8	0.21
UBE3B	READ	1.305	0.21
ZNF470	READ	0.727	0.21
ACTR5	READ	0.79	0.22
BAX	READ	1.278	0.22
BCL11B	READ	0.784	0.22
BTBD11	READ	1.246	0.22
C1ORF177	READ	0.745	0.22
C7ORF63	READ	0.767	0.22
CAV1	READ	1.316	0.22
CHPF2	READ	1.273	0.22
DYNLT3	READ	1.273	0.22
FAM179B	READ	1.345	0.22
FAM181B	READ	1.284	0.22
FAM89A	READ	1.266	0.22
FLNC	READ	1.263	0.22
GPR85	READ	1.305	0.22
IDH2	READ	1.308	0.22
