Gene	Cancer_median	Normal_median	TSG	OG	NG
CDKN2C	?	?	1	0	0
PRPF4B	?	?	0	0	0
SERBP1	?	?	0	0	0
SDC4	0.5	0.5	0	0	0
ERBB2IP	0.1355	0.809	0	0	0
MAP7D1	0.964	0.416	0	0	0
MLL	0.1765	0.8225	0	0	0
HES1	?	?	0	0	0
SLIT2	0.18	0.6555	0	0	0
LRIG3	0.173	0.5	1	0	0
HUWE1	?	?	0	0	0
HIC1	0.87	0.278	0	0	0
BHLHE41	0.134	0.844	0	0	0
AAK1	0.167	0.711	0	0	0
CDC42SE1	0.839	0.053	0	0	0
HNRNPF	0.196	0.762	0	0	0
SCD	0.173	0.827	0	0	0
VGLL3	0.152	0.843	0	0	0
ARSJ	0.8374999999999999	0.254	0	0	1
HIVEP2	0.121	0.765	0	0	0
WDR26	0.826	0.206	0	0	0
SOX12	0.8294999999999999	0.113	0	0	0
B4GALT1	0.164	0.708	0	0	0
MAN1A2	0.5	0.5	0	0	0
SLC16A1	0.16	0.826	0	0	0
COL12A1	0.198	0.623	0	0	0
MYL12A	0.14900000000000002	0.5	0	0	0
MIER1	?	?	0	0	0
AMD1	?	?	0	0	0
MXI1	0.149	0.918	0	0	0
ETV6	0.1095	0.5	1	0	0
SP3	0.5	0.5	0	0	0
SQLE	0.5	0.5	0	0	0
RHOF	0.5	0.5	0	0	0
ERF	?	?	0	0	1
ZBTB37	?	?	0	0	0
SEPT10	0.107	0.648	0	0	0
USP38	?	?	0	0	0
ARF1	?	?	0	0	0
WBP4	?	?	0	0	0
CHD3	0.125	0.63	0	0	0
KLF4	0.923	0.388	1	1	0
GADD45B	?	?	0	0	0
EP300	0.5	0.5	1	0	0
LAPTM4A	0.19	0.816	0	0	0
RUSC1	0.8285	0.298	0	0	0
MSL1	?	?	0	0	0
TOB1	0.12	0.677	0	0	0
FEM1C	0.8985000000000001	0.313	0	0	0
BAG3	0.1635	0.758	0	0	0
WWTR1	0.849	0.24	0	1	0
MEF2D	0.169	0.693	0	0	0
ENO1	0.5	0.5	0	0	0
STC2	0.807	0.344	0	0	0
ZEB1	0.841	0.03	0	1	0
CDKN1A	0.157	0.5	1	1	0
MYCBP2	0.1725	0.692	0	0	0
COL3A1	?	?	0	0	1
MSH5	0.09	0.61	0	0	0
XPO1	?	?	0	1	0
FBXO11	0.17	0.5	1	0	0
KNTC1	?	?	0	0	0
HNRNPL	?	?	0	0	0
ADAMTS6	0.134	0.918	0	0	0
USPL1	0.5	0.5	0	0	0
FBXL14	0.843	0.333	0	0	0
RNF139	?	?	0	0	0
ITPRIP	0.8085	0.285	0	0	0
CDK17	0.845	0.258	0	0	0
NT5E	0.171	0.623	0	0	0
GATA3	0.87	0.183	1	1	0
NUAK1	0.812	0.317	0	0	0
TLE1	0.164	0.716	0	0	0
PICALM	0.8445	0.185	0	0	0
SC4MOL	0.8745	0.335	0	0	0
ENC1	0.177	0.724	0	0	0
YY1	?	?	0	0	0
REV3L	?	?	0	0	0
PHF12	0.889	0.388	0	0	0
MAP4K4	0.814	0.347	0	0	0
KLHL21	0.8325	0.171	0	0	0
PBX3	0.17	0.892	0	0	0
SRF	0.868	0.026	0	0	1
SGMS1	0.8465	0.286	0	0	0
SMTN	0.8394999999999999	0.04	0	0	1
PER1	0.189	0.5	1	0	0
F3	0.5	0.5	0	0	0
EEF2	0.19	0.876	0	0	0
MYH9	0.9095	0.399	1	0	0
FGF5	0.839	0.284	0	0	0
SEMA5A	0.155	0.813	0	0	0
FZD1	0.858	0.267	0	0	0
MAF	0.826	0.0545	0	1	0
RBPJ	0.192	0.618	0	0	0
PTTG1IP	0.886	0.38	0	0	0
SLC1A5	0.1085	0.6719999999999999	0	0	0
PFN2	0.1755	0.684	0	0	0
SLC20A1	0.116	0.705	0	0	0
YAP1	0.183	0.572	0	0	0
SNX1	0.178	0.538	0	0	0
SHB	0.844	0.303	0	0	0
SERPINH1	0.5	0.5	0	0	0
GAS1	0.8254999999999999	0.281	0	0	0
GIT1	0.838	0.32	0	0	0
CLK1	0.84	0.095	0	0	0
PHF15	0.855	0.081	0	0	0
EPHA4	0.153	0.766	0	0	0
UBE2H	0.9085000000000001	0.391	0	0	0
TRHDE	0.81	0.265	0	0	0
DNAJB4	0.8694999999999999	0.093	0	0	0
GJA1	0.176	0.786	0	0	0
ZBTB10	0.143	0.714	0	0	0
CIC	0.866	0.047	1	1	0
AMOTL2	0.825	0.153	0	0	0
ZNF292	?	?	0	0	0
PTBP1	0.198	0.947	0	0	0
KDM6A	0.155	0.5	1	1	0
ACTN4	0.122	0.658	0	0	0
PPP1R12A	0.166	0.777	0	0	0
UQCRH	?	?	0	0	0
PCBP1	?	?	0	0	0
GABBR1	0.152	0.796	0	0	0
CBLB	0.1595	0.5	1	0	0
TRAM2	0.116	0.573	0	0	0
ASPH	0.159	0.874	0	0	0
OBFC2A	?	?	0	0	0
BRI3	0.866	0.358	0	0	0
DPYSL2	0.839	0.34	0	0	0
PTGES3	?	?	0	0	0
CSNK1E	0.13	0.657	0	0	0
S100A10	0.1245	0.666	0	0	0
IGFBP4	0.863	0.311	0	0	0
RBM15	0.149	0.914	0	0	0
SEPT2	?	?	0	0	0
CYP1B1	0.871	0.203	0	0	0
FAT4	0.825	0.114	1	0	0
EGR1	0.126	0.913	0	0	0
KLF13	0.8545	0.285	0	0	0
SYNCRIP	0.9175	0.41	0	0	0
LRFN5	0.825	0.099	0	0	0
YBX1	0.5	0.5	0	0	0
GLUD1	0.5	0.5	0	0	0
CCND2	0.8175	0.033	0	1	0
AHR	0.154	0.76	0	0	0
IL6ST	0.175	0.5	0	1	0
MAML2	0.8755	0.233	0	1	0
MEX3B	0.8545	0.324	0	0	1
CACNB3	0.1755	0.7725	0	0	0
TSPAN5	0.1595	0.67	0	0	0
MDM2	?	?	0	1	0
RANBP9	?	?	0	0	0
CRKL	0.113	0.621	0	0	0
NRM	0.11	0.888	0	0	0
PABPC1	0.178	0.5	1	1	0
UGP2	0.901	0.39	0	0	0
RBBP6	0.845	0.308	0	0	0
SOCS3	0.159	0.762	0	0	0
TSHZ3	0.143	0.903	0	0	0
SOX11	0.848	0.164	0	0	0
KDM2B	0.8634999999999999	0.348	0	0	0
RABGGTB	0.149	0.687	0	0	0
ALDOA	0.142	0.659	0	0	0
KIF26B	0.139	0.805	0	0	0
IVNS1ABP	0.1025	0.622	0	0	0
CDC42EP4	?	?	0	0	0
FANK1	0.149	0.804	0	0	0
TMEM165	0.5	0.5	0	0	0
SAP30	0.5	0.5	0	0	0
LPHN2	0.143	0.73	0	0	0
ODZ4	0.137	0.738	0	0	0
ACBD5	0.155	0.881	0	0	0
TRAF7	0.5	0.5	1	0	0
FOS	0.1605	0.813	0	0	0
ARL4C	0.128	0.702	0	0	0
C6ORF145	0.5	0.5	0	0	0
PPAP2B	0.13	0.685	0	0	0
PRDX6	?	?	0	0	0
DUSP7	0.826	0.182	0	0	0
RPRD2	0.5	0.5	0	0	0
TOMM70A	0.155	0.717	0	0	0
ZMYND8	0.831	0.22	0	0	0
CEBPD	?	?	0	0	0
RPL28	?	?	0	0	0
ATP2B4	0.127	0.656	0	0	0
RNF168	?	?	0	0	0
EPHA2	0.1535	0.806	0	0	0
TPM2	?	?	0	0	0
ITGA3	0.1255	0.655	0	0	0
CD164	0.5	0.5	0	0	0
SLC38A1	0.161	0.854	0	0	0
LARP1	0.184	0.687	0	0	0
CTNNB1	0.161	0.5	0	1	0
SFPQ	0.196	0.5	1	0	0
ARHGAP5	?	?	0	1	0
PLOD2	0.812	0.301	0	0	0
RPS12	0.16	0.761	0	0	0
CCNI	0.5	0.5	0	0	0
ITGB8	0.174	0.882	0	0	0
FAM120A	0.5	0.5	0	0	0
FZD2	0.866	0.351	0	0	0
DAB2	0.838	0.313	0	0	0
ACTR3	?	?	0	0	0
MAP3K8	0.888	0.337	0	0	0
LIN54	0.164	0.712	0	0	0
PANK2	0.154	0.752	0	0	0
ALOXE3	0.811	0.023	0	0	1
BCORL1	0.0695	0.5	1	1	0
FOXO1	0.1905	0.5	1	1	0
MAN1A1	0.18	0.801	0	0	0
PVRL2	0.156	0.707	0	0	0
PTPN14	0.143	0.74	0	0	0
BAZ2B	0.5	0.5	0	0	0
SNAI2	0.14	0.5	0	0	0
KCTD1	0.187	0.649	0	0	0
CEBPB	?	?	0	0	0
EFNB1	0.136	0.752	0	0	0
NEGR1	?	?	0	0	0
DDX6	0.852	0.318	0	1	0
NPM1	0.145	0.5	0	1	0
PPM1D	?	?	0	1	0
BNC2	0.157	0.715	0	0	0
PVRL3	0.168	0.779	0	0	0
RAP2A	0.5	0.5	0	0	0
E2F3	0.14300000000000002	0.695	0	0	0
SIAH2	0.166	0.842	0	0	0
MYADM	0.865	0.332	0	0	0
FBXO5	0.196	0.884	0	0	0
HES7	?	?	0	0	0
ANXA5	0.181	0.778	0	0	0
ATXN2	0.88	0.187	0	0	0
CTDSP2	0.8805000000000001	0.283	0	0	0
HDAC7	0.879	0.388	0	0	0
ROCK1	?	?	0	0	0
CDCA8	?	?	0	0	0
WTAP	0.5	0.5	0	0	0
PFN1	?	?	0	0	0
BBX	0.85	0.155	0	0	0
CD63	?	?	0	0	0
MEX3C	0.192	0.6365000000000001	0	0	0
GTPBP1	?	?	0	0	0
FLNA	0.84	0.216	0	0	0
KCTD12	0.195	0.895	0	0	0
NHLRC3	0.5	0.5	0	0	1
TMEM30A	0.5	0.5	0	0	0
TUBA1C	0.185	0.6605	0	0	0
MAP3K1	0.109	0.5	1	1	0
G3BP1	0.8354999999999999	0.119	0	0	0
MEF2C	0.156	0.975	0	0	0
MFHAS1	0.133	0.654	0	0	0
FUS	?	?	1	0	0
NBEAL1	?	?	0	0	0
SEPHS1	0.865	0.34	0	0	0
RASSF1	0.146	0.751	0	0	0
DUSP10	0.171	0.824	0	0	0
OSBPL3	0.147	0.811	0	0	0
SLC12A2	0.181	0.921	0	0	0
TNKS1BP1	?	?	0	0	0
PHF17	0.1615	0.925	0	0	0
ARID4A	?	?	0	0	0
HNRNPR	0.876	0.368	0	0	0
H3F3B	0.88	0.35	0	1	0
PAPD7	0.8995	0.383	0	0	0
NR4A2	0.901	0.367	0	0	0
PGRMC2	?	?	0	0	0
MBNL2	0.134	0.951	0	0	0
SPHK1	0.5	0.5	0	0	0
KCMF1	0.5	0.5	0	0	0
GARS	0.5	0.5	0	0	0
PPP3R1	?	?	0	0	0
LAMB1	0.5005000000000001	0.5265	0	0	0
EHD1	0.1145	0.5	0	0	0
TNFAIP3	0.145	0.5	1	0	0
VASP	0.5	0.5	0	0	0
U2AF2	0.135	0.927	0	0	0
PRKAR1A	?	?	1	1	0
OGT	0.16	0.691	0	0	0
WRNIP1	0.178	0.5	0	0	1
BDNF	0.16	0.5	0	0	1
MLXIP	0.888	0.361	0	0	0
CORO1C	0.157	0.748	0	0	0
STK17B	0.148	0.694	0	0	0
EPAS1	0.8294999999999999	0.308	1	1	0
NBR1	0.5	0.5	0	0	0
CSNK1A1	0.172	0.738	0	0	0
NFYA	0.5	0.5	0	0	0
CPT1A	0.822	0.088	0	0	0
FBN1	0.828	0.371	0	0	1
DSTN	0.1725	0.752	0	0	0
FOXD1	0.895	0.253	0	0	0
IKZF2	0.158	0.871	0	0	0
GADD45A	?	?	0	0	0
CCDC6	?	?	1	0	0
GLRX5	?	?	0	0	0
SH3RF1	0.1655	0.8785000000000001	0	0	0
PFKFB3	0.1365	0.743	0	0	0
PRKD2	0.837	0.308	0	0	0
MYL6	?	?	0	0	0
SLC30A1	?	?	0	0	0
HAS2	0.8194999999999999	0.206	0	0	0
SQSTM1	0.828	0.144	0	0	0
SESN1	0.904	0.367	0	0	0
GGNBP2	?	?	0	0	0
TPP2	0.5	0.5	0	0	0
TAGLN2	0.119	0.663	0	0	0
TNPO2	0.165	0.83	0	0	0
PPP1R15A	0.137	0.662	0	0	0
NUFIP2	0.5	0.5	0	0	0
PHF21A	0.899	0.384	0	0	0
HEG1	0.143	0.644	0	0	0
TPT1	0.186	0.886	0	0	0
RNF145	0.8125	0.27	0	0	0
RCC2	0.198	0.76	0	0	0
DDX17	0.17099999999999999	0.712	0	0	0
PPP1CB	0.176	0.716	0	0	0
FAM108B1	0.5	0.5	0	0	0
SCAF11	0.5	0.5	0	0	0
HNRNPA0	0.5	0.5	0	0	0
HOXA1	0.9045000000000001	0.376	0	0	0
RAB10	?	?	0	0	0
ENAH	0.183	0.709	0	0	0
RPL27A	0.8425	0.2665	0	0	0
JUND	?	?	0	0	0
UTRN	0.116	0.648	0	0	0
CREBZF	?	?	0	0	0
RHOBTB3	0.859	0.342	0	0	0
C12ORF23	0.163	0.5	0	0	1
MYO10	0.147	0.776	0	0	0
PDGFC	0.109	0.626	0	0	0
NAP1L4	0.5	0.5	0	0	0
TGFB1	0.9555	0.417	0	0	0
RBM39	0.153	0.729	0	0	0
ATN1	0.197	0.69	0	0	0
MAP4K3	0.5	0.5	0	0	0
RNH1	0.866	0.197	0	0	0
ZFHX3	0.87	0.146	1	0	0
TM9SF2	0.5	0.5	0	0	0
THAP9	?	?	0	0	1
GDI2	0.835	0.241	0	0	0
CSRNP1	0.8414999999999999	0.5	0	0	0
NEK7	0.83	0.216	0	0	0
PCNT	0.933	0.378	0	0	0
BACH1	0.808	0.356	0	0	0
TXNDC12	0.128	0.676	0	0	0
HIPK3	?	?	0	0	0
CALD1	0.186	0.7735000000000001	0	0	0
DDIT4	?	?	0	0	0
ADAMTS9	0.179	0.79	0	0	0
PPP3CA	0.822	0.215	0	0	0
TMSB4X	?	?	0	0	0
CNOT8	0.182	0.711	0	0	0
EMP1	0.145	0.817	0	0	0
NFKBIZ	0.153	0.932	0	0	0
PRKCE	0.18	0.664	0	0	0
RBPMS	0.857	0.333	0	0	0
INSIG1	0.5	0.5	0	0	1
OAZ1	?	?	0	0	0
RRM2	?	?	0	0	0
OTUD4	0.148	0.835	0	0	0
EIF4G2	0.869	0.343	0	0	0
STT3B	0.165	0.83	0	0	0
MGAT1	0.814	0.304	0	0	0
SLC3A2	0.5	0.5	0	0	0
SMEK2	?	?	0	0	0
UBL3	0.5	0.5	0	0	0
ANKRD17	0.8405	0.069	0	0	0
TMCO3	0.908	0.399	0	0	0
HNRNPA2B1	0.15	0.5	0	1	0
CBX3	0.5	0.5	0	0	0
NFKBIA	?	?	0	0	0
TGFB3	0.5	0.5	0	0	0
AIM1	0.159	0.784	0	0	0
ETS2	0.151	0.743	0	0	0
ADD3	0.8294999999999999	0.424	0	0	0
NDUFV2	?	?	0	0	0
TSPYL4	?	?	0	0	0
GLUL	0.162	0.92	0	0	0
USP3	0.1645	0.675	0	0	0
TSHZ1	0.139	0.5	0	0	0
ZADH2	0.825	0.282	0	0	0
COL6A3	0.164	0.81	0	0	0
NR3C2	0.844	0.117	0	0	0
UBP1	0.84	0.293	0	0	0
