Gene	Cell_proliferation_rate	TSG	OG	NG
PPP1R15B	-2.0182583750000003	0	0	0
MCL1	-1.0521625000000001	0	0	0
TWIST2	0.573303125	0	0	0
NFE2L1	-0.13941475	0	0	0
DUSP1	0.222453625	0	0	0
DUSP5	-1.297077125	0	0	0
EEF1A1	NA	0	0	0
RAP2B	0.370498125	0	0	0
SOX4	0.039099999999999996	0	0	0
ZYX	-1.1362652500000001	0	0	0
SATB2	-0.021203125	0	0	0
IRF2BPL	-0.8856338749999999	0	0	0
DCBLD2	0.27446875000000004	0	0	0
CPEB2	NA	0	0	0
PTMA	NA	0	0	0
ANP32A	-0.508743	0	0	0
KLF9	-0.9068802499999999	0	0	0
ARID5B	NA	0	0	0
TCF7L2	-0.44343062499999997	0	1	0
ING1	-0.223123125	0	0	0
ZBTB7B	NA	0	0	0
COL1A1	0.37687675	0	0	0
IGF2BP2	NA	1	0	0
BBC3	-0.9264133750000001	0	0	0
PLK2	-1.2104715000000001	0	0	0
MT-CYB	NA	0	0	0
ALKBH5	-1.6611158750000001	0	0	0
IRS2	-0.4789550416665	0	0	0
ZFHX4	-1.253252125	0	0	0
PHLDA1	NA	0	0	0
SPRY4	-0.623475625	0	0	0
TSC22D1	-1.2116687499999999	0	0	0
RBMS3	NA	0	0	0
SPN	-1.50654	0	0	0
CITED2	-1.00490125	0	0	0
WNK1	-1.593647125	0	0	0
DDX3X	-1.16447725	1	0	0
BCOR	0.322688375	1	0	0
CTDSP1	-0.580782125	0	0	0
RND3	0.018134375	0	0	0
JUN	-1.709680875	0	1	0
MAT2B	-0.31949012499999996	0	0	0
TRIB2	0.10548	0	0	0
MTCO1P12	NA	0	0	0
BMI1	-0.37008074999999996	0	0	0
SPRED1	-1.6802739999999998	0	0	0
CDK13	0.142244	0	0	0
WEE1	-1.03900175	0	0	0
HEXIM1	-0.40286075	0	0	0
CDH11	-1.534685875	1	0	0
ADAMTS1	-0.434626375	0	0	0
CCDC80	NA	0	0	0
FZD7	-0.5097396666665	0	0	0
FOXC1	-0.913532875	0	0	0
BAZ2A	-0.400011375	0	0	0
ARHGEF17	-0.59407175	0	0	0
KLF7	-0.418487375	0	0	0
PKM2	NA	0	0	0
MSL2	-0.062370958333350004	0	0	0
TGFB2	-0.251730125	0	0	0
KLF16	-0.494299625	0	0	0
CRIM1	-0.247399125	0	0	0
JAG1	-0.2079655416665	0	0	0
HNRNPH1	-1.241767125	0	0	0
FAT1	-0.2998645	1	0	0
BCL2L1	-1.493182375	0	0	0
DLX2	-1.020504625	0	0	0
JARID2	-0.12152125	0	0	0
C10ORF140	NA	0	0	0
LASP1	-0.874931125	0	0	0
NIPBL	NA	0	0	0
ALCAM	NA	0	0	0
AKIRIN2	NA	0	0	0
ZNF703	NA	0	0	0
YWHAZ	NA	0	0	0
TBX5	-0.089010125	0	0	0
ZNF462	-0.290128375	0	0	0
SAMD4A	-0.38819000000000004	0	0	0
CDC42EP3	0.397950625	0	0	0
SPRED2	-0.279678	0	0	0
TLE3	-0.7591005	0	0	0
BMPR2	-1.223354375	0	0	0
IGF1R	-0.510026125	0	0	0
MLLT6	-1.1402933750000002	0	0	0
TOB2	-0.44606250000000003	0	0	0
ZFAND5	0.33811725000000004	0	0	0
ZSWIM6	NA	0	0	0
PAWR	-1.087195875	0	0	0
ZMIZ1	-0.6409518750000001	0	0	0
HSPA8	-0.653936125	0	0	0
FOXP1	-0.203001	0	1	0
HNRNPD	-0.6515063750000001	0	0	0
NRP2	-1.013346375	0	0	0
TLE4	NA	0	0	0
SMAD6	-0.241895	0	0	0
TRA2B	-0.54018625	0	0	0
OSR1	-0.503880375	0	0	0
VEGFA	-0.5173343749999999	0	0	0
PBX1	-0.4274482916665	0	1	0
JUNB	-0.30873300000000004	0	0	0
STIM2	NA	0	0	0
C6ORF62	-0.847260625	0	0	0
DUSP4	-1.20993225	0	0	0
LZTS2	-0.506059875	0	0	0
CCNL1	-2.012360625	0	0	0
FDFT1	-1.428098375	0	0	0
C3ORF58	NA	0	0	1
C17ORF59	NA	0	0	0
PURB	NA	0	0	0
ACTB	-1.215870875	0	0	0
LRP1	-0.133775625	0	0	0
EFNA5	-0.410794875	0	0	0
NAB2	-0.9246719999999999	1	0	0
KLF3	-1.31502625	0	0	0
SOS1	-0.5511524999999999	0	0	0
CDKN1B	-0.187691625	1	0	0
MICA	-1.1348685	0	0	0
APOLD1	-0.415117	0	0	0
NNMT	-0.679316625	0	0	0
NUDT4	-1.1294695	0	0	0
HIVEP1	0.193634625	0	0	0
ARF6	0.1385044583335	0	0	0
NFIA	-0.49641487500000003	0	0	0
VCPIP1	-0.32098958333350003	0	0	0
PCDH10	0.19528325000000002	0	0	0
MAT2A	0.127635875	0	0	0
SPARC	-0.650392375	0	0	0
PTGER4	0.29518837499999995	0	0	0
SIX1	-0.333742	0	1	0
SMARCA2	-1.123614875	0	0	0
BCL2L11	-0.08216425	0	0	0
CAV1	-0.204035875	0	0	0
LAMC1	NA	0	0	0
MLL2	NA	0	0	0
NRIP1	-0.167047125	0	0	0
MAMLD1	NA	0	0	0
CSDA	NA	0	0	0
SPRY1	-1.467921125	0	0	0
TENC1	-0.774678	0	0	0
ID3	-0.316961375	1	0	0
KDM5B	-0.662099	0	0	0
DR1	-0.11459212499999999	0	0	0
DHRS3	-0.8394128750000001	0	0	0
PCF11	NA	0	0	0
CNN3	NA	0	0	0
TRIO	-0.932085125	0	0	0
CFLAR	-1.17346475	0	0	0
BMP4	-0.143304125	0	0	0
ZC3H4	NA	0	0	0
CXXC5	NA	0	0	0
GLS	0.30196199999999995	0	0	0
SEPT11	-3.298559875	0	0	0
PTPRG	-0.287818375	0	0	0
FUBP1	-1.370806375	0	1	0
MIDN	NA	0	0	0
SOX9	-0.375031625	0	0	0
CD44	-0.466751625	0	0	0
UGCG	-1.33741975	0	0	0
NFE2L2	-0.5399525000000001	1	1	0
ZBTB7A	NA	0	0	0
ATP2A2	-2.009221541665	0	0	0
FOXC2	-1.2438262500000001	0	0	0
PCDH18	-0.17985625	0	0	0
ZCCHC2	-0.45081387500000003	0	0	0
MID1IP1	NA	0	0	1
UBTF	-0.114265125	0	0	0
MLLT3	-0.393203625	0	0	0
KIAA1539	NA	0	0	0
SNX33	NA	0	0	0
FST	-1.37888675	0	0	0
HOXB4	-0.41196825000000004	0	0	0
RPL3	NA	0	0	0
RNASE4	-0.400527375	0	0	0
SALL1	-0.558014625	0	0	0
ATXN1	-0.38238425	0	0	0
BCL3	-0.91212925	0	1	0
MAML3	-0.227599625	0	0	0
SNX18	NA	0	0	0
CAMK2D	-0.23594475	0	0	0
ACTN1	-1.0145405	0	0	0
SLC2A1	-0.845576375	0	0	0
KLF10	-0.98169525	0	0	0
EIF4A2	-0.059644625	0	0	0
KIAA1949	NA	0	0	0
KLF12	-0.7200757083335	0	0	0
TCF4	0.11730650000000001	0	0	0
EFNB2	-0.6213895	0	0	0
USP9X	-1.16693125	0	0	0
FZD8	-1.271072	0	0	0
ARHGEF12	-0.9758560000000001	1	0	0
ST3GAL1	-1.202876125	0	0	0
ATP1A1	-2.1543539999999997	1	1	0
GAPDH	-1.406187625	0	0	0
HNRNPU	-2.946702375	0	0	0
HSPA5	-0.6415495	0	0	0
VCAN	-0.44486487500000005	0	0	0
FOXF1	-1.003759125	0	0	0
GABPB1	NA	0	0	0
ETV1	-1.216486375	0	1	0
ARF4	-2.1218250000000003	0	0	0
PNRC1	0.02536275	0	0	0
CDC42BPA	-0.449771125	0	0	0
FTH1	-0.3405505	0	0	0
TXNIP	-0.0331565	0	0	0
ERRFI1	NA	0	0	0
TIPARP	-2.232853875	0	0	0
PRRX1	-0.54836825	0	0	0
FEM1B	-0.02510025	0	0	0
TEAD1	-0.2087525	0	0	0
CPEB4	NA	0	0	0
TRERF1	-0.60366325	0	0	0
TRIB1	-0.43433275000000005	0	0	0
NFIL3	-0.248166	0	0	0
FSCN1	NA	0	0	0
CALM2	-1.474654375	0	0	0
STAG2	NA	1	0	0
TUBB3	-1.4458916249999998	0	0	0
IGF2BP1	-1.8641013750000002	0	0	0
VGLL4	NA	0	0	0
GIT2	-0.5239253749999999	0	0	0
TRPS1	-0.72483025	0	0	0
SMAD3	-0.436852	1	0	0
HNRNPUL1	-0.317101375	0	0	0
ELL2	-0.37250425	0	0	0
MGEA5	NA	0	0	0
CLTC	-1.67602525	1	0	0
STXBP5	NA	0	0	0
ATF4	-0.32378975	0	0	0
JUB	NA	0	0	0
CDKN2C	-0.0262405	1	0	0
PRPF4B	-0.589901	0	0	0
SERBP1	NA	0	0	0
SDC4	NA	0	0	0
ERBB2IP	-1.51517375	0	0	0
MAP7D1	-0.158191125	0	0	0
MLL	NA	0	0	0
HES1	-1.6483025	0	0	0
SLIT2	-0.474981875	0	0	0
LRIG3	NA	1	0	0
HUWE1	-1.382503375	0	0	0
HIC1	-0.169438125	0	0	0
BHLHE41	-0.425005125	0	0	0
AAK1	-0.1744845	0	0	0
CDC42SE1	-0.038632875	0	0	0
HNRNPF	-1.8853563750000002	0	0	0
SCD	NA	0	0	0
VGLL3	-0.71801075	0	0	0
ARSJ	-1.18093325	0	0	1
HIVEP2	-0.33167075	0	0	0
WDR26	NA	0	0	0
SOX12	0.180253625	0	0	0
B4GALT1	-0.88449175	0	0	0
MAN1A2	-0.14980712499999999	0	0	0
SLC16A1	-0.494047	0	0	0
COL12A1	NA	0	0	0
MYL12A	-0.368608	0	0	0
MIER1	-0.549120125	0	0	0
AMD1	NA	0	0	0
MXI1	-0.417911625	0	0	0
ETV6	-0.3101785416665	1	0	0
SP3	-1.2695875	0	0	0
SQLE	-0.288310125	0	0	0
RHOF	-0.02209925	0	0	0
ERF	-1.010846625	0	0	0
ZBTB37	NA	0	0	0
SEPT10	NA	0	0	0
USP38	0.23033900000000002	0	0	0
ARF1	-0.6646473749999999	0	0	0
WBP4	NA	0	0	0
CHD3	NA	0	0	0
KLF4	-0.286231625	1	1	0
GADD45B	-1.103803625	0	0	0
EP300	-0.711911875	1	0	0
LAPTM4A	0.334287	0	0	0
RUSC1	NA	0	0	0
MSL1	NA	0	0	0
TOB1	-1.1568695	0	0	0
FEM1C	NA	0	0	0
BAG3	-0.892311375	0	0	0
WWTR1	-0.010317375	0	1	0
MEF2D	-1.0262777083349999	0	0	0
ENO1	-1.07994825	0	0	0
STC2	NA	0	0	0
ZEB1	-1.299427416665	0	1	0
CDKN1A	-0.7738645	1	1	0
MYCBP2	0.104564375	0	0	0
COL3A1	-0.71879625	0	0	0
MSH5	-0.814787375	0	0	0
XPO1	NA	0	1	0
FBXO11	-1.149247875	1	0	0
KNTC1	NA	0	0	0
HNRNPL	-2.247801	0	0	0
ADAMTS6	-0.7361841666665	0	0	0
USPL1	-0.9301446250000001	0	0	0
FBXL14	NA	0	0	0
RNF139	-1.018173	0	0	0
ITPRIP	NA	0	0	0
CDK17	-1.6172262499999999	0	0	0
NT5E	-0.8270442499999999	0	0	0
GATA3	-0.155323125	1	1	0
NUAK1	-0.746948875	0	0	0
TLE1	NA	0	0	0
PICALM	NA	0	0	0
SC4MOL	NA	0	0	0
ENC1	-1.0841456250000001	0	0	0
YY1	-1.25465125	0	0	0
REV3L	-0.8000255000000001	0	0	0
PHF12	-1.007573333335	0	0	0
MAP4K4	-0.242124125	0	0	0
KLHL21	NA	0	0	0
PBX3	-0.816575625	0	0	0
SRF	-0.377060625	0	0	0
SGMS1	NA	0	0	0
SMTN	NA	0	0	1
PER1	-0.7753703750000001	1	0	0
F3	-0.86944225	0	0	0
EEF2	-2.533555	0	0	0
MYH9	-0.191143875	1	0	0
FGF5	-0.5958228750000001	0	0	0
SEMA5A	-1.147757375	0	0	0
FZD1	-0.6868245	0	0	0
MAF	-0.5467785000000001	0	1	0
RBPJ	-1.487445875	0	0	0
PTTG1IP	NA	0	0	0
SLC1A5	-1.51431275	0	0	0
PFN2	-0.914056375	0	0	0
SLC20A1	-0.114217	0	0	0
YAP1	-0.44186749999999997	0	0	0
SNX1	0.4234875	0	0	0
SHB	NA	0	0	0
SERPINH1	-1.00673025	0	0	0
GAS1	NA	0	0	0
GIT1	-0.32824387499999996	0	0	0
CLK1	-1.2522541249999999	0	0	0
PHF15	NA	0	0	0
EPHA4	-1.6890222499999998	0	0	0
UBE2H	-0.8751275833334999	0	0	0
TRHDE	-0.32262599999999997	0	0	0
DNAJB4	0.56839675	0	0	0
GJA1	0.05586	0	0	0
ZBTB10	-1.0352293750000001	0	0	0
CIC	-0.42328137499999996	1	1	0
AMOTL2	NA	0	0	0
ZNF292	NA	0	0	0
PTBP1	-0.5625145	0	0	0
KDM6A	-0.753896625	1	1	0
ACTN4	-0.24648725	0	0	0
PPP1R12A	-1.360662875	0	0	0
UQCRH	-0.40199324999999997	0	0	0
PCBP1	-1.067833875	0	0	0
GABBR1	-0.667379375	0	0	0
CBLB	-0.426460875	1	0	0
TRAM2	NA	0	0	0
ASPH	0.356980125	0	0	0
OBFC2A	NA	0	0	0
BRI3	-0.20538725	0	0	0
DPYSL2	-1.2049698333349999	0	0	0
PTGES3	-0.873116625	0	0	0
CSNK1E	-0.56334925	0	0	0
S100A10	0.09730825	0	0	0
IGFBP4	0.054482625	0	0	0
RBM15	-0.0818835	0	0	0
SEPT2	NA	0	0	0
CYP1B1	-0.2634285833335	0	0	0
FAT4	0.376869625	1	0	0
EGR1	-1.336202125	0	0	0
KLF13	0.773325625	0	0	0
SYNCRIP	0.245278375	0	0	0
LRFN5	NA	0	0	0
YBX1	-1.382698625	0	0	0
GLUD1	-0.131217125	0	0	0
CCND2	-0.847078625	0	1	0
AHR	-0.4824070416665	0	0	0
IL6ST	0.035652249999999996	0	1	0
MAML2	NA	0	1	0
MEX3B	-0.78958575	0	0	1
CACNB3	-0.3217005416665	0	0	0
TSPAN5	NA	0	0	0
MDM2	-1.06118325	0	1	0
RANBP9	-0.7152675	0	0	0
CRKL	-1.110789875	0	0	0
NRM	NA	0	0	0
PABPC1	-0.17339325	1	1	0
UGP2	-0.940511125	0	0	0
RBBP6	-0.16280024999999998	0	0	0
SOCS3	-0.352191625	0	0	0
TSHZ3	0.07008325	0	0	0
SOX11	-0.90438625	0	0	0
KDM2B	NA	0	0	0
RABGGTB	-0.8096007916665	0	0	0
ALDOA	-1.365362125	0	0	0
KIF26B	NA	0	0	0
IVNS1ABP	-0.252977375	0	0	0
CDC42EP4	-0.76903	0	0	0
FANK1	NA	0	0	0
TMEM165	NA	0	0	0
SAP30	-1.796342	0	0	0
LPHN2	-0.43367924999999996	0	0	0
ODZ4	NA	0	0	0
ACBD5	-0.38638275	0	0	0
TRAF7	-0.00733725	1	0	0
FOS	-0.8393204999999999	0	0	0
ARL4C	0.14454937499999998	0	0	0
C6ORF145	NA	0	0	0
PPAP2B	-0.854856125	0	0	0
PRDX6	-0.59319175	0	0	0
DUSP7	-0.9628592499999999	0	0	0
RPRD2	NA	0	0	0
TOMM70A	NA	0	0	0
ZMYND8	0.94898325	0	0	0
CEBPD	-0.3286215	0	0	0
RPL28	NA	0	0	0
ATP2B4	-0.6318561250000001	0	0	0
RNF168	-0.40781475	0	0	0
EPHA2	-0.247623125	0	0	0
TPM2	-0.891664375	0	0	0
ITGA3	-0.53854025	0	0	0
CD164	0.0755865	0	0	0
SLC38A1	-0.416100625	0	0	0
LARP1	NA	0	0	0
CTNNB1	-0.513826625	0	1	0
SFPQ	-2.41875575	1	0	0
ARHGAP5	-0.918024125	0	1	0
PLOD2	0.19922725	0	0	0
RPS12	-1.44289025	0	0	0
CCNI	0.059410875	0	0	0
ITGB8	-0.4405635	0	0	0
FAM120A	-0.79317425	0	0	0
FZD2	-0.636470375	0	0	0
DAB2	NA	0	0	0
ACTR3	-1.6830405	0	0	0
MAP3K8	-0.9203036250000001	0	0	0
LIN54	-0.997595625	0	0	0
PANK2	0.25585337500000005	0	0	0
ALOXE3	-1.2044217499999998	0	0	1
BCORL1	-0.120399	1	1	0
FOXO1	-1.6385265	1	1	0
MAN1A1	-0.90714875	0	0	0
PVRL2	-0.438836	0	0	0
PTPN14	-0.502307375	0	0	0
BAZ2B	-1.0886885	0	0	0
SNAI2	0.500594125	0	0	0
KCTD1	-0.30635325	0	0	0
CEBPB	-0.325929375	0	0	0
EFNB1	-0.59719575	0	0	0
NEGR1	NA	0	0	0
DDX6	-0.49525275	0	1	0
NPM1	-1.244860625	0	1	0
PPM1D	-0.474031	0	1	0
BNC2	-0.5352192499999999	0	0	0
PVRL3	-0.9157295000000001	0	0	0
RAP2A	-0.49612825	0	0	0
E2F3	-0.08303050000000001	0	0	0
SIAH2	-1.4491968750000002	0	0	0
MYADM	-3.298559875	0	0	0
FBXO5	-1.051796625	0	0	0
HES7	NA	0	0	0
ANXA5	-0.5715026249999999	0	0	0
ATXN2	NA	0	0	0
CTDSP2	-0.938805	0	0	0
HDAC7	-0.693301125	0	0	0
ROCK1	-0.859688875	0	0	0
CDCA8	-0.642776625	0	0	0
WTAP	-0.646051625	0	0	0
PFN1	-1.5110635000000001	0	0	0
BBX	-0.49466449999999995	0	0	0
CD63	-0.5204728750000001	0	0	0
MEX3C	-0.584469	0	0	0
GTPBP1	-0.510968375	0	0	0
FLNA	-0.822019125	0	0	0
KCTD12	-0.3626465	0	0	0
NHLRC3	NA	0	0	1
TMEM30A	NA	0	0	0
TUBA1C	-2.4953165	0	0	0
MAP3K1	-0.511991125	1	1	0
G3BP1	0.09020449999999999	0	0	0
MEF2C	-0.101047625	0	0	0
MFHAS1	-0.41977362500000004	0	0	0
FUS	-1.186853375	1	0	0
NBEAL1	NA	0	0	0
SEPHS1	-0.782399375	0	0	0
RASSF1	-1.0548815	0	0	0
DUSP10	-0.21257125	0	0	0
OSBPL3	NA	0	0	0
SLC12A2	-0.314034375	0	0	0
TNKS1BP1	NA	0	0	0
PHF17	NA	0	0	0
ARID4A	-0.526601875	0	0	0
HNRNPR	-0.582737375	0	0	0
H3F3B	-0.921791375	0	1	0
PAPD7	-0.979758625	0	0	0
NR4A2	-0.5760892500000001	0	0	0
PGRMC2	-1.0795384166650002	0	0	0
MBNL2	NA	0	0	0
SPHK1	-1.077363208335	0	0	0
KCMF1	-1.399670125	0	0	0
GARS	-0.5908638749999999	0	0	0
PPP3R1	-0.091872375	0	0	0
LAMB1	-0.2785813333335	0	0	0
EHD1	-0.31113975	0	0	0
TNFAIP3	-1.3466205	1	0	0
VASP	NA	0	0	0
U2AF2	-2.3755358749999997	0	0	0
PRKAR1A	-0.27556	1	1	0
OGT	0.2558625	0	0	0
WRNIP1	-0.719557625	0	0	1
BDNF	0.16675925	0	0	0
MLXIP	-1.463282875	0	0	0
CORO1C	-0.768219125	0	0	0
STK17B	-0.15143375	0	0	0
EPAS1	-0.056783875	1	1	0
NBR1	NA	0	0	0
CSNK1A1	-0.35128962500000005	0	0	0
NFYA	-0.398408375	0	0	0
CPT1A	-0.044307125	0	0	0
FBN1	-0.162522	0	0	1
DSTN	NA	0	0	0
FOXD1	-0.260130875	0	0	0
IKZF2	-0.67408475	0	0	0
GADD45A	-0.1024429166665	0	0	0
CCDC6	0.20893774999999998	1	0	0
GLRX5	NA	0	0	0
SH3RF1	-1.52466	0	0	0
PFKFB3	-1.327925	0	0	0
PRKD2	-0.865383875	0	0	0
MYL6	-0.45763787499999997	0	0	0
SLC30A1	-0.87075375	0	0	0
HAS2	-0.044244624999999996	0	0	0
SQSTM1	0.032575625	0	0	0
SESN1	NA	0	0	0
GGNBP2	NA	0	0	0
TPP2	-0.7406288750000001	0	0	0
TAGLN2	NA	0	0	0
TNPO2	-0.8008531249999999	0	0	0
PPP1R15A	-1.207836	0	0	0
NUFIP2	NA	0	0	0
PHF21A	-1.0417032499999999	0	0	0
HEG1	NA	0	0	0
TPT1	NA	0	0	0
RNF145	-0.473270875	0	0	0
RCC2	NA	0	0	0
DDX17	-1.731787875	0	0	0
PPP1CB	-0.6265095	0	0	0
FAM108B1	NA	0	0	0
SCAF11	-0.82981275	0	0	0
HNRNPA0	-0.530443875	0	0	0
HOXA1	-0.7160614166665	0	0	0
RAB10	-0.35896825	0	0	0
ENAH	-1.018624875	0	0	0
RPL27A	NA	0	0	0
JUND	-1.4567071249999999	0	0	0
UTRN	-0.6052712499999999	0	0	0
CREBZF	-0.410959375	0	0	0
RHOBTB3	-0.973864375	0	0	0
C12ORF23	NA	0	0	1
MYO10	NA	0	0	0
PDGFC	NA	0	0	0
NAP1L4	NA	0	0	0
TGFB1	-1.425364375	0	0	0
RBM39	-1.998933875	0	0	0
ATN1	-0.382636125	0	0	0
MAP4K3	-1.5824436249999998	0	0	0
RNH1	0.08986387500000001	0	0	0
ZFHX3	0.097457125	1	0	0
TM9SF2	-0.2279505	0	0	0
THAP9	NA	0	0	1
GDI2	0.693519625	0	0	0
CSRNP1	NA	0	0	0
NEK7	-0.7602545	0	0	0
PCNT	NA	0	0	0
BACH1	-0.8201485	0	0	0
TXNDC12	-0.19942500000000002	0	0	0
HIPK3	-0.184895125	0	0	0
CALD1	NA	0	0	0
DDIT4	-0.947700375	0	0	0
ADAMTS9	0.35876287500000004	0	0	0
PPP3CA	-0.425509625	0	0	0
TMSB4X	NA	0	0	0
CNOT8	-0.643167875	0	0	0
EMP1	NA	0	0	0
NFKBIZ	NA	0	0	0
PRKCE	-0.39049275	0	0	0
RBPMS	NA	0	0	0
INSIG1	NA	0	0	1
OAZ1	-0.18084287500000001	0	0	0
RRM2	-0.6660047499999999	0	0	0
OTUD4	NA	0	0	0
EIF4G2	NA	0	0	0
STT3B	NA	0	0	0
MGAT1	0.05905375	0	0	0
SLC3A2	-0.492005125	0	0	0
SMEK2	NA	0	0	0
UBL3	-0.047997	0	0	0
ANKRD17	-1.1729495	0	0	0
TMCO3	NA	0	0	0
HNRNPA2B1	-0.1984532916665	0	1	0
CBX3	0.648777375	0	0	0
NFKBIA	-1.5517805	0	0	0
TGFB3	-0.7550595	0	0	0
AIM1	NA	0	0	0
ETS2	-0.7776412500000001	0	0	0
ADD3	NA	0	0	0
NDUFV2	-1.2117155	0	0	0
TSPYL4	NA	0	0	0
GLUL	-0.59667775	0	0	0
USP3	-0.031259	0	0	0
TSHZ1	-0.8060825	0	0	0
ZADH2	0.247815875	0	0	0
COL6A3	0.302586	0	0	0
NR3C2	-0.228306125	0	0	0
UBP1	0.268143125	0	0	0
ZNF839	NA	0	0	0
SPTAN1	NA	0	0	0
TBX18	-0.6542935000000001	0	0	0
FAS	-0.31164875000000003	1	0	0
ZNF827	NA	0	0	0
GNAQ	0.011298625	0	1	0
HMGB2	0.358989125	0	0	0
PDZD8	NA	0	0	0
PMP22	-0.180949125	0	0	0
HERPUD1	-0.40032325	0	0	0
PHIP	NA	0	0	0
PANX1	NA	0	0	0
RPL14	NA	0	0	0
NFAT5	-1.094352625	0	0	0
SKIL	-0.052506125	0	0	0
ACVR2A	-0.25017625	1	0	0
GBA2	-0.537768625	0	0	1
ETF1	NA	0	0	0
UBE2E1	-0.582242125	0	0	0
PIM1	-0.730466375	0	1	0
LDLR	-1.562902375	0	0	0
SSFA2	NA	0	0	0
HMG20A	-0.267706125	0	0	0
EBF1	-0.21654	1	0	0
CUX1	-0.488029875	1	1	0
C14ORF104	NA	0	0	0
ATP1B3	-0.846725875	0	0	0
ID1	-1.271822625	0	0	0
MAP2K3	-0.606027375	0	0	0
SLK	-0.791865625	0	0	0
NEDD9	-0.49905299999999997	0	0	0
CTNND1	NA	0	0	0
KAZALD1	NA	0	0	0
RAD23B	-1.010810375	0	0	0
CKS2	-0.832124375	0	0	0
ZBTB41	NA	0	0	0
EGR3	-0.23379275	0	0	0
ING2	-0.5128349999999999	0	0	0
FGFR1	-1.019230875	0	1	0
PMAIP1	NA	0	0	0
RHOA	-0.839026625	1	1	0
TRIM41	-0.615796375	0	0	0
ATP1B1	-1.13017725	0	0	0
TBL1XR1	-0.400220625	1	1	0
TGFBR2	-0.267334125	1	0	0
RASSF3	0.6573205	0	0	0
TACC1	NA	0	0	0
PTPN1	-1.0732145	0	0	0
