Gene	noncoding_mutation_rate	TSG	OG	NG
SKI	3.48E-06	0	1	0
PPP1R15B	2.66E-06	0	0	0
MCL1	2.75E-06	0	0	0
TWIST2	NA	0	0	0
NFE2L1	2.51E-06	0	0	0
DUSP1	2.04E-06	0	0	0
DUSP5	2.07E-06	0	0	0
EEF1A1	2.81E-06	0	0	0
RAP2B	3.79E-06	0	0	0
SOX4	3.13E-06	0	0	0
ZYX	3.47E-06	0	0	0
SATB2	4.72E-06	0	0	0
IRF2BPL	NA	0	0	0
DCBLD2	4.95E-06	0	0	0
CPEB2	2.96E-06	0	0	0
PTMA	2.68E-06	0	0	0
ANP32A	2.30E-06	0	0	0
KLF9	2.97E-06	0	0	0
ARID5B	2.17E-06	0	0	0
TCF7L2	1.85E-06	0	1	0
ING1	3.06E-06	0	0	0
ZBTB7B	2.43E-06	0	0	0
COL1A1	1.93E-06	0	0	0
IGF2BP2	2.77E-06	1	0	0
BBC3	2.55E-06	0	0	0
PLK2	3.08E-06	0	0	0
MT-CYB	NA	0	0	0
ALKBH5	3.21E-06	0	0	0
IRS2	3.61E-06	0	0	0
ZFHX4	7.77E-06	0	0	0
PHLDA1	2.43E-06	0	0	0
SPRY4	1.77E-06	0	0	0
TSC22D1	2.25E-06	0	0	0
RBMS3	3.10E-06	0	0	0
SPN	NA	0	0	0
CITED2	2.63E-06	0	0	0
WNK1	2.80E-06	0	0	0
DDX3X	2.18E-06	1	0	0
BCOR	2.33E-06	1	0	0
CTDSP1	2.09E-06	0	0	0
RND3	3.04E-06	0	0	0
JUN	2.00E-06	0	1	0
MAT2B	5.32E-06	0	0	0
TRIB2	3.29E-06	0	0	0
MTCO1P12	NA	0	0	0
BMI1	3.15E-06	0	0	0
SPRED1	2.82E-06	0	0	0
CDK13	3.71E-06	0	0	0
WEE1	2.19E-06	0	0	0
HEXIM1	2.59E-06	0	0	0
CDH11	5.30E-06	1	0	0
ADAMTS1	4.44E-06	0	0	0
CCDC80	2.81E-06	0	0	0
FZD7	2.20E-06	0	0	0
FOXC1	2.74E-06	0	0	0
BAZ2A	2.27E-06	0	0	0
ARHGEF17	1.73E-06	0	0	0
KLF7	2.89E-06	0	0	0
PKM2	2.24E-06	0	0	0
MSL2	3.51E-06	0	0	0
TGFB2	4.95E-06	0	0	0
KLF16	2.43E-06	0	0	0
CRIM1	3.19E-06	0	0	0
JAG1	2.80E-06	0	0	0
HNRNPH1	3.15E-06	0	0	0
FAT1	3.86E-06	1	0	0
BCL2L1	4.52E-06	0	0	0
DLX2	2.21E-06	0	0	0
JARID2	2.83E-06	0	0	0
C10ORF140	2.88E-06	0	0	0
LASP1	2.88E-06	0	0	0
NIPBL	3.04E-06	0	0	0
ALCAM	3.83E-06	0	0	0
AKIRIN2	2.76E-06	0	0	0
ZNF703	2.50E-06	0	0	0
YWHAZ	2.87E-06	0	0	0
TBX5	4.79E-06	0	0	0
ZNF462	3.11E-06	0	0	0
SAMD4A	2.18E-06	0	0	0
CDC42EP3	2.00E-06	0	0	0
SPRED2	2.43E-06	0	0	0
TLE3	2.30E-06	0	0	0
BMPR2	2.15E-06	0	0	0
IGF1R	2.91E-06	0	0	0
MLLT6	3.14E-06	0	0	0
TOB2	2.31E-06	0	0	0
ZFAND5	2.49E-06	0	0	0
ZSWIM6	NA	0	0	0
PAWR	3.13E-06	0	0	0
ZMIZ1	2.22E-06	0	0	0
HSPA8	3.63E-06	0	0	0
FOXP1	2.30E-06	0	1	0
HNRNPD	2.32E-06	0	0	0
NRP2	2.57E-06	0	0	0
TLE4	4.50E-06	0	0	0
SMAD6	1.92E-06	0	0	0
TRA2B	2.66E-06	0	0	0
OSR1	2.53E-06	0	0	0
VEGFA	2.23E-06	0	0	0
PBX1	4.88E-06	0	1	0
JUNB	2.82E-06	0	0	0
STIM2	3.04E-06	0	0	0
C6ORF62	2.65E-06	0	0	0
DUSP4	2.15E-06	0	0	0
LZTS2	1.97E-06	0	0	0
CCNL1	3.25E-06	0	0	0
FDFT1	4.21E-06	0	0	0
C3ORF58	3.94E-06	0	0	1
C17ORF59	2.52E-06	0	0	0
PURB	2.70E-06	0	0	0
ACTB	3.00E-06	0	0	0
LRP1	2.18E-06	0	0	0
EFNA5	2.86E-06	0	0	0
NAB2	2.19E-06	1	0	0
KLF3	2.25E-06	0	0	0
SOS1	1.70E-06	0	0	0
CDKN1B	2.54E-06	1	0	0
MICA	NA	0	0	0
APOLD1	2.57E-06	0	0	0
NNMT	3.21E-06	0	0	0
NUDT4	2.20E-06	0	0	0
HIVEP1	2.65E-06	0	0	0
ARF6	2.23E-06	0	0	0
NFIA	2.22E-06	0	0	0
VCPIP1	3.27E-06	0	0	0
PCDH10	8.50E-06	0	0	0
MAT2A	1.80E-06	0	0	0
SPARC	2.16E-06	0	0	0
PTGER4	4.93E-06	0	0	0
SIX1	2.50E-06	0	1	0
SMARCA2	2.60E-06	0	0	0
BCL2L11	NA	0	0	0
CAV1	2.87E-06	0	0	0
LAMC1	3.05E-06	0	0	0
MLL2	2.37E-06	0	0	0
NRIP1	3.45E-06	0	0	0
MAMLD1	2.54E-06	0	0	0
CSDA	3.16E-06	0	0	0
SPRY1	2.42E-06	0	0	0
TENC1	1.99E-06	0	0	0
ID3	1.80E-06	1	0	0
KDM5B	2.16E-06	0	0	0
DR1	1.76E-06	0	0	0
DHRS3	3.89E-06	0	0	0
PCF11	2.86E-06	0	0	0
CNN3	2.02E-06	0	0	0
TRIO	3.36E-06	0	0	0
CFLAR	2.04E-06	0	0	0
BMP4	2.66E-06	0	0	0
ZC3H4	2.43E-06	0	0	0
CXXC5	1.64E-06	0	0	0
GLS	2.03E-06	0	0	0
SEPT11	1.85E-06	0	0	0
PTPRG	2.36E-06	0	0	0
FUBP1	3.10E-06	0	1	0
MIDN	2.71E-06	0	0	0
SOX9	2.81E-06	0	0	0
CD44	2.08E-06	0	0	0
UGCG	1.93E-06	0	0	0
NFE2L2	2.46E-06	1	1	0
ZBTB7A	2.61E-06	0	0	0
ATP2A2	2.23E-06	0	0	0
FOXC2	3.56E-06	0	0	0
PCDH18	5.40E-06	0	0	0
ZCCHC2	2.26E-06	0	0	0
MID1IP1	2.19E-06	0	0	1
UBTF	2.44E-06	0	0	0
MLLT3	2.59E-06	0	0	0
KIAA1539	2.15E-06	0	0	0
SNX33	2.64E-06	0	0	0
FST	2.75E-06	0	0	0
HOXB4	2.90E-06	0	0	0
RPL3	2.33E-06	0	0	0
RNASE4	3.16E-06	0	0	0
SALL1	4.02E-06	0	0	0
ATXN1	2.75E-06	0	0	0
BCL3	2.99E-06	0	1	0
MAML3	2.09E-06	0	0	0
SNX18	2.74E-06	0	0	0
CAMK2D	2.72E-06	0	0	0
ACTN1	1.92E-06	0	0	0
SLC2A1	1.68E-06	0	0	0
KLF10	2.79E-06	0	0	0
EIF4A2	2.76E-06	0	0	0
KIAA1949	2.57E-06	0	0	0
KLF12	3.05E-06	0	0	0
TCF4	2.96E-06	0	0	0
EFNB2	3.68E-06	0	0	0
USP9X	2.16E-06	0	0	0
FZD8	3.56E-06	0	0	0
ARHGEF12	2.51E-06	1	0	0
ST3GAL1	3.33E-06	0	0	0
ATP1A1	1.91E-06	1	1	0
GAPDH	2.49E-06	0	0	0
HNRNPU	3.34E-06	0	0	0
HSPA5	2.18E-06	0	0	0
VCAN	3.27E-06	0	0	0
FOXF1	3.57E-06	0	0	0
GABPB1	2.54E-06	0	0	0
ETV1	5.59E-06	0	1	0
ARF4	2.03E-06	0	0	0
PNRC1	2.20E-06	0	0	0
CDC42BPA	2.57E-06	0	0	0
FTH1	2.27E-06	0	0	0
TXNIP	4.63E-06	0	0	0
ERRFI1	1.91E-06	0	0	0
TIPARP	3.06E-06	0	0	0
PRRX1	4.58E-06	0	0	0
FEM1B	2.16E-06	0	0	0
TEAD1	2.24E-06	0	0	0
CPEB4	2.47E-06	0	0	0
TRERF1	2.34E-06	0	0	0
TRIB1	3.18E-06	0	0	0
NFIL3	2.64E-06	0	0	0
FSCN1	2.97E-06	0	0	0
CALM2	2.11E-06	0	0	0
STAG2	3.50E-06	1	0	0
TUBB3	NA	0	0	0
IGF2BP1	3.01E-06	0	0	0
VGLL4	2.11E-06	0	0	0
GIT2	2.08E-06	0	0	0
TRPS1	6.03E-06	0	0	0
SMAD3	1.92E-06	1	0	0
HNRNPUL1	2.72E-06	0	0	0
ELL2	2.13E-06	0	0	0
MGEA5	1.68E-06	0	0	0
CLTC	2.32E-06	1	0	0
STXBP5	3.50E-06	0	0	0
ATF4	2.33E-06	0	0	0
JUB	2.08E-06	0	0	0
CDKN2C	2.14E-06	1	0	0
PRPF4B	2.47E-06	0	0	0
SERBP1	2.26E-06	0	0	0
SDC4	2.34E-06	0	0	0
ERBB2IP	2.38E-06	0	0	0
MAP7D1	2.13E-06	0	0	0
MLL	2.25E-06	0	0	0
HES1	2.62E-06	0	0	0
SLIT2	5.61E-06	0	0	0
LRIG3	3.33E-06	1	0	0
HUWE1	3.01E-06	0	0	0
HIC1	1.90E-06	0	0	0
BHLHE41	3.00E-06	0	0	0
AAK1	1.86E-06	0	0	0
CDC42SE1	2.51E-06	0	0	0
HNRNPF	3.70E-06	0	0	0
SCD	2.12E-06	0	0	0
VGLL3	6.16E-06	0	0	0
ARSJ	2.63E-06	0	0	1
HIVEP2	2.27E-06	0	0	0
WDR26	3.33E-06	0	0	0
SOX12	3.02E-06	0	0	0
B4GALT1	2.68E-06	0	0	0
MAN1A2	2.10E-06	0	0	0
SLC16A1	2.08E-06	0	0	0
COL12A1	3.08E-06	0	0	0
MYL12A	2.18E-06	0	0	0
MIER1	2.79E-06	0	0	0
AMD1	2.18E-06	0	0	0
MXI1	2.44E-06	0	0	0
ETV6	2.61E-06	1	0	0
SP3	1.96E-06	0	0	0
SQLE	2.90E-06	0	0	0
RHOF	2.49E-06	0	0	0
ERF	2.66E-06	0	0	0
ZBTB37	3.41E-06	0	0	0
SEPT10	1.75E-06	0	0	0
USP38	3.45E-06	0	0	0
ARF1	2.62E-06	0	0	0
WBP4	2.56E-06	0	0	0
CHD3	2.36E-06	0	0	0
KLF4	2.82E-06	1	1	0
GADD45B	2.73E-06	0	0	0
EP300	2.26E-06	1	0	0
LAPTM4A	1.95E-06	0	0	0
RUSC1	2.27E-06	0	0	0
MSL1	2.10E-06	0	0	0
TOB1	2.21E-06	0	0	0
FEM1C	2.94E-06	0	0	0
BAG3	2.25E-06	0	0	0
WWTR1	2.63E-06	0	1	0
MEF2D	2.53E-06	0	0	0
ENO1	1.70E-06	0	0	0
STC2	2.08E-06	0	0	0
ZEB1	3.53E-06	0	1	0
CDKN1A	2.03E-06	1	1	0
MYCBP2	2.97E-06	0	0	0
COL3A1	3.36E-06	0	0	0
MSH5	2.34E-06	0	0	0
XPO1	2.23E-06	0	1	0
FBXO11	2.98E-06	1	0	0
KNTC1	2.26E-06	0	0	0
HNRNPL	2.43E-06	0	0	0
ADAMTS6	2.55E-06	0	0	0
USPL1	2.42E-06	0	0	0
FBXL14	2.80E-06	0	0	0
RNF139	2.99E-06	0	0	0
ITPRIP	2.76E-06	0	0	0
CDK17	2.98E-06	0	0	0
NT5E	4.42E-06	0	0	0
GATA3	4.36E-06	1	1	0
NUAK1	2.98E-06	0	0	0
TLE1	3.84E-06	0	0	0
PICALM	2.61E-06	0	0	0
SC4MOL	4.50E-06	0	0	0
ENC1	2.26E-06	0	0	0
YY1	2.14E-06	0	0	0
REV3L	2.02E-06	0	0	0
PHF12	2.17E-06	0	0	0
MAP4K4	2.37E-06	0	0	0
KLHL21	1.86E-06	0	0	0
PBX3	2.41E-06	0	0	0
SRF	2.18E-06	0	0	0
SGMS1	3.01E-06	0	0	0
SMTN	2.06E-06	0	0	1
PER1	2.52E-06	1	0	0
F3	1.65E-06	0	0	0
EEF2	2.59E-06	0	0	0
MYH9	2.40E-06	1	0	0
FGF5	3.36E-06	0	0	0
SEMA5A	5.48E-06	0	0	0
FZD1	4.19E-06	0	0	0
MAF	3.08E-06	0	1	0
RBPJ	2.02E-06	0	0	0
PTTG1IP	2.95E-06	0	0	0
SLC1A5	2.37E-06	0	0	0
PFN2	2.53E-06	0	0	0
SLC20A1	2.86E-06	0	0	0
YAP1	2.89E-06	0	0	0
SNX1	2.02E-06	0	0	0
SHB	2.44E-06	0	0	0
SERPINH1	1.99E-06	0	0	0
GAS1	3.46E-06	0	0	0
GIT1	2.12E-06	0	0	0
CLK1	1.98E-06	0	0	0
PHF15	1.65E-06	0	0	0
EPHA4	3.78E-06	0	0	0
UBE2H	NA	0	0	0
TRHDE	7.17E-06	0	0	0
DNAJB4	3.10E-06	0	0	0
GJA1	4.52E-06	0	0	0
ZBTB10	2.77E-06	0	0	0
CIC	2.66E-06	1	1	0
AMOTL2	2.84E-06	0	0	0
ZNF292	3.71E-06	0	0	0
PTBP1	3.86E-06	0	0	0
KDM6A	2.15E-06	1	1	0
ACTN4	2.38E-06	0	0	0
PPP1R12A	3.22E-06	0	0	0
UQCRH	1.76E-06	0	0	0
PCBP1	1.87E-06	0	0	0
GABBR1	3.61E-06	0	0	0
CBLB	3.33E-06	1	0	0
TRAM2	2.86E-06	0	0	0
ASPH	3.93E-06	0	0	0
OBFC2A	2.89E-06	0	0	0
BRI3	4.24E-06	0	0	0
DPYSL2	2.62E-06	0	0	0
PTGES3	2.26E-06	0	0	0
CSNK1E	2.14E-06	0	0	0
S100A10	2.95E-06	0	0	0
IGFBP4	2.24E-06	0	0	0
RBM15	2.09E-06	0	0	0
SEPT2	2.69E-06	0	0	0
CYP1B1	1.89E-06	0	0	0
FAT4	4.79E-06	1	0	0
EGR1	1.83E-06	0	0	0
KLF13	2.96E-06	0	0	0
SYNCRIP	4.50E-06	0	0	0
LRFN5	8.59E-06	0	0	0
YBX1	1.74E-06	0	0	0
GLUD1	2.50E-06	0	0	0
CCND2	3.20E-06	0	1	0
AHR	2.43E-06	0	0	0
IL6ST	2.32E-06	0	1	0
MAML2	2.49E-06	0	1	0
MEX3B	2.95E-06	0	0	1
CACNB3	2.45E-06	0	0	0
TSPAN5	2.48E-06	0	0	0
MDM2	2.66E-06	0	1	0
RANBP9	2.58E-06	0	0	0
CRKL	4.28E-06	0	0	0
NRM	2.57E-06	0	0	0
PABPC1	2.89E-06	1	1	0
UGP2	2.09E-06	0	0	0
RBBP6	3.34E-06	0	0	0
SOCS3	2.20E-06	0	0	0
TSHZ3	6.27E-06	0	0	0
SOX11	7.68E-06	0	0	0
KDM2B	2.67E-06	0	0	0
RABGGTB	5.63E-06	0	0	0
ALDOA	NA	0	0	0
KIF26B	3.48E-06	0	0	0
IVNS1ABP	3.18E-06	0	0	0
CDC42EP4	2.55E-06	0	0	0
FANK1	3.53E-06	0	0	0
TMEM165	3.14E-06	0	0	0
SAP30	3.68E-06	0	0	0
LPHN2	3.87E-06	0	0	0
ODZ4	2.98E-06	0	0	0
ACBD5	3.10E-06	0	0	0
TRAF7	2.00E-06	1	0	0
FOS	1.88E-06	0	0	0
ARL4C	2.53E-06	0	0	0
C6ORF145	2.26E-06	0	0	0
PPAP2B	3.07E-06	0	0	0
PRDX6	3.44E-06	0	0	0
DUSP7	1.72E-06	0	0	0
RPRD2	3.04E-06	0	0	0
TOMM70A	2.99E-06	0	0	0
ZMYND8	2.72E-06	0	0	0
CEBPD	3.09E-06	0	0	0
RPL28	3.87E-06	0	0	0
ATP2B4	2.55E-06	0	0	0
RNF168	4.65E-06	0	0	0
EPHA2	2.70E-06	0	0	0
TPM2	1.99E-06	0	0	0
ITGA3	1.97E-06	0	0	0
CD164	2.13E-06	0	0	0
SLC38A1	2.45E-06	0	0	0
LARP1	2.55E-06	0	0	0
CTNNB1	2.67E-06	0	1	0
SFPQ	2.30E-06	1	0	0
ARHGAP5	2.52E-06	0	1	0
PLOD2	5.78E-06	0	0	0
RPS12	3.40E-06	0	0	0
CCNI	1.87E-06	0	0	0
ITGB8	3.98E-06	0	0	0
FAM120A	2.23E-06	0	0	0
FZD2	2.32E-06	0	0	0
DAB2	3.79E-06	0	0	0
ACTR3	5.02E-06	0	0	0
MAP3K8	3.17E-06	0	0	0
LIN54	1.94E-06	0	0	0
PANK2	2.53E-06	0	0	0
ALOXE3	2.48E-06	0	0	1
BCORL1	2.76E-06	1	1	0
FOXO1	2.56E-06	1	1	0
MAN1A1	2.85E-06	0	0	0
PVRL2	2.85E-06	0	0	0
PTPN14	3.68E-06	0	0	0
BAZ2B	1.71E-06	0	0	0
SNAI2	5.47E-06	0	0	0
KCTD1	2.91E-06	0	0	0
CEBPB	2.49E-06	0	0	0
EFNB1	2.61E-06	0	0	0
NEGR1	5.22E-06	0	0	0
DDX6	2.31E-06	0	1	0
NPM1	2.36E-06	0	1	0
PPM1D	2.40E-06	0	1	0
BNC2	3.39E-06	0	0	0
PVRL3	4.31E-06	0	0	0
RAP2A	3.06E-06	0	0	0
E2F3	2.60E-06	0	0	0
SIAH2	2.83E-06	0	0	0
MYADM	5.56E-06	0	0	0
FBXO5	4.99E-06	0	0	0
HES7	2.52E-06	0	0	0
ANXA5	3.47E-06	0	0	0
ATXN2	2.56E-06	0	0	0
CTDSP2	2.48E-06	0	0	0
HDAC7	2.43E-06	0	0	0
ROCK1	3.28E-06	0	0	0
CDCA8	2.80E-06	0	0	0
WTAP	3.29E-06	0	0	0
PFN1	2.17E-06	0	0	0
BBX	3.05E-06	0	0	0
CD63	3.06E-06	0	0	0
MEX3C	3.35E-06	0	0	0
GTPBP1	2.26E-06	0	0	0
FLNA	2.78E-06	0	0	0
KCTD12	3.13E-06	0	0	0
NHLRC3	3.01E-06	0	0	1
TMEM30A	2.92E-06	0	0	0
TUBA1C	2.29E-06	0	0	0
MAP3K1	2.21E-06	1	1	0
G3BP1	2.27E-06	0	0	0
MEF2C	4.88E-06	0	0	0
MFHAS1	3.00E-06	0	0	0
FUS	2.57E-06	1	0	0
NBEAL1	1.88E-06	0	0	0
SEPHS1	2.76E-06	0	0	0
RASSF1	1.58E-06	0	0	0
DUSP10	4.90E-06	0	0	0
OSBPL3	2.95E-06	0	0	0
SLC12A2	2.54E-06	0	0	0
TNKS1BP1	3.46E-06	0	0	0
PHF17	3.27E-06	0	0	0
ARID4A	2.96E-06	0	0	0
HNRNPR	1.73E-06	0	0	0
H3F3B	2.19E-06	0	1	0
PAPD7	5.51E-06	0	0	0
NR4A2	3.25E-06	0	0	0
PGRMC2	2.49E-06	0	0	0
MBNL2	3.19E-06	0	0	0
SPHK1	2.25E-06	0	0	0
KCMF1	2.33E-06	0	0	0
GARS	2.70E-06	0	0	0
PPP3R1	2.83E-06	0	0	0
LAMB1	2.83E-06	0	0	0
EHD1	2.15E-06	0	0	0
TNFAIP3	2.39E-06	1	0	0
VASP	2.11E-06	0	0	0
U2AF2	3.77E-06	0	0	0
PRKAR1A	2.59E-06	1	1	0
OGT	2.89E-06	0	0	0
WRNIP1	2.30E-06	0	0	1
BDNF	3.10E-06	0	0	0
MLXIP	2.39E-06	0	0	0
CORO1C	2.84E-06	0	0	0
STK17B	2.81E-06	0	0	0
EPAS1	1.75E-06	1	1	0
NBR1	2.19E-06	0	0	0
CSNK1A1	1.57E-06	0	0	0
NFYA	2.96E-06	0	0	0
CPT1A	2.43E-06	0	0	0
FBN1	2.68E-06	0	0	1
DSTN	3.40E-06	0	0	0
FOXD1	1.89E-06	0	0	0
IKZF2	3.80E-06	0	0	0
GADD45A	2.20E-06	0	0	0
CCDC6	2.31E-06	1	0	0
GLRX5	2.84E-06	0	0	0
SH3RF1	2.26E-06	0	0	0
PFKFB3	2.95E-06	0	0	0
PRKD2	2.36E-06	0	0	0
MYL6	2.49E-06	0	0	0
SLC30A1	3.25E-06	0	0	0
HAS2	3.86E-06	0	0	0
SQSTM1	3.07E-06	0	0	0
SESN1	1.86E-06	0	0	0
GGNBP2	2.60E-06	0	0	0
TPP2	4.12E-06	0	0	0
TAGLN2	3.80E-06	0	0	0
TNPO2	2.83E-06	0	0	0
PPP1R15A	2.70E-06	0	0	0
NUFIP2	2.16E-06	0	0	0
PHF21A	2.32E-06	0	0	0
HEG1	2.88E-06	0	0	0
TPT1	2.65E-06	0	0	0
RNF145	2.92E-06	0	0	0
RCC2	2.79E-06	0	0	0
DDX17	2.20E-06	0	0	0
PPP1CB	1.96E-06	0	0	0
FAM108B1	2.89E-06	0	0	0
SCAF11	NA	0	0	0
HNRNPA0	2.39E-06	0	0	0
HOXA1	3.15E-06	0	0	0
RAB10	1.94E-06	0	0	0
ENAH	2.64E-06	0	0	0
RPL27A	2.50E-06	0	0	0
JUND	2.46E-06	0	0	0
UTRN	2.55E-06	0	0	0
CREBZF	3.34E-06	0	0	0
RHOBTB3	2.29E-06	0	0	0
C12ORF23	2.56E-06	0	0	1
MYO10	4.45E-06	0	0	0
PDGFC	4.75E-06	0	0	0
NAP1L4	3.30E-06	0	0	0
TGFB1	2.71E-06	0	0	0
RBM39	2.34E-06	0	0	0
ATN1	2.89E-06	0	0	0
MAP4K3	1.96E-06	0	0	0
RNH1	3.01E-06	0	0	0
ZFHX3	2.86E-06	1	0	0
TM9SF2	2.60E-06	0	0	0
THAP9	1.92E-06	0	0	1
GDI2	2.52E-06	0	0	0
CSRNP1	2.62E-06	0	0	0
NEK7	3.60E-06	0	0	0
PCNT	NA	0	0	0
BACH1	2.58E-06	0	0	0
TXNDC12	1.93E-06	0	0	0
HIPK3	2.58E-06	0	0	0
CALD1	2.24E-06	0	0	0
DDIT4	1.76E-06	0	0	0
ADAMTS9	2.53E-06	0	0	0
PPP3CA	3.10E-06	0	0	0
TMSB4X	NA	0	0	0
CNOT8	2.98E-06	0	0	0
EMP1	3.09E-06	0	0	0
NFKBIZ	2.98E-06	0	0	0
PRKCE	1.83E-06	0	0	0
RBPMS	2.06E-06	0	0	0
INSIG1	4.58E-06	0	0	1
OAZ1	2.62E-06	0	0	0
RRM2	1.89E-06	0	0	0
OTUD4	3.08E-06	0	0	0
EIF4G2	2.26E-06	0	0	0
STT3B	2.01E-06	0	0	0
MGAT1	6.88E-06	0	0	0
SLC3A2	2.80E-06	0	0	0
SMEK2	2.42E-06	0	0	0
UBL3	2.77E-06	0	0	0
ANKRD17	3.03E-06	0	0	0
TMCO3	9.44E-06	0	0	0
HNRNPA2B1	3.01E-06	0	1	0
CBX3	3.01E-06	0	0	0
NFKBIA	NA	0	0	0
TGFB3	2.04E-06	0	0	0
AIM1	2.12E-06	0	0	0
ETS2	2.51E-06	0	0	0
ADD3	3.04E-06	0	0	0
NDUFV2	2.32E-06	0	0	0
TSPYL4	2.81E-06	0	0	0
GLUL	3.42E-06	0	0	0
USP3	1.96E-06	0	0	0
TSHZ1	3.62E-06	0	0	0
ZADH2	3.48E-06	0	0	0
COL6A3	2.12E-06	0	0	0
NR3C2	2.71E-06	0	0	0
UBP1	2.38E-06	0	0	0
ZNF839	2.14E-06	0	0	0
SPTAN1	2.03E-06	0	0	0
TBX18	5.13E-06	0	0	0
FAS	1.88E-06	1	0	0
ZNF827	2.92E-06	0	0	0
GNAQ	2.68E-06	0	1	0
HMGB2	3.68E-06	0	0	0
PDZD8	3.17E-06	0	0	0
PMP22	3.60E-06	0	0	0
HERPUD1	1.70E-06	0	0	0
PHIP	3.51E-06	0	0	0
PANX1	2.89E-06	0	0	0
RPL14	2.71E-06	0	0	0
NFAT5	2.60E-06	0	0	0
SKIL	3.36E-06	0	0	0
ACVR2A	2.80E-06	1	0	0
GBA2	1.96E-06	0	0	1
ETF1	1.83E-06	0	0	0
UBE2E1	2.32E-06	0	0	0
PIM1	2.28E-06	0	1	0
LDLR	2.21E-06	0	0	0
SSFA2	3.16E-06	0	0	0
HMG20A	2.57E-06	0	0	0
EBF1	3.06E-06	1	0	0
CUX1	3.55E-06	1	1	0
C14ORF104	2.79E-06	0	0	0
ATP1B3	2.58E-06	0	0	0
ID1	6.22E-06	0	0	0
MAP2K3	4.82E-06	0	0	0
SLK	2.02E-06	0	0	0
NEDD9	2.44E-06	0	0	0
