Gene	Missense_entropy
IRF2BPL	0.083673
DCBLD2	0.074932
CPEB2	0.156692
PTMA	0.052291
ANP32A	0.099805
KLF9	0.05332
ARID5B	0.117811
TCF7L2	0.271523
ING1	0.209495
ZBTB7B	0.106651
COL1A1	0.09791
IGF2BP2	0.069597
BBC3	0.089964
PLK2	0.079434
MT-CYB	0.0
ALKBH5	0.045623
IRS2	0.084118
ZFHX4	0.157049
PHLDA1	0.093366
SPRY4	0.101781
TSC22D1	0.032147
RBMS3	0.084783
SPN	0.102663
CITED2	0.251563
WNK1	0.077056
DDX3X	0.239714
BCOR	0.43065
CTDSP1	0.046222
RND3	0.077664
JUN	0.131449
MAT2B	0.074457
TRIB2	0.119697
MTCO1P12	0
BMI1	0.103228
SPRED1	0.074317
CDK13	0.064109
WEE1	0.053067
HEXIM1	0.047593
CDH11	0.152611
ADAMTS1	0.050632
CCDC80	0.146621
FZD7	0.074295
FOXC1	0.036566
BAZ2A	0.148356
ARHGEF17	0.122894
KLF7	0.08525
PKM2	0.053946
MSL2	0.087328
TGFB2	0.080961
KLF16	0.031945
CRIM1	0.093353
JAG1	0.08672
HNRNPH1	0.116152
FAT1	0.180444
BCL2L1	0.076697
DLX2	0.030136
JARID2	0.092979
C10ORF140	0.196879
LASP1	0.051082
NIPBL	0.132915
ALCAM	0.068575
AKIRIN2	0.346271
ZNF703	0.065645
YWHAZ	0.070259
TBX5	0.175379
ZNF462	0.115771
SAMD4A	0.044666
CDC42EP3	0.105081
SPRED2	0.108765
TLE3	0.125468
BMPR2	0.085037
IGF1R	0.10596
MLLT6	0.031945
TOB2	0.04847
ZFAND5	0.05635
ZSWIM6	0.044101
PAWR	0.074093
ZMIZ1	0.114607
HSPA8	0.048206
FOXP1	0.174821
HNRNPD	0.068893
NRP2	0.102721
TLE4	0.110839
SMAD6	0.054724
TRA2B	0.096456
OSR1	0.104481
VEGFA	0.098676
PBX1	0.091991
JUNB	0.029576
STIM2	0.149894
C6ORF62	0.100072
DUSP4	0.121714
LZTS2	0.086695
CCNL1	0.088739
FDFT1	0.055513
C3ORF58	0.088754
C17ORF59	0.106377
PURB	0.036905
ACTB	0.209078
LRP1	0.092802
EFNA5	0.123979
NAB2	0.216011
KLF3	0.093974
SOS1	0.210852
CDKN1B	0.317397
MICA	0.351872
APOLD1	0.049254
NNMT	0.072884
NUDT4	0.25129
HIVEP1	0.103872
ARF6	0.273145
NFIA	0.177904
VCPIP1	0.059685
PCDH10	0.129773
MAT2A	0.078731
SPARC	0.095792
PTGER4	0.064584
SIX1	1.349884
SMARCA2	0.101563
BCL2L11	0.200426
CAV1	0.945513
LAMC1	0.133699
MLL2	0.166459
NRIP1	0.097657
MAMLD1	0.134691
CSDA	0.07053
SPRY1	0.071237
TENC1	0.131082
ID3	0.507253
KDM5B	0.088682
DR1	0.053021
DHRS3	0.071306
PCF11	0.151314
CNN3	0.062335
TRIO	0.082742
CFLAR	0.175299
BMP4	0.130319
ZC3H4	0.170444
CXXC5	0.045623
GLS	0.040744
SEPT11	0.083807
PTPRG	0.082321
FUBP1	0.167316
MIDN	0.042694
SOX9	0.194278
CD44	0.058339
UGCG	0.030717
NFE2L2	1.373589
ZBTB7A	0.133188
ATP2A2	0.054518
FOXC2	0.098935
PCDH18	0.312289
ZCCHC2	0.099417
MID1IP1	0.051383
UBTF	0.06423
MLLT3	0.119823
KIAA1539	0.117285
SNX33	0.076142
FST	0.037234
HOXB4	0.05544
RPL3	0.027845
RNASE4	0.160998
SALL1	0.185446
ATXN1	0.393763
BCL3	0.066634
MAML3	0.142337
SNX18	0.08909
CAMK2D	0.072132
ACTN1	0.06197
SLC2A1	0.10864
KLF10	0.07548
EIF4A2	0.132513
KIAA1949	0.103377
KLF12	0.075317
TCF4	0.128866
EFNB2	0.109112
USP9X	0.115774
FZD8	0.075556
ARHGEF12	0.095883
ST3GAL1	0.043447
ATP1A1	0.536951
GAPDH	0.03913
HNRNPU	0.138711
HSPA5	0.075759
VCAN	0.100325
FOXF1	0.069127
GABPB1	0.070892
ETV1	0.17455
ARF4	0.03625
PNRC1	0.067771
CDC42BPA	0.112327
FTH1	0.089124
TXNIP	0.068642
ERRFI1	0.106702
TIPARP	0.102916
PRRX1	0.112678
FEM1B	0.057854
TEAD1	0.048128
CPEB4	0.08682
TRERF1	0.117844
TRIB1	0.144078
NFIL3	0.055919
FSCN1	0.087996
CALM2	0.05748
STAG2	0.107497
TUBB3	0.087395
IGF2BP1	0.132386
VGLL4	0.100045
GIT2	0.054399
TRPS1	0.121491
SMAD3	0.336921
HNRNPUL1	0.09259
ELL2	0.076001
MGEA5	0.02872
CLTC	0.072177
STXBP5	0.081324
ATF4	0.0347
JUB	0.123739
CDKN2C	0.222552
PRPF4B	0.067302
SERBP1	0.064548
SDC4	0.171381
ERBB2IP	0.075917
MAP7D1	0.068804
MLL	0.067499
HES1	0.105639
SLIT2	0.133114
LRIG3	0.099968
HUWE1	0.086626
HIC1	0.076448
BHLHE41	0.052023
AAK1	0.104143
CDC42SE1	0.030717
HNRNPF	0.145294
SCD	0.378557
VGLL3	0.138262
ARSJ	0.07742
HIVEP2	0.064313
WDR26	0.059505
SOX12	0.027522
B4GALT1	0.029035
MAN1A2	0.092099
SLC16A1	0.05677
COL12A1	0.104366
MYL12A	0.066169
MIER1	0.052216
AMD1	0.118122
MXI1	0.020376
ETV6	0.18753
SP3	0.365088
SQLE	0.090107
RHOF	0.068808
ERF	0.086501
ZBTB37	0.039701
SEPT10	0.104309
USP38	0.069468
ARF1	0.064232
WBP4	0.067601
CHD3	0.119994
KLF4	0.931096
GADD45B	0.022105
EP300	0.383981
LAPTM4A	0.055629
RUSC1	0.117984
MSL1	0.068642
TOB1	0.046832
FEM1C	0.075761
BAG3	0.206347
WWTR1	0.119929
MEF2D	0.156125
ENO1	0.037193
STC2	0.089162
ZEB1	0.146374
CDKN1A	0.302765
MYCBP2	0.110241
COL3A1	0.144232
MSH5	0.078965
XPO1	0.675546
FBXO11	0.092856
KNTC1	0.118493
HNRNPL	0.1141
ADAMTS6	0.137084
USPL1	0.085809
FBXL14	0.077664
RNF139	0.066457
ITPRIP	0.080193
CDK17	0.095706
NT5E	0.05456
GATA3	0.247789
NUAK1	0.120473
TLE1	0.096451
PICALM	0.115421
SC4MOL	0.110313
ENC1	0.06702
YY1	0.180217
REV3L	0.088591
PHF12	0.084416
MAP4K4	0.106167
KLHL21	0.057544
PBX3	0.103602
SRF	0.054734
SGMS1	0.147938
SMTN	0.076587
PER1	0.093446
F3	0.062016
EEF2	0.113981
MYH9	0.163565
FGF5	0.103704
SEMA5A	0.130536
FZD1	0.100031
MAF	0.028513
RBPJ	0.085189
PTTG1IP	0.087877
SLC1A5	0.061644
PFN2	0.109122
SLC20A1	0.05589
YAP1	0.110731
SNX1	0.083781
SHB	0.09929
SERPINH1	0.067558
GAS1	0.066169
GIT1	0.096208
CLK1	0.087475
PHF15	0.087405
EPHA4	0.088562
UBE2H	0.030717
TRHDE	0.143947
DNAJB4	0.032816
GJA1	0.135932
ZBTB10	0.052497
CIC	0.383119
AMOTL2	0.065256
ZNF292	0.058651
PTBP1	0.084114
KDM6A	0.300452
ACTN4	0.044296
PPP1R12A	0.059938
UQCRH	0.0
PCBP1	1.022512
GABBR1	0.114559
CBLB	0.09003
TRAM2	0.035459
ASPH	0.053778
OBFC2A	0.090647
BRI3	0.086472
DPYSL2	0.090789
PTGES3	0.055463
CSNK1E	0.099374
S100A10	0.024913
IGFBP4	0.117318
RBM15	0.070984
SEPT2	0.068665
CYP1B1	0.385286
FAT4	0.155428
EGR1	0.083223
KLF13	0.026595
SYNCRIP	0.175406
LRFN5	0.16584
YBX1	0.079781
GLUD1	0.028229
CCND2	0.158297
AHR	0.172997
IL6ST	0.111909
MAML2	0.071986
MEX3B	0.169736
CACNB3	0.084317
TSPAN5	0.162062
MDM2	0.131383
RANBP9	0.217619
CRKL	0.081176
NRM	0.071973
PABPC1	0.359537
UGP2	0.119994
RBBP6	0.063874
SOCS3	0.162699
TSHZ3	0.146528
SOX11	0.103131
KDM2B	0.168151
RABGGTB	0.056656
ALDOA	0.0638
KIF26B	0.12768
IVNS1ABP	0.074453
CDC42EP4	0.100658
FANK1	0.136308
TMEM165	0.05489
SAP30	0.023427
LPHN2	0.158748
ODZ4	0.1036
ACBD5	0.077334
TRAF7	0.295901
FOS	0.026154
ARL4C	0.026595
C6ORF145	0.023427
PPAP2B	0.092026
PRDX6	0.099723
DUSP7	0.03625
RPRD2	0.087347
TOMM70A	0.06277
ZMYND8	0.128584
CEBPD	0.0
RPL28	0.037073
ATP2B4	0.113486
RNF168	0.066306
EPHA2	0.10078
TPM2	0.105058
ITGA3	0.093184
CD164	0.033269
SLC38A1	0.12248
LARP1	0.068527
CTNNB1	3.015319
SFPQ	0.093659
ARHGAP5	0.143992
PLOD2	0.059718
RPS12	0.023427
CCNI	0.075165
ITGB8	0.063995
FAM120A	0.080439
FZD2	0.119543
DAB2	0.075301
ACTR3	0.073061
MAP3K8	0.188326
LIN54	0.427653
PANK2	0.09844
ALOXE3	0.095799
BCORL1	0.354182
FOXO1	0.263302
MAN1A1	0.129305
PVRL2	0.112916
PTPN14	0.088359
BAZ2B	0.196879
SNAI2	0.088229
KCTD1	0.087332
CEBPB	0.024913
EFNB1	0.151886
NEGR1	0.143455
DDX6	0.040616
NPM1	0.108956
PPM1D	0.110296
BNC2	0.373391
PVRL3	0.10793
RAP2A	0.047038
E2F3	0.088868
SIAH2	0.094782
MYADM	0.131732
FBXO5	0.057854
HES7	0.033269
ANXA5	0.059629
ATXN2	0.133052
CTDSP2	0.207627
HDAC7	0.081623
ROCK1	0.099845
CDCA8	0.022105
WTAP	0.176267
PFN1	0.080278
BBX	0.076706
CD63	0.042793
MEX3C	0.070578
GTPBP1	0.122125
FLNA	0.112218
KCTD12	0.039755
NHLRC3	0.02545
TMEM30A	0.045233
TUBA1C	0.049744
MAP3K1	0.182694
G3BP1	0.127744
MEF2C	0.194299
MFHAS1	0.056327
FUS	0.077518
NBEAL1	0.071508
SEPHS1	0.085755
RASSF1	0.158282
DUSP10	0.046189
OSBPL3	0.089315
SLC12A2	0.064093
TNKS1BP1	0.083289
PHF17	0.079795
ARID4A	0.049271
HNRNPR	0.131035
H3F3B	0.333947
PAPD7	0.071863
NR4A2	0.140404
PGRMC2	0.032375
MBNL2	0.131581
SPHK1	0.043447
KCMF1	0.081692
GARS	0.049676
PPP3R1	0.046222
LAMB1	0.088057
EHD1	0.064944
TNFAIP3	0.098353
VASP	0.039755
U2AF2	0.165919
PRKAR1A	0.116575
OGT	0.150637
WRNIP1	0.047552
BDNF	0.162094
MLXIP	0.088039
CORO1C	0.136798
STK17B	0.061696
EPAS1	0.384544
NBR1	0.040869
CSNK1A1	0.204013
NFYA	0.021302
CPT1A	0.063745
FBN1	0.089875
DSTN	0.03793
FOXD1	0.0
IKZF2	0.071214
GADD45A	0.163746
CCDC6	0.486245
GLRX5	0.026595
SH3RF1	0.061444
PFKFB3	0.173518
PRKD2	0.060981
MYL6	0.030717
SLC30A1	0.096878
HAS2	0.090101
SQSTM1	0.065495
SESN1	0.027522
GGNBP2	0.016493
TPP2	0.042478
TAGLN2	0.065645
TNPO2	0.077373
PPP1R15A	0.143454
NUFIP2	0.03593
PHF21A	0.105446
HEG1	0.08224
TPT1	0.03421
RNF145	0.191652
RCC2	0.091085
DDX17	0.104644
PPP1CB	0.073146
FAM108B1	0.027522
SCAF11	0.066972
HNRNPA0	0.024148
HOXA1	0.126137
RAB10	0.105733
ENAH	0.040529
RPL27A	0.0
JUND	0.0
UTRN	0.093129
CREBZF	0.100524
RHOBTB3	0.037073
C12ORF23	0.024913
MYO10	0.158145
PDGFC	0.083495
NAP1L4	0.058417
TGFB1	0.270673
RBM39	0.185385
ATN1	0.107364
MAP4K3	0.073368
RNH1	0.079394
ZFHX3	0.132742
TM9SF2	0.101442
THAP9	0.057238
GDI2	0.041551
CSRNP1	0.121269
NEK7	0.14119
PCNT	0.11483
BACH1	0.082846
TXNDC12	0.0
HIPK3	0.089303
CALD1	0.137908
DDIT4	0.066169
ADAMTS9	0.108955
PPP3CA	0.18914
TMSB4X	0.253526
CNOT8	0.095185
EMP1	0.068384
NFKBIZ	0.138174
PRKCE	0.066005
RBPMS	0.066693
INSIG1	0.277924
OAZ1	0.013604
RRM2	0.080394
OTUD4	0.143672
EIF4G2	0.119065
STT3B	0.182823
MGAT1	0.086825
SLC3A2	0.036663
SMEK2	0.06529
UBL3	0.055463
ANKRD17	0.068753
TMCO3	0.108764
HNRNPA2B1	0.122452
CBX3	0.048728
NFKBIA	0.099614
TGFB3	0.072306
AIM1	0.063546
ETS2	0.072949
ADD3	0.063694
NDUFV2	0.667657
TSPYL4	0.040529
GLUL	0.109789
USP3	0.243944
TSHZ1	0.079941
ZADH2	0.100056
COL6A3	0.119253
NR3C2	0.057722
UBP1	0.07325
ZNF839	0.066132
SPTAN1	0.06884
TBX18	0.25287
FAS	0.135816
ZNF827	0.120761
GNAQ	2.833491
HMGB2	0.037583
PDZD8	0.09604
PMP22	0.106043
HERPUD1	0.084274
PHIP	0.121153
PANX1	0.083679
RPL14	0.071306
NFAT5	0.130701
SKIL	0.054254
ACVR2A	0.253581
GBA2	0.060144
ETF1	0.056737
UBE2E1	0.0
PIM1	0.373514
LDLR	0.104861
SSFA2	0.107667
HMG20A	0.077002
EBF1	0.127336
CUX1	0.502901
C14ORF104	0.098951
ATP1B3	0.121084
ID1	0.066169
MAP2K3	0.488178
SLK	0.089082
NEDD9	0.167683
CTNND1	0.075869
KAZALD1	0.022747
RAD23B	0.16964
CKS2	0.028513
ZBTB41	0.065611
EGR3	0.083786
ING2	0.041738
FGFR1	0.50085
PMAIP1	0.030717
RHOA	1.547872
TRIM41	0.071852
ATP1B1	0.019858
TBL1XR1	0.201985
TGFBR2	0.603513
RASSF3	0.026595
TACC1	0.082986
PTPN1	0.050459
ARHGAP12	0.044495
PTMS	0.046222
RFX7	0.04938
FNDC3B	0.079499
ZBTB2	0.081835
TMEM64	0.02545
DKK1	0.07766
SEC61A1	0.065709
MTMR4	0.061413
BCL9L	0.114014
PTPN12	0.308369
BMPR1A	0.15746
DYRK2	0.073528
LOX	0.087278
IDI1	0.026011
PDGFA	0.124191
HS3ST3A1	0.108764
IRX3	0.075986
AXL	0.158728
STX16	0.101318
ZNF521	0.255034
RALY	0.07009
DMTF1	0.060192
TMPO	0.103648
LBH	0.075167
SH2B3	1.271041
CAMSAP1L1	0.060681
TGOLN2	0.194646
TRIP12	0.111488
EZR	0.072583
PCMTD1	0.505215
USP22	0.050241
FAM129B	0.106554
CKS1B	0.03625
GOLPH3	0.115728
ZCCHC3	0.022105
PDLIM5	0.107464
CAPRIN1	0.071479
DUSP14	0.088702
CDKN2A	0.781349
SLC16A3	0.04705
BSG	0.06897
SMG7	0.121638
ELOVL6	0.041329
TMED5	0.075167
ZNF436	0.093383
TXN	0.0
SRRM2	0.082282
MAGI2	0.139798
ASF1A	0.050484
HNRPLL	0.038824
KIF5B	0.057459
SMARCD3	0.065038
SMEK1	0.055222
RHOB	0.318716
SET	0.117789
TNIK	0.110548
MECOM	0.170103
KCTD15	0.04819
RAB30	0.079622
AMIGO2	0.138711
TBC1D2	0.102026
PRDM1	0.183008
KIF13A	0.07333
TARS	0.079875
FADS2	0.067854
MORF4L1	0.031692
DCN	0.078098
CHST11	0.177175
CNBP	0.020922
PSME4	0.103359
SPEN	0.096118
HIPK2	0.077293
CGGBP1	0.125499
IRF2	0.127289
UBQLN2	0.061476
CDK12	0.101207
SIX4	0.049793
LUC7L2	0.071289
SIX5	0.052638
FERMT2	0.063653
PTRF	0.09653
NAV1	0.07217
MAZ	0.077474
WLS	0.109712
NOTCH2NL	0.471393
TOP1	0.084708
FAM36A	0.0
TPBG	0.103364
FOSB	0.084085
COL5A1	0.150086
RBM14	0.096013
CHIC2	0.024913
AX747619	0
SMURF2	0.115809
FBXW7	1.404251
EIF4G1	0.117774
AXIN2	0.126224
UNC5B	0.120059
SNRPD3	0.412677
RREB1	0.090872
BCR	0.211585
WASL	0.104728
SOBP	0.061818
MAP3K14	0.013604
FBRS	0.054345
CHMP1B	0.030717
PRPF38B	0.066194
ANXA11	0.037785
GCLC	0.043338
WAC	0.102465
ANKRD12	0.090346
ITM2B	0.107726
ADH5	0.037353
PJA2	0.054779
CHD1	0.058862
CNOT6L	0.120688
TMEM2	0.065716
TUBB6	0.080035
HTR1B	0.109253
BASP1	0.148473
GDNF	0.101687
USP53	0.134134
RBMS1	0.03166
CLASP1	0.155219
ZNF207	0.056686
CAND1	0.065021
USP1	0.040104
GOLIM4	0.069227
ASH1L	0.099979
MYL12B	0.075243
SUGT1	0.059629
LEPRE1	0.109089
HOXA9	0.093187
MAN2A1	0.123285
SH3BP4	0.056106
CIRBP	0.138598
PTP4A1	0.025727
LOXL1	0.377088
FAM20C	0.110718
SETD2	0.237618
SKA2	0.032375
UBE2E3	0.060163
CUL1	0.231156
ZBTB5	0.149503
LRRC1	0.079033
RCOR3	0.07117
CTTNBP2NL	0.0856
FHL2	0.048728
ILF3	0.138922
LRRFIP2	0.053425
LPAR1	0.105077
SLC25A28	0.031945
ATXN2L	0.155685
CENPN	0.186338
MICB	0.104528
DRAP1	0.076412
GTF2I	1.535754
FLI1	0.133525
DNMBP	0.087746
TBCC	0.0
PYGB	0.167173
RFX3	0.152505
ARPC2	0.04635
MAGI1	0.140154
KLF5	0.369412
ITGA5	0.133323
HSPH1	0.068564
PLXND1	0.122942
CEP57	0.139385
USO1	0.0606
NFKB2	0.066356
SCARB2	0.099373
DPF3	0.12213
PPM1B	0.098718
PIK3R3	0.111881
SERTAD1	0.09474
RSBN1L	0.101816
ROCK2	0.225557
SMCHD1	0.062364
SEC31A	0.085872
GZF1	0.10097
SLC33A1	0.044548
BAMBI	0.044648
FNDC3A	0.077737
HOMER1	0.035719
ORC4	0.053971
COL8A1	0.096805
KPNA4	0.065398
PTPRK	0.091743
AP2S1	0.046222
PIM3	0.111242
RAP2C	0.033269
ADAM10	0.104368
SNX5	0.021302
C20ORF72	0.073735
ARHGAP29	0.097475
C1ORF9	0.072491
FBXO30	0.092992
STK35	0.05918
PATZ1	0.102495
EPHB4	0.088406
KIF11	0.045424
ZHX1	0.053213
SLMAP	0.074239
NEK6	0.069525
PRKCA	0.080211
PSMA3	0.020376
TMEM47	0.128159
SRSF1	0.095365
RASAL2	0.110924
PRKAB2	0.076578
SEMA6A	0.104031
SRP54	0.069358
MVP	0.121352
PURA	0.249292
HS6ST1	0.42262
EGR2	0.224504
JMY	0.070509
SCAND2	0
STK24	0.048642
PTPN13	0.080422
SMC5	0.061713
VAPA	0.186705
GSK3A	0.040616
RNF44	0.058796
GNG5	0.0
HSP90AB1	0.26847
C14ORF135	0.115346
MMP14	0.080716
FBXL5	0.04271
LMNB1	0.038182
FRAT2	0.030717
REL	0.153695
STUB1	0.043891
APBB2	0.102367
PLEKHO1	0.093421
HOXA10	0.050572
ARL4A	0.010621
TMBIM1	0.047705
PPP2R5A	0.085762
FBXL19	0.065383
ARIH1	0.073212
PTPN21	0.081547
MTA2	0.067526
HOXB5	0.099358
ASNA1	0.186476
RXRA	0.557425
SPATS2L	0.152003
DLG1	0.073373
RAB33B	0.035203
RAB2A	0.059452
TP53INP1	0.150608
ZBED5	0.035615
MMP16	0.165058
MPZL1	0.058506
LEMD3	0.045713
SLC39A10	0.062363
VEGFC	0.07952
TRIM52	0.075045
WDR74	0.024148
VCL	0.066975
S100A16	0.052747
SHC1	0.085226
ZNF217	0.127807
TPM1	0.103788
PRRT2	0.109066
COL5A2	0.107692
ZMYM2	0.112704
MTDH	0.077243
CCNK	0.136958
SRGAP1	0.135661
RPS6	0.017614
HOXB3	0.074615
MLEC	0.061547
FGF2	0.132364
FOXL1	0.08062
MZF1	0.053983
ANXA1	0.074865
SEPT7	0.063301
GULP1	0.094539
FGF9	0.056284
ZCCHC6	0.058385
MMP17	0.137546
HECTD1	0.121522
SH3GLB1	0.061084
NAV2	0.126573
CDC37	0.097321
TOPORS	0.050086
B2M	0.843786
SEC22B	0.0
WDR82	0.084078
SLC7A5P1	0.0
TRIM25	0.054009
SLFN5	0.081738
SSBP3	0.048308
FBN2	0.142076
PTGER2	0.101035
STARD7	0.10229
SOCS1	0.260238
CTGF	0.121239
RCOR1	0.066693
SOCS5	0.093067
ANKRD11	0.094571
C7ORF58	0.091976
APP	0.077016
FAM198B	0.145078
ZMYM5	0.068183
MLL3	0.613219
USP24	0.054066
CTIF	0.11885
WWC2	0.051753
CDH2	0.157756
KDM2A	0.125523
NCBP1	0.044945
GLI1	0.900808
CLIC4	0.089473
MAP3K5	0.081511
LENG8	0.082952
STX10	0.029576
IER2	0.057605
ELK3	0.047038
SERTAD2	0.036795
KIAA0247	0.035615
RPL37	0.370144
CLTA	0.05748
BMP2K	0.122673
COX6B1	0.042793
CCNY	0.054146
NRG1	0.165585
ANTXR2	0.046504
PCDH9	0.123397
MAGI3	0.085761
PRR12	0.053648
MRC2	0.094408
TAB2	0.061771
HNRNPC	0.091443
PAPD5	0.080795
NACA	0.13466
AZIN1	0.068665
RHOC	0.070259
AHDC1	0.084066
TRAF4	0.056284
UBR5	0.08325
PHLPP1	0.072368
RALA	0.073963
LRRFIP1	0.044769
BMP2	0.09568
SEMA3A	0.105589
CDV3	0.066347
STAG1	0.143518
RAPH1	0.049476
TNKS2	0.052768
OSMR	0.056531
TBC1D10B	0.094575
NPR3	0.099953
SSH1	0.076832
EIF4A1	0.094991
FBXW11	0.100352
PIP5K1A	0.114468
RIPK2	0.062118
SEMA4C	0.106265
PPP1CC	0.082395
TAF8	0.078493
ZHX2	0.077916
ARHGAP10	0.059984
NUCKS1	0.062346
SETD7	0.159502
MMS19	0.055629
ABL1	0.620747
FIGN	0.126869
RAB35	0.060994
ACIN1	0.104425
KIAA1967	0.112047
HBP1	0.042454
RBM26	0.067043
AZI2	0.017614
TMEM50A	0.024913
BICC1	0.110237
ETNK1	0.35649
UGDH	0.05677
SKP1	0.03625
RPL23	0.047454
EGLN2	0.110579
CAPZB	0.152544
HDGFRP2	0.029213
HERC4	0.080138
C4ORF34	0.051383
INPPL1	0.091805
RAP1B	0.15712
MEGF9	0.178231
TNRC6B	0.145127
SMURF1	0.045478
LARGE	0.104861
INTS6	0.024717
PABPC4	0.062892
SPTBN1	0.088412
FSTL1	0.054923
PSMB3	0.028513
RFWD2	0.092233
NCOA2	0.086631
VPS37B	0.112382
SESN3	0.145475
LBR	0.084716
MARK3	0.096894
LIMD1	0.066694
CAPN2	0.095243
UBE2R2	0.057544
HNRNPA3	0.060836
PAFAH1B1	0.056218
PAPPA	0.120356
DDR2	0.15443
PPIA	0.075113
PDE8A	0.093764
TOP2B	0.15471
TRNP1	0.0
FRAS1	0.17089
PCGF2	0.090686
MEX3A	0.080176
VAV2	0.098697
CDC42EP2	0.061598
GLCCI1	0.158359
YWHAQ	0.017224
MAPK6	0.087521
NDRG1	0.043399
APPBP2	0.052837
ARPC5L	0.03793
PKN2	0.06038
PHLDB2	0.113742
PCSK5	0.189844
C11ORF95	0.0
PIK3CA	3.381598
FRYL	0.090315
CLDND2	0.083002
SPAG4	0.035203
PDZRN3	0.125613
COL6A1	0.110692
PHF13	0.05544
BAZ1A	0.065999
DSP	0.096194
TIAL1	0.058764
TANC1	0.106854
ADAMTS5	0.109913
NLGN1	0.13879
SFMBT2	0.132115
YTHDF3	0.107544
HIAT1	0.0863
UHRF2	0.076068
GNB1	0.123089
GNAI2	0.289888
EIF3A	0.127967
SOLH	0.084042
NCKAP1	0.07391
TCF12	0.253677
ZFAND3	0.098117
ZNF238	0.180287
CNN2	0.222588
EGFR	3.27811
ROD1	0.077992
SF3B1	2.233104
PVRL1	0.048424
UACA	0.053662
RASA3	0.094786
RPL13	0.124897
GRK5	0.100286
KIAA1033	0.100894
PSD	0.118784
PXN	0.041095
CCDC88A	0.115297
HP1BP3	0.051187
SPAG7	0.042793
USP32	0.079916
BTG2	0.138456
DNAJA1	0.093648
EHBP1	0.08156
ANP32E	0.055727
RSF1	0.068971
CDKN2D	0.099812
WARS	0.045499
SMIM3	0.058892
ZNF706	0.427944
DCAF5	0.098704
KHDRBS1	0.076897
TET2	0.566925
SLC16A2	0.08512
SIRPA	0.450937
TUBGCP6	0.091656
IGFBP5	0.054329
NFATC4	0.093529
RPS6KA3	0.079013
CKAP4	0.086296
TSPAN14	0.118357
SRP72	0.067429
UBA5	0.027206
ASXL1	0.201477
GALNT4	0.044905
FAM111A	0.09884
ANKHD1-EIF4EBP3	0.066202
PTX3	0.072535
UBE2K	0.106173
BCLAF1	1.368681
ZFP91	0.164938
HEY2	0.151701
EEF1G	0.034866
ZNF250	0.080722
MAB21L1	0.105985
KCTD11	0.046222
RAB40C	0.195988
PLXNA2	0.252404
TYW1B	0.06115
MSI2	0.083897
PPP4R2	0.130809
CAMK2N1	0.084994
GTF2A1	0.038522
RPL26	0.057101
PHPT1	0.076412
HOXA11	0.14396
GFOD1	0.156583
SHOC2	0.027332
ZDHHC14	0.06693
RNF149	0.06853
ADNP	0.054335
HMGN4	0.028513
RPLP1	0.0
HMGN1	0.055629
FLNB	0.144435
HOOK2	0.063689
BAHD1	0.140581
