Gene	TSG_probability	Rank_DORGE_TSG	OG_probability	Rank_DORGE_OG	pval_TSG_TUSON	qval_TSG_TUSON	pval_OG_TUSON	qval_OG_TUSON	Rank_TUSON_TSG	Rank_TUSON_OG	category_TSG	category_OG	by	pval_TSG_2020plus	qval_TSG_2020plus	pval_OG_2020plus	qval_OG_2020plus	Rank_2020plus_TSG	Rank_2020plus_OG
PLEC	0.999778848261076	40	0.997196021687481	126	0.592137083647153	0.95838100960166	0.0939553951231347	0.251962687475318	10427	7924	Other	Other	Gene	0.200730046	0.930786542	0.03018796	0.653419811	3675	821
RGMB	0.473656909981901	1293	0.243203033208885	1842	0.549133449142361	0.95838100960166	0.00914596409196978	0.0446384216298177	10016	4358	Other	Other	Gene	0.316311632	0.930786542	0.58233179	0.934572003	5836	11000
MLL5	0.120014872663845	3468	0.850398952848129	428	1.10128627366356e-06	2.54526130211463e-05	1.7863960965859e-06	3.41401923068601e-05	919	1114	Other	Other	Gene	NA	NA	NA	NA	18019	18019
MEIS2	0.0158025416469205	8800	0.722858783114169	623	0.172976621500211	0.581564977524139	0.0087586549893586	0.0432225948286223	6293	4309	Other	Other	Gene	0.379449741	0.930786542	0.08224462	0.723818437	7111	2016
ZFP36L2	0.971603064445793	189	0.997969240796306	122	3.89688629036845e-14	2.82444727760072e-12	3.01541226966831e-11	1.5904806944149e-09	293	404	Other	Other	Gene	0.054426587	0.841617523	0.014584582	0.554244306	1149	469
ZFP36L1	0.995874495270294	99	0.999568539449154	92	1.77430260256009e-05	0.000314286069475918	0.00014190560659142	0.00154357660584817	1199	1956	Other	Other	Gene	0.00069191	0.109482759	0.564728957	0.931237086	114	10709
BTG1	0.477777313827917	1282	0.982299150114701	186	0.67821969696648	0.95838100960166	0.23032431949099	0.463279301872146	11276	10548	CGC-TSG	Other	Gene	0.27110869	0.930786542	0.183159902	0.808343352	4922	4042
TGIF1	0.534097952252652	1141	0.895875672186875	347	0.00719449813471996	0.0533986627491284	0.00667893005769943	0.0350225089941489	2860	4057	Other	Other	Gene	0.195505312	0.930786542	0.296366113	0.859483554	3547	6138
ACTG1	0.435179363122791	1387	0.489652860791907	1039	0.00712099666755431	0.0529084093406258	0.00116229780964562	0.00881820931843938	2857	2804	Other	Other	Gene	0.052301825	0.841617523	0.030928902	0.657562077	1121	842
FOSL2	0.889305889029739	347	0.74616940309015	582	0.548377992582047	0.95838100960166	0.0915705434149691	0.247184787133212	10008	7872	Other	Other	Gene	0.015499864	0.596436059	0.12011441	0.761554404	466	2811
TSC22D2	0.9132041542974	302	0.90267981915195	334	0.947230358056378	0.95838100960166	0.748829244441471	0.875112557299732	16498	18000	Other	Other	Gene	0.947398529	0.969260353	0.805290112	0.980179045	17254	14513
NR3C1	0.968800974340943	198	0.98762340740115	169	2.72038025347204e-06	5.83772233849302e-05	1.02206033368028e-05	0.000160494352618961	990	1355	Other	Other	Gene	0.019792972	0.640740741	0.313707437	0.864839291	552	6457
PTCH1	0.998497250614117	73	0.978695058604735	196	8.91843318353599e-20	4.92110089309076e-17	1.50160476554976e-16	2.33559824445985e-14	35	137	CGC-TSG	Other	Gene	0.042991011	0.804383282	0.022696813	0.617185185	960	647
LMNA	0.0262154095789081	7294	0.869541327016894	400	0.899559837581211	0.95838100960166	0.494272391678548	0.723134252954218	14135	14439	Other	Other	Gene	0.195505312	0.930786542	0.250046309	0.838895997	3548	5293
TBX3	0.991881041876701	121	0.993953359123132	152	4.38113900915023e-19	1.83054296364671e-16	1.27608716653516e-14	1.28264818074046e-12	51	212	Other	Other	Gene	0.001198583	0.158273381	0.418191229	0.903472222	139	8199
BAHCC1	0.00691328836094323	11563	0.0103122453810469	9188	0.958109696516927	0.95838100960166	0.732407929070852	0.865235403920283	18637	17807	Other	Other	Gene	NA	NA	NA	NA	18020	18020
HIF1A	0.0204298317872654	8018	0.346527470246104	1436	0.914067894461376	0.95838100960166	0.553110123719531	0.761383955189889	14441	15329	Other	Core CGC-OG	Gene	0.155461727	0.930786542	0.023236175	0.617221418	2871	672
ANXA2	0.0272231738757255	7196	0.0308975102233868	5952	0.237445754615639	0.715560965224812	0.0853732824977331	0.234708178754529	7006	7730	Other	Other	Gene	0.069376192	0.878206897	0.029430673	0.653204353	1418	805
FLRT2	0.826109055461002	479	0.323510462545377	1529	0.769232502884203	0.95838100960166	0.0631517420154997	0.188367927016837	12276	7131	Other	Other	Gene	0.923650232	0.966237319	0.699013893	0.967820774	16921	12829
LMO4	0.883879054966707	360	0.0499348873643965	4715	0.762792327634727	0.95838100960166	0.326517064718315	0.572937428531174	12183	12071	Other	Other	Gene	0.022941978	0.685830619	0.204750749	0.814874241	604	4458
PTEN	0.999999999757623	12	0.999999999999998	12	7.66205948952754e-21	4.89612288229066e-17	1.71744824459359e-28	9.14927616101123e-26	3	1	Core CGC-TSG	Other	Gene	1.09e-05	0.004545455	0.296366113	0.859483554	35	6139
SLC38A2	0.0480552982780292	5525	0.207632687931419	2055	0.00181760261044982	0.0172753318581959	0.00196563525324635	0.0133394017870785	2234	3136	Other	Other	Gene	0.947398529	0.969260353	0.485982021	0.916396137	17255	9386
SMAD7	0.249647170991652	2222	0.831661794209359	462	0.0298101497845114	0.164268032520857	0.000222076810789509	0.00225130102812257	3853	2099	Other	Other	Gene	0.003541269	0.296803653	0.123317897	0.764179608	216	2874
SSSCA1	0.00143171513245339	16371	0.0102271836592786	9213	0.737047790694844	0.95838100960166	0.91155441747039	0.926334736128406	11920	18994	Other	Other	Gene	0.185301008	0.930786542	0.113979842	0.756910275	3391	2673
ARHGEF2	0.113833550450033	3554	0.833192707668857	458	1.69854950628578e-05	0.000301871488152157	2.44447965401959e-06	4.55478987793725e-05	1195	1142	Other	Other	Gene	0.300479433	0.930786542	0.084271316	0.723818437	5481	2050
HS3ST3B1	0.0524355222842842	5298	0.00113068319095174	15983	0.754841060430781	0.95838100960166	0.377385075491077	0.623853709753468	12106	12807	Other	Other	Gene	0.983862708	0.985957633	0.805290112	0.980179045	17864	14514
PDGFRA	0.986844382057698	144	0.999579243076141	90	2.13206267123791e-16	3.0491358027791e-14	2.77960177836793e-27	1.37745428593587e-24	148	43	Other	Core CGC-OG	Gene	0.098490874	0.912108981	0.006870063	0.477651515	1913	259
ZNF608	0.0204532598686189	8016	0.269845534192609	1715	0.00674450038842804	0.0507660045132508	0.00280575572449633	0.0177579003950484	2820	3361	Other	Other	Gene	0.245562517	0.930786542	0.547997821	0.92841979	4444	10406
ID2	0.00634424330205072	11850	0.0373443335984373	5471	0.946416809962038	0.95838100960166	0.894978495246682	0.912470281448168	16350	18952	Other	Other	Gene	0.510721874	0.934650967	0.485982021	0.916396137	9583	9387
IRX5	0.00610125225084087	11985	0.0191254610544543	7333	0.0565627008604482	0.262385065847532	0.011697259469406	0.0536489859142148	4570	4638	Other	Other	Gene	0.838267502	0.946505906	0.8259003	0.980384111	15317	14856
DUSP6	0.00639681447865277	11816	0.419991898158923	1205	0.00275738364446027	0.0244112210820331	0.00126324134569815	0.00940874164120301	2396	2857	Other	Other	Gene	0.066826478	0.864411557	0.500550259	0.920048067	1378	9636
ARID2	0.997711724102768	84	0.999501925780366	94	2.8363662830216e-20	4.89612288229066e-17	3.98851199173775e-16	5.86146220909929e-14	8	145	Core CGC-TSG	Other	Gene	5.45e-06	0.002941176	0.977504767	0.985396529	26	17723
NRP1	0.0893062821953906	4072	0.0938113628107737	3401	0.000621974884873119	0.0070273928005097	0.000243203724523823	0.00243420768711984	1880	2126	Other	Other	Gene	0.228101335	0.930786542	0.123317897	0.764179608	4140	2875
TRIM8	0.0206689616823267	7975	0.72903932279136	612	0.605002150648622	0.95838100960166	0.322397013996578	0.56848588298018	10549	12013	Other	Other	Gene	0.494693544	0.934070569	0.000653773	0.16	9272	75
AHNAK	0.909793434026543	309	0.996359374959274	135	8.32644723312936e-05	0.00122195774167186	1.10986876819635e-05	0.000173261491439531	1448	1363	Other	Other	Gene	0.073772814	0.892028986	0.10469082	0.743941154	1480	2510
ADM	0.00204695210394214	15400	0.0667066281621991	4079	0.875166031339639	0.95838100960166	0.735999935749914	0.866757514145701	13721	17863	Other	Other	Gene	0.699705802	0.94123122	0.977504767	0.985396529	13008	17724
SPRY2	0.033229134810029	6602	0.239247921589693	1865	0.0243772735551361	0.140279590112448	0.0111681619169715	0.0517690585792356	3689	4589	Other	Other	Gene	0.137782621	0.930786542	0.123317897	0.764179608	2596	2876
FOXO3	0.956070510549384	222	0.772968771960051	540	0.94465288819873	0.95838100960166	0.533164489837329	0.74937023375395	16095	15019	Other	Other	Gene	0.27110869	0.930786542	0.032628712	0.664413939	4923	880
FN1	0.0331757258724618	6607	0.0924400862866489	3427	2.49298971526222e-11	1.28627403977053e-09	7.5493736282191e-10	3.02386471134813e-08	412	531	Other	Other	Gene	0.076665759	0.897747184	0.043356034	0.665384615	1530	1140
KLF6	0.26074050566259	2159	0.740583518185352	592	0.00440599160820806	0.0362219425846086	0.00128528374945227	0.00954622217395551	2581	2865	CGC-TSG	Other	Gene	0.479286298	0.934070569	0.204750749	0.814874241	9008	4459
PCDH7	0.0435065427135863	5817	0.26547491335755	1732	0.0223094285822846	0.131106346844981	0.00320267401589238	0.0197299163355451	3613	3453	Other	Other	Gene	0.08305094	0.902011834	0.074154181	0.722068966	1639	1821
MARCKS	0.555387704289486	1080	0.131972950896515	2771	0.913076373133357	0.95838100960166	0.799293541845341	0.911053548177715	14413	18443	Other	Other	Gene	0.159302642	0.930786542	0.35171343	0.880723056	2935	7079
BHLHE40	0.828651515626386	468	0.663601239279176	704	0.79450449876074	0.95838100960166	0.303806867098666	0.548675356471352	12617	11732	Other	Other	Gene	0.112111141	0.923925864	0.10469082	0.743941154	2168	2511
CYR61	0.000828594073838945	17485	0.0194058191076903	7293	0.958126032756218	0.95838100960166	0.435651229584585	0.676674105344261	18638	13602	Other	Other	Gene	0.479286298	0.934070569	0.36184146	0.88601921	9009	7266
MYC	0.928167895413623	269	0.999034763415539	102	1.23059933526942e-15	1.10644899726819e-13	1.0096303934194e-20	2.75823257094538e-18	236	78	Other	Core CGC-OG	Gene	0.35977118	0.930786542	8.17e-05	0.032653061	6660	38
NFIB	0.803305473539837	517	0.994194604735581	149	1.98173654661411e-05	0.000345288831331153	1.80376791482766e-05	0.000264896557526275	1219	1449	Other	Other	Gene	0.061950422	0.864411557	0.500550259	0.920048067	1273	9637
IGF2BP3	0.684678916897782	766	0.238577587053483	1871	0.0202104446189906	0.121485011110316	0.00095651842670992	0.00752992450106894	3532	2702	Other	Other	Gene	0.228101335	0.930786542	0.070111686	0.718136161	4141	1731
ZNFX1	0.13170571723147	3263	0.00404227279778371	12351	0.000210905718115814	0.00275886430161441	6.82035027961286e-06	0.000113101045998654	1623	1283	Other	Other	Gene	0.401808771	0.930786542	0.322789431	0.870127088	7530	6610
THBS1	0.0289197645436862	7009	0.093831412723055	3400	7.52577548110045e-06	0.000144880099712993	8.03710818413772e-06	0.000129961517160594	1103	1315	Other	Other	Gene	0.300479433	0.930786542	0.009703078	0.522190202	5482	327
CCND1	0.235243230299394	2313	0.797711328433976	510	0.669891777570146	0.95838100960166	0.00227562806836567	0.0149572358139432	11175	3238	Other	Core CGC-OG	Gene	0.413440479	0.930786542	8.17e-05	0.032653061	7759	39
BCL11A	0.0283009696105214	7065	0.52775196810556	960	0.00417688013779697	0.0346188793684619	0.00039430740233381	0.00363866534608404	2560	2306	Other	CGC-OG	Gene	0.604990466	0.937424468	0.033516753	0.664413939	11164	894
MNT	0.0228051967701667	7708	0.440379395435026	1158	0.0587931217421676	0.270063080664766	0.121619100863941	0.303499405118833	4616	8513	Other	Other	Gene	0.350286026	0.930786542	0.485982021	0.916396137	6456	9388
ARID1A	0.999999557791338	21	0.999999950340909	33	2.52422166569844e-20	4.89612288229066e-17	1.74845378849322e-15	2.19163539876482e-13	6	170	Core CGC-TSG	Other	Gene	0	0	0.994110597	0.994489863	1	17969
VIM	0.0264232085146338	7269	0.0300790902972094	6008	0.148410477697956	0.52480565371154	0.0209931684744181	0.0836781569437664	5988	5335	Other	Other	Gene	0.195505312	0.930786542	0.019716698	0.601162791	3549	587
UBC	0.875356351104384	379	0.615725472207772	790	0.95838100960166	0.95838100960166	0.653999054202577	0.81989086922582	18671	16808	Other	Other	Gene	0.137782621	0.930786542	0.091620812	0.733967729	2597	2215
CHD2	0.999492328653835	51	0.992240079879003	158	0.000387458946827507	0.00467742219166131	0.000755397058469086	0.00621976658381675	1759	2584	CGC-TSG	Other	Gene	0.00175429	0.193975904	0.372105693	0.886207344	166	7431
HNRNPA1	0.00520869038452434	12522	0.559982371082671	892	0.115951221416623	0.440260138394565	0.0493682067281905	0.157083338385996	5578	6685	Other	Other	Gene	0.27110869	0.930786542	3.81e-05	0.019444444	4924	36
HOXB2	0.00209847658903933	15330	0.0288543883715181	6134	0.291752205636646	0.816193744244621	0.281227063670289	0.523504373367993	7544	11384	Other	Other	Gene	0.896502315	0.956481051	0.937226914	0.980384111	16487	16952
SIN3A	0.943307052712016	235	0.978115720146852	197	1.01588418118949e-08	3.4971689849704e-07	2.0158867524881e-07	4.90931780671644e-06	617	874	Other	Other	Gene	0.002527922	0.246808511	0.096649414	0.733967729	186	2314
LDB1	0.929297857450279	264	0.973774603317197	213	2.57406086054787e-09	9.7080819252061e-08	1.90762290184765e-08	5.8078202489836e-07	564	698	Other	Other	Gene	0.001678017	0.188957055	0.272318169	0.847042874	163	5712
ITGB1	0.0244236418351169	7509	0.0478441251395341	4823	0.00503542666338361	0.0402632530180229	0.00189196658627182	0.0129176276792266	2653	3117	Other	Other	Gene	0.390411332	0.930786542	0.000866249	0.185057471	7330	84
CDK6	0.0322124400506636	6701	0.533722716968861	947	0.27869820725088	0.792877549635538	0.0348193809468862	0.121514279167573	7419	6095	Other	Core CGC-OG	Gene	0.054426587	0.841617523	0.0940997	0.733967729	1150	2253
QKI	0.988629354540034	135	0.994998496938877	145	0.341025600668989	0.895270977535481	0.158264102916657	0.361153327163317	8035	9306	Other	Other	Gene	0.046984473	0.818216319	0.28828657	0.855675938	1030	5990
GNB2L1	0.894179546309189	333	0.14255979356348	2655	0.0692377996980308	0.305271301799553	0.0198701185000536	0.0804966454596279	4807	5249	Other	Other	Gene	0.094197766	0.912108981	0.133892672	0.767280674	1840	3094
RTN4	0.292065774449203	1952	0.780670816929287	529	1.38007742773978e-13	9.51717472741328e-12	2.96006364807198e-12	1.86615373599899e-10	308	338	Other	Other	Gene	0.06817216	0.875034965	0.167769	0.791823091	1407	3758
TBX2	0.00270021057593183	14651	0.0445148120136899	5019	0.94430375843006	0.95838100960166	0.662351461427422	0.824900484602977	16035	16919	Other	Other	Gene	0.437624625	0.930786542	0.141514574	0.772605592	8258	3228
OSR2	0.154846790259308	2979	0.0651185829781941	4123	0.952009609203274	0.95838100960166	0.666197080919161	0.827079561716756	17410	16971	Other	Other	Gene	0.72621629	0.941296519	0.741242168	0.971474473	13452	13433
C5ORF39	0.0281997706801007	7083	0.00305989025487937	13258	0.812264135385061	0.95838100960166	0.940362670835538	0.952294846156947	12827	19067	Other	Other	Gene	NA	NA	NA	NA	18021	18021
GATA6	0.205033310448315	2497	0.218699790570306	1981	0.943553557679965	0.95838100960166	0.736012105817618	0.866757514145701	15943	17864	Other	Other	Gene	0.494693544	0.934070569	0.485982021	0.916396137	9273	9389
INHBA	0.866902056019492	396	0.743633111971687	585	1.96915317281192e-08	6.43568787721614e-07	1.15178444465108e-09	4.43021204531946e-08	650	553	Other	Other	Gene	0.464461999	0.932939374	0.011103242	0.534908136	8762	371
GSK3B	0.356460856793764	1677	0.946825696083268	264	4.93599324749548e-14	3.52956644667387e-12	6.16268872969805e-12	3.66817693131664e-10	297	358	Other	Other	Gene	0.134442931	0.930786542	0.130226096	0.766859159	2525	3015
HDGF	0.925898675513037	273	0.99608412589272	137	1.78634512346165e-05	0.000316156380696382	7.93462474135282e-06	0.000129067876804189	1200	1308	Other	Other	Gene	0.141154999	0.930786542	0.130226096	0.766859159	2629	3016
HMGA2	0.172956292123756	2781	0.227254341631475	1929	0.77147221362465	0.95838100960166	0.401813831705804	0.647282351059796	12310	13130	Other	Core CGC-OG	Gene	0.350286026	0.930786542	0.204750749	0.814874241	6457	4460
SRSF3	0.121061903606553	3442	0.549150956888805	908	0.0063438349287041	0.0484171842749842	0.00223792626415218	0.0147595081283871	2781	3227	Other	CGC-OG	Gene	0.27110869	0.930786542	0.304647235	0.859483554	4925	6283
EXT1	0.933511529623666	257	0.724182856402823	622	0.956284463830779	0.95838100960166	0.273903481750601	0.514646794164849	18349	11278	CGC-TSG	Other	Gene	0.479286298	0.934070569	0.250046309	0.838895997	9010	5294
UBE2D3	0.973313352864146	183	0.99446540580326	148	0.11538481997429	0.43866817641965	0.0104546898074384	0.0493419679084618	5571	4507	Other	Other	Gene	0.000196132	0.048648649	0.564728957	0.931237086	74	10710
SETD1B	0.970379266704457	192	0.950983982298234	261	0.0761456455495855	0.327861701559127	0.0206805201873191	0.082788127873677	4922	5312	CGC-TSG	Other	Gene	0.040746391	0.794792774	0.158398257	0.788126864	918	3566
COL1A2	0.0265982654041649	7252	0.0819822493826659	3654	4.56718808899177e-05	0.000723585211809113	2.23415010054425e-05	0.000320373516100252	1341	1484	Other	Other	Gene	0.35977118	0.930786542	0.162778534	0.789587738	6661	3663
ARRDC3	0.905100750740072	314	0.977673316511417	199	8.99217516554143e-08	2.57546049196939e-06	5.26594362268898e-09	1.81572803650291e-07	742	617	Other	Other	Gene	0.004135113	0.318907563	0.485982021	0.916396137	232	9390
TNFRSF1A	0.601063218342766	976	0.549197027277812	907	0.08538971204474	0.355592998624461	0.0637965561045378	0.189739632191167	5090	7151	Other	Other	Gene	0.064353037	0.864411557	0.204750749	0.814874241	1324	4461
TFAP2A	0.0615897594711628	4907	0.988347798413073	167	9.30746615057896e-11	4.49734231752125e-09	2.26510383440337e-13	1.67594088914241e-11	440	288	Other	Other	Gene	0.102882048	0.914036786	0.061204032	0.698631841	1997	1553
HSPA1B	0.00390818511974205	13483	0.00790162756029042	10091	0.910230369117723	0.95838100960166	0.964523944045947	0.974863194216908	14362	19111	Other	Other	Gene	0.341340234	0.930786542	0.406140016	0.901087876	6265	7988
NR4A3	0.208558314655798	2469	0.0907718542056368	3455	9.17266438329506e-06	0.000173280412538683	8.98984293919357e-07	1.87440864179331e-05	1125	1021	Other	CGC-OG	Gene	0.239515118	0.930786542	0.056605829	0.697766433	4333	1445
FRMD6	0.0725485466526464	4539	0.226693224812785	1934	0.532960450049397	0.95838100960166	0.199016900505817	0.422101237471729	9855	10009	Other	Other	Gene	0.285502588	0.930786542	0.049550531	0.684349135	5154	1281
ARHGAP21	0.00902042119041691	10692	0.0852654774475824	3574	3.12814368152658e-06	6.62038145582481e-05	6.52840273597518e-06	0.000108513052964817	1003	1280	Other	Other	Gene	0.015499864	0.596436059	0.149866521	0.780147476	467	3397
ARID1B	0.998814893673444	69	0.999736607339919	82	1.64364370265409e-19	7.7419565970618e-17	7.7881215466322e-14	6.40760934506508e-12	45	259	Core CGC-TSG	Other	Gene	7.63e-05	0.023333333	0.678539907	0.958193568	60	12483
ZC3H12A	0.961656796115412	215	0.915799916140188	311	0.56419869067855	0.95838100960166	0.225672524154477	0.457115571977924	10167	10475	Other	Other	Gene	0.35977118	0.930786542	0.053707437	0.693200549	6662	1369
TWIST1	0.0278939857265481	7115	0.00546914542956977	11351	0.957361009213761	0.95838100960166	0.787325230767433	0.902674773615799	18522	18340	Other	Other	Gene	0.013936257	0.573542601	0.02092073	0.612440191	440	611
SKI	0.00330116791440554	14018	0.30312311645851	1594	0.466618224888748	0.95838100960166	0.131994749842531	0.320715635620808	9240	8743	Other	CGC-OG	Gene	0.216823754	0.930786542	0.304647235	0.859483554	3940	6284
PPP1R15B	0.891476617181741	339	0.949614372038309	263	0.0730989793600755	0.318085797668746	0.0200051076942094	0.0808657361995262	4871	5259	Other	Other	Gene	0.527256878	0.934650967	0.22961046	0.829625984	9794	4895
MCL1	0.964764970432451	210	0.941852957542495	273	0.73731840701508	0.95838100960166	0.400785592701612	0.646445999703199	11921	13113	Other	Other	Gene	0.251876873	0.930786542	0.172912013	0.795438596	4554	3862
TWIST2	0.00910326512049774	10663	0.015840097681793	7874	0.95838100960166	0.95838100960166	0.809068812513219	0.912470281448168	18672	18497	Other	Other	Gene	0.350286026	0.930786542	0.141514574	0.772605592	6458	3229
NFE2L1	0.015667171071032	8828	0.258018303696323	1770	0.883831957035724	0.95838100960166	0.496229327539855	0.724596840666028	13870	14463	Other	Other	Gene	0.195505312	0.930786542	0.236289839	0.835021178	3550	5045
DUSP1	0.162751646793094	2885	0.473683948082127	1075	0.125298337659603	0.465128073200243	0.0512069421959303	0.161296190872591	5705	6753	Other	Other	Gene	0.564211387	0.934919202	0.564728957	0.931237086	10547	10711
DUSP5	0.0122505008947645	9623	0.00865811171972429	9759	0.95838100960166	0.95838100960166	0.728937597523106	0.86286166320837	18673	17771	Other	Other	Gene	0.464461999	0.932939374	0.8259003	0.980384111	8763	14857
EEF1A1	0.995542851860741	101	0.283673801611889	1658	0.0852484807994855	0.35548254912375	0.00138023196988817	0.0101035256085012	5083	2907	Other	Other	Gene	0.054426587	0.841617523	0.22961046	0.829625984	1151	4896
RAP2B	0.0472334739239359	5569	0.0160230869520735	7830	0.636860912805595	0.95838100960166	0.128839218739189	0.315529065493132	10860	8673	Other	Other	Gene	0.510721874	0.934650967	0.658567148	0.955799794	9584	12134
SOX4	0.381829680773388	1564	0.611439347405187	797	0.140527069590082	0.504973242140819	0.0311927584931076	0.112449076421863	5894	5900	Other	Other	Gene	0.014709888	0.584415584	0.007229638	0.485765125	454	268
ZYX	0.350936458345281	1694	0.0487599325336356	4778	0.722748490458271	0.95838100960166	0.394741317807377	0.640586607353392	11768	13034	Other	Other	Gene	0.190324162	0.930786542	0.296366113	0.859483554	3484	6140
SATB2	0.230591056249712	2346	0.646872333889024	738	9.08417486112063e-09	3.13735303266806e-07	1.31696879512767e-08	4.17608453204994e-07	615	671	Other	Other	Gene	0.332890221	0.930786542	0.35171343	0.880723056	6165	7080
IRF2BPL	0.625943153017109	920	0.867110202696627	403	0.780136185660216	0.95838100960166	0.33188880103516	0.578700227076893	12416	12146	Other	Other	Gene	0.119498774	0.923925864	0.250046309	0.838895997	2293	5295
DCBLD2	0.158616168249286	2927	0.0273105095316823	6284	0.0246760556695293	0.141540261174159	0.00752607631766612	0.0383396356512778	3701	4175	Other	Other	Gene	0.564211387	0.934919202	0.313707437	0.864839291	10548	6458
CPEB2	0.958646466171592	219	0.899902136487572	339	0.0575718891225016	0.265598481340417	0.010264238970859	0.0487236953063119	4596	4481	Other	Other	Gene	0.037177881	0.776336746	0.250046309	0.838895997	864	5296
PTMA	0.0257390287815562	7350	0.819578121591745	483	0.270447185835538	0.777651642524305	0.150160893701608	0.349206426267332	7340	9133	Other	Other	Gene	0.01194225	0.548	0.471255789	0.912244252	390	9134
ANP32A	0.0479282136157329	5534	0.485763996762463	1051	0.678728065548593	0.95838100960166	0.21868465672602	0.447727839178975	11280	10364	Other	Other	Gene	0.264521929	0.930786542	0.471255789	0.912244252	4812	9135
KLF9	0.808388865699406	505	0.992281264013233	156	0.251324102712599	0.74195972633732	0.126387441153605	0.311856181512525	7152	8609	Other	Other	Gene	0.650809044	0.937424468	0.331980387	0.870127088	12107	6719
ARID5B	0.994347944854156	112	0.98285963046979	185	0.0198783586124321	0.119991318083633	0.00764643983796455	0.0388409979754914	3517	4188	Other	Other	Gene	0.008858622	0.492261905	0.331980387	0.870127088	326	6720
TCF7L2	0.93667006852243	251	0.999911796370545	71	9.93042087394541e-20	4.92110089309076e-17	2.44962437857534e-17	4.34926309610769e-15	39	120	Other	CGC-OG	Gene	0.000757287	0.115833333	0.418191229	0.903472222	117	8200
ING1	0.67958871776641	777	0.92674101434403	291	0.0102313828966822	0.0706482625228129	0.000256182210394288	0.00253906359129855	3075	2147	Other	Other	Gene	0.001574503	0.179503106	0.58233179	0.934572003	158	11001
ZBTB7B	0.218105959631626	2417	0.974501784588456	210	0.0895831519995654	0.367667062010543	0.0173116099197659	0.0722688632162755	5164	5093	Other	Other	Gene	0.27110869	0.930786542	0.026325252	0.634954008	4926	747
COL1A1	0.025569963906538	7373	0.384564050645432	1312	3.20231441610629e-16	3.99053321010578e-14	1.28739497776771e-13	1.01229149746317e-11	170	271	Other	Other	Gene	0.114415691	0.923925864	0.025077636	0.630266667	2199	712
IGF2BP2	0.739502931968742	652	0.113697538031784	3031	0.125497654336621	0.465650272724893	0.0385080843674985	0.130476827760697	5708	6277	CGC-TSG	Other	Gene	0.437624625	0.930786542	0.126771997	0.765931534	8259	2939
