Gene	Gene ID	Gene type	Drug Name	Cell_Line	Time	Dose	P-value	Q-value	Log2(fold Change)
SGK1	6446	CGC-OG	thioridazine	PC3	6h	10.0μM	6.35166e-05	0.00206321	-0.961048
SGK1	6446	CGC-OG	trifluoperazine	HL60	6h	10.0μM	0.000146824	0.0160231	-1.07354
SGK1	6446	CGC-OG	monorden	MCF7	6h	0.1μM	0.000691293	0.0210278	-0.595087
SGK1	6446	CGC-OG	valproicacid	MCF7	6h	1000.0μM	0.000847177	0.0183939	-0.314093
SGK1	6446	CGC-OG	nefopam	MCF7	6h	13.8μM	0.00111616	0.330624	-0.765695
SGK1	6446	CGC-OG	flurbiprofen	MCF7	6h	16.4μM	0.00120557	0.401617	-0.569358
SGK1	6446	CGC-OG	sirolimus	HL60	6h	0.1μM	0.00147427	0.0829929	-0.502199
SGK1	6446	CGC-OG	levonorgestrel	MCF7	6h	12.8μM	0.00342346	0.242275	-0.693895
SGK1	6446	CGC-OG	phenoxybenzamine	MCF7	6h	11.8μM	0.00473853	0.018605	-0.565766
SGK1	6446	CGC-OG	3-hydroxy-DL-kynurenine	MCF7	6h	17.8μM	0.00627941	0.642615	-0.374614
HSP90AA1	3320	Novel DORGE-OG	tanespimycin	MCF7	6h	1.0μM	0	0	-0.772791
HSP90AA1	3320	Novel DORGE-OG	geldanamycin	MCF7	6h	1.0μM	1.19591e-27	4.64946e-25	-0.766429
HSP90AA1	3320	Novel DORGE-OG	trichostatinA	MCF7	6h	0.1μM	6.08391e-24	1.60258e-23	-0.238559
HSP90AA1	3320	Novel DORGE-OG	alvespimycin	MCF7	6h	0.1μM	6.25295e-23	3.53604e-20	-0.83436
HSP90AA1	3320	Novel DORGE-OG	tanespimycin	HL60	6h	1.0μM	1.6958e-22	3.28479e-19	-0.860111
HSP90AA1	3320	Novel DORGE-OG	15-deltaprostaglandinJ2	MCF7	6h	10.0μM	1.50202e-15	1.25413e-13	-0.520322
HSP90AA1	3320	Novel DORGE-OG	tanespimycin	PC3	6h	1.0μM	1.3397e-14	8.25359e-12	-0.697178
HSP90AA1	3320	Novel DORGE-OG	geldanamycin	HL60	6h	1.0μM	6.54268e-12	1.62795e-08	-0.859639
HSP90AA1	3320	Novel DORGE-OG	alvespimycin	HL60	6h	0.1μM	7.19411e-12	2.23755e-08	-0.837941
HSP90AA1	3320	Novel DORGE-OG	15-deltaprostaglandinJ2	HL60	6h	10.0μM	2.41111e-10	3.61405e-08	-0.749702
HSP90AA1	3320	Novel DORGE-OG	trichostatinA	PC3	6h	0.1μM	6.38127e-10	1.6285e-09	-0.221594
HSP90AA1	3320	Novel DORGE-OG	monorden	MCF7	6h	0.1μM	9.92682e-10	6.86109e-07	-0.876688
HSP90AA1	3320	Novel DORGE-OG	phenoxybenzamine	MCF7	6h	11.8μM	1.26478e-08	2.72235e-07	-0.779228
HSP90AA1	3320	Novel DORGE-OG	trichostatinA	MCF7	6h	1.0μM	1.83438e-08	4.84429e-08	-0.180993
HSP90AA1	3320	Novel DORGE-OG	trichostatinA	PC3	6h	1.0μM	7.49259e-06	2.27465e-05	-0.21206
HSP90AA1	3320	Novel DORGE-OG	15-deltaprostaglandinJ2	PC3	6h	10.0μM	4.88204e-05	0.00562599	-0.56035
MARK2	2011	Novel DORGE-OG	helveticoside	MCF7	6h	7.4μM	1.868e-06	1.31745e-05	-0.83499
MARK2	2011	Novel DORGE-OG	lanatosideC	MCF7	6h	4.0μM	1.30972e-05	7.03855e-05	-0.741271
MARK2	2011	Novel DORGE-OG	digoxigenin	MCF7	6h	10.2μM	0.00021319	0.00109701	-0.624031
MARK2	2011	Novel DORGE-OG	cephaeline	MCF7	6h	6.0μM	0.000451671	0.00126788	-0.420649
MARK2	2011	Novel DORGE-OG	lycorine	MCF7	6h	12.4μM	0.00414659	0.0235408	-0.523509
SIX2	10736	CGC-OG	trichostatinA	MCF7	6h	0.1μM	0.000298238	0.000500591	-0.119248
SIX2	10736	CGC-OG	LY-294002	HL60	6h	0.1μM	0.00235971	0.796933	-0.486765
SIX2	10736	CGC-OG	fluocinonide	MCF7	6h	8.0μM	0.00447514	0.998642	-0.452242
SIX2	10736	CGC-OG	phenoxybenzamine	MCF7	6h	11.8μM	0.00809624	0.0294099	-0.379061
CELF1	10658	Novel DORGE-OG	trichostatinA	MCF7	6h	0.1μM	1.75737e-16	4.0428e-16	-0.222135
CELF1	10658	Novel DORGE-OG	helveticoside	MCF7	6h	7.4μM	1.50633e-08	1.79849e-07	-0.97853
CELF1	10658	Novel DORGE-OG	digoxigenin	MCF7	6h	10.2μM	9.90108e-08	1.32593e-06	-0.90734
CELF1	10658	Novel DORGE-OG	lanatosideC	MCF7	6h	4.0μM	1.04062e-07	8.77121e-07	-0.89808
CELF1	10658	Novel DORGE-OG	trichostatinA	MCF7	6h	1.0μM	9.54594e-07	2.29268e-06	-0.215911
CELF1	10658	Novel DORGE-OG	LY-294002	MCF7	6h	10.0μM	0.00322492	0.00899175	-0.117229
CELF1	10658	Novel DORGE-OG	lycorine	MCF7	6h	12.4μM	0.00811578	0.0384127	-0.417581
YAP1	10413	Novel DORGE-OG	helveticoside	MCF7	6h	7.4μM	9.62399e-12	3.34447e-10	-1.94711
YAP1	10413	Novel DORGE-OG	lanatosideC	MCF7	6h	4.0μM	4.84087e-11	1.04922e-09	-1.795
YAP1	10413	Novel DORGE-OG	digoxigenin	MCF7	6h	10.2μM	4.43976e-10	1.52163e-08	-1.68413
YAP1	10413	Novel DORGE-OG	tacrolimus	MCF7	6h	1.0μM	3.36668e-05	0.0979381	-0.919067
YAP1	10413	Novel DORGE-OG	lycorine	MCF7	6h	12.4μM	0.00115754	0.00944324	-0.969964
YAP1	10413	Novel DORGE-OG	trichostatinA	HL60	6h	0.1μM	0.00158698	0.00446992	-0.397572
YAP1	10413	Novel DORGE-OG	clofazimine	MCF7	6h	8.4μM	0.00561683	0.114556	-0.468869
YAP1	10413	Novel DORGE-OG	cloperastine	MCF7	6h	11.0μM	0.00727811	0.151925	-0.539268
BRD2	6046	Novel DORGE-OG	cephaeline	MCF7	6h	6.0μM	1.59165e-12	3.32803e-11	-1.69424
BRD2	6046	Novel DORGE-OG	tanespimycin	MCF7	6h	1.0μM	1.2741e-10	8.00962e-10	-0.28294
BRD2	6046	Novel DORGE-OG	LY-294002	MCF7	6h	10.0μM	9.84786e-09	6.213e-08	-0.295745
BRD2	6046	Novel DORGE-OG	LY-294002	HL60	6h	10.0μM	7.22328e-08	3.08746e-06	-0.555028
BRD2	6046	Novel DORGE-OG	lanatosideC	MCF7	6h	4.0μM	1.14203e-07	9.542e-07	-1.10812
BRD2	6046	Novel DORGE-OG	helveticoside	MCF7	6h	7.4μM	2.87743e-07	2.47566e-06	-0.996899
BRD2	6046	Novel DORGE-OG	thioridazine	MCF7	6h	10.0μM	6.29335e-07	9.72616e-06	-0.428599
BRD2	6046	Novel DORGE-OG	phenoxybenzamine	MCF7	6h	11.8μM	7.44372e-07	9.25485e-06	-0.783266
BRD2	6046	Novel DORGE-OG	15-deltaprostaglandinJ2	MCF7	6h	10.0μM	6.63046e-06	6.20222e-05	-0.326934
BRD2	6046	Novel DORGE-OG	geldanamycin	MCF7	6h	1.0μM	8.00901e-06	5.36043e-05	-0.31373
BRD2	6046	Novel DORGE-OG	digoxigenin	MCF7	6h	10.2μM	0.000253074	0.00127469	-0.542705
BRD2	6046	Novel DORGE-OG	15-deltaprostaglandinJ2	HL60	6h	10.0μM	0.000293852	0.00242203	-0.620703
BRD2	6046	Novel DORGE-OG	alvespimycin	MCF7	6h	0.1μM	0.00170358	0.00877608	-0.234422
BRD2	6046	Novel DORGE-OG	loperamide	MCF7	6h	7.8μM	0.0033349	0.0553193	-0.333892
BRD2	6046	Novel DORGE-OG	LY-294002	PC3	6h	10.0μM	0.00632916	0.0298114	-0.278886
BRD2	6046	Novel DORGE-OG	15-deltaprostaglandinJ2	PC3	6h	10.0μM	0.00638051	0.108428	-0.640358
RRAS2	22800	Novel DORGE-OG	trichostatinA	PC3	6h	0.1μM	0	0	-1.84043
RRAS2	22800	Novel DORGE-OG	trichostatinA	PC3	6h	1.0μM	2.37988e-15	2.63417e-14	-1.19025
RRAS2	22800	Novel DORGE-OG	digoxigenin	MCF7	6h	10.2μM	2.63869e-10	9.91782e-09	-1.77364
RRAS2	22800	Novel DORGE-OG	helveticoside	MCF7	6h	7.4μM	2.19104e-08	2.49851e-07	-1.29887
RRAS2	22800	Novel DORGE-OG	lanatosideC	MCF7	6h	4.0μM	2.45416e-08	2.42319e-07	-1.35461
RRAS2	22800	Novel DORGE-OG	trichostatinA	HL60	6h	1.0μM	0.00013007	0.000481607	-1.21166
RRAS2	22800	Novel DORGE-OG	thioridazine	PC3	6h	10.0μM	0.00014227	0.00369516	-0.797707
RRAS2	22800	Novel DORGE-OG	trichostatinA	HL60	6h	0.1μM	0.000377371	0.00116933	-0.360267
RRAS2	22800	Novel DORGE-OG	valproicacid	HL60	6h	500.0μM	0.00205073	0.0167519	-0.942182
RRAS2	22800	Novel DORGE-OG	15-deltaprostaglandinJ2	HL60	6h	10.0μM	0.00394607	0.0203593	-0.838083
RRAS2	22800	Novel DORGE-OG	lycorine	MCF7	6h	12.4μM	0.0039934	0.0229266	-0.604419
RRAS2	22800	Novel DORGE-OG	prochlorperazine	HL60	6h	10.0μM	0.00606356	0.120256	-0.786816
YLPM1	56252	Novel DORGE-OG	trichostatinA	HL60	6h	1.0μM	0.00335017	0.00947745	-0.453897
GSK3B	2932	Novel DORGE-OG	lanatosideC	MCF7	6h	4.0μM	6.98988e-09	7.87262e-08	-1.14981
GSK3B	2932	Novel DORGE-OG	helveticoside	MCF7	6h	7.4μM	9.61164e-09	1.20664e-07	-1.08256
GSK3B	2932	Novel DORGE-OG	digoxigenin	MCF7	6h	10.2μM	1.65714e-06	1.55831e-05	-0.847232
GSK3B	2932	Novel DORGE-OG	trichostatinA	MCF7	6h	0.1μM	3.8091e-06	6.906e-06	-0.177076
GSK3B	2932	Novel DORGE-OG	trichostatinA	PC3	6h	0.1μM	1.28991e-05	2.71628e-05	-0.247791
GSK3B	2932	Novel DORGE-OG	thioridazine	HL60	6h	10.0μM	2.26255e-05	0.000613624	-0.83187
GSK3B	2932	Novel DORGE-OG	LY-294002	HL60	6h	10.0μM	3.8242e-05	0.000433564	-0.466273
GSK3B	2932	Novel DORGE-OG	tanespimycin	HL60	6h	1.0μM	0.000607123	0.0029784	-0.335507
GSK3B	2932	Novel DORGE-OG	thioridazine	MCF7	6h	10.0μM	0.000735103	0.00430981	-0.356018
GSK3B	2932	Novel DORGE-OG	prochlorperazine	HL60	6h	10.0μM	0.00075654	0.0351198	-0.542164
GSK3B	2932	Novel DORGE-OG	15-deltaprostaglandinJ2	HL60	6h	10.0μM	0.00113291	0.00731804	-0.541985
GSK3B	2932	Novel DORGE-OG	amiodarone	MCF7	6h	5.8μM	0.00400001	0.141625	-0.366104
GSK3B	2932	Novel DORGE-OG	valproicacid	HL60	6h	200.0μM	0.00419927	0.0582246	-0.498071
GSK3B	2932	Novel DORGE-OG	thioridazine	PC3	6h	10.0μM	0.00522912	0.0500042	-0.640416
GSK3B	2932	Novel DORGE-OG	tretinoin	HL60	6h	1.0μM	0.00561567	0.0339643	-0.418981
GSK3B	2932	Novel DORGE-OG	alvespimycin	HL60	6h	0.1μM	0.0065314	0.122008	-0.447681
GSK3B	2932	Novel DORGE-OG	15-deltaprostaglandinJ2	MCF7	6h	10.0μM	0.00724712	0.0290749	-0.305708
IL7R	3575	CGC-OG	tanespimycin	PC3	6h	1.0μM	1.08987e-11	1.76092e-09	-1.02615
IL7R	3575	CGC-OG	tanespimycin	HL60	6h	1.0μM	3.10801e-08	4.79141e-07	-0.869248
IL7R	3575	CGC-OG	15-deltaprostaglandinJ2	HL60	6h	10.0μM	7.9818e-06	0.000131875	-1.07942
IL7R	3575	CGC-OG	geldanamycin	HL60	6h	1.0μM	1.25569e-05	0.000331487	-0.970496
IL7R	3575	CGC-OG	acetylsalicylicacid	MCF7	6h	100.0μM	0.000584924	0.0947151	-0.47157
IL7R	3575	CGC-OG	sulfamerazine	MCF7	6h	15.2μM	0.000683362	0.223729	-0.669019
IL7R	3575	CGC-OG	trichostatinA	HL60	6h	0.1μM	0.00216354	0.00596158	-0.218208
IL7R	3575	CGC-OG	alvespimycin	HL60	6h	0.1μM	0.0032442	0.0804006	-0.565412
IL7R	3575	CGC-OG	helveticoside	MCF7	6h	7.4μM	0.00772059	0.0227073	-0.788579
USP8	9101	CGC-OG	trichostatinA	MCF7	6h	0.1μM	0	0	-0.836906
USP8	9101	CGC-OG	trichostatinA	MCF7	6h	1.0μM	1.17219e-13	4.09873e-13	-0.750317
USP8	9101	CGC-OG	cephaeline	MCF7	6h	6.0μM	1.05342e-07	5.6636e-07	-1.14142
USP8	9101	CGC-OG	trichostatinA	HL60	6h	0.1μM	2.01125e-06	8.35458e-06	-0.389589
USP8	9101	CGC-OG	15-deltaprostaglandinJ2	MCF7	6h	10.0μM	0.000350293	0.00212585	-0.521342
USP8	9101	CGC-OG	LY-294002	MCF7	6h	10.0μM	0.000458197	0.00147871	-0.310554
USP8	9101	CGC-OG	15-deltaprostaglandinJ2	HL60	6h	10.0μM	0.000471469	0.00357219	-0.709908
USP8	9101	CGC-OG	tanespimycin	MCF7	6h	1.0μM	0.00127583	0.00354536	-0.252576
USP8	9101	CGC-OG	monastrol	MCF7	6h	100.0μM	0.00132761	0.0431247	-0.491902
USP8	9101	CGC-OG	lanatosideC	MCF7	6h	4.0μM	0.00141771	0.00488173	-0.791433
USP8	9101	CGC-OG	gossypol	MCF7	6h	7.8μM	0.0024366	0.022758	-0.788266
USP8	9101	CGC-OG	trichostatinA	HL60	6h	1.0μM	0.00385364	0.0107713	-0.548337
USP8	9101	CGC-OG	wortmannin	MCF7	6h	0.01μM	0.00474935	0.0294403	-0.387699
USP8	9101	CGC-OG	alvespimycin	MCF7	6h	0.1μM	0.00512434	0.0221361	-0.444827
