Gene	BLCA_HR	BRCA_HR	CESC_HR	COAD_HR	ESCA_HR	GBM_HR	HNSC_HR	KIRC_HR	KIRP_HR	LAML_HR	LGG_HR	LIHC_HR	LUAD_HR	LUSC_HR	OV_HR	PAAD_HR	READ_HR	SARC_HR	SKCM_HR	STAD_HR	UCEC_HR	BLCA_HR_Pvalue	BRCA_HR_Pvalue	CESC_HR_Pvalue	COAD_HR_Pvalue	ESCA_HR_Pvalue	GBM_HR_Pvalue	HNSC_HR_Pvalue	KIRC_HR_Pvalue	KIRP_HR_Pvalue	LAML_HR_Pvalue	LGG_HR_Pvalue	LIHC_HR_Pvalue	LUAD_HR_Pvalue	LUSC_HR_Pvalue	OV_HR_Pvalue	PAAD_HR_Pvalue	READ_HR_Pvalue	SARC_HR_Pvalue	SKCM_HR_Pvalue	STAD_HR_Pvalue	UCEC_HR_Pvalue
LDB1	0.986	1.084	0.99	1.259	0.893	1.006	0.939	1.206	1.145	0.993	0.656	1.095	0.775	0.927	1.045	0.684	1.424	0.972	1.178	0.983	1.021	0.86	0.4	0.94	0.027	0.42	0.94	0.38	0.022	0.39	0.95	6.0E-6	0.34	9.5E-4	0.28	0.57	0.0013	0.11	0.8	0.021	0.84	0.85
RTN4	1.116	1.101	1.378	0.945	1.399	1.286	1.163	0.951	1.418	1.116	0.954	0.998	1.157	1.042	1.112	1.208	0.853	0.929	0.929	1.207	1.044	0.16	0.24	0.015	0.58	0.034	0.0047	0.037	0.52	0.034	0.3	0.6	0.98	0.052	0.54	0.18	0.083	0.42	0.52	0.29	0.022	0.68
INHBA	1.239	1.205	1.556	1.206	1.103	1.035	1.207	0.953	1.857	1.167	0.937	1.032	1.157	1.176	1.067	1.359	1.096	0.944	0.92	1.155	0.973	0.0099	0.05	4.3E-4	0.065	0.52	0.73	0.011	0.54	2.1E-4	0.14	0.47	0.72	0.049	0.015	0.4	0.012	0.66	0.55	0.2	0.087	0.79
EXT1	1.051	1.112	1.191	1.114	0.804	1.004	1.064	0.985	1.594	1.041	1.282	1.021	1.31	1.056	0.921	1.286	1.038	1.0	1.038	1.035	1.024	0.51	0.24	0.18	0.29	0.17	0.96	0.38	0.85	0.0057	0.72	0.0075	0.82	2.3E-4	0.44	0.25	0.019	0.85	1.0	0.58	0.67	0.81
UBE2D3	0.973	1.035	1.022	0.784	1.146	0.998	1.094	0.77	0.821	0.881	1.157	0.89	1.116	1.036	0.989	1.196	1.001	1.01	0.934	1.087	0.876	0.72	0.68	0.88	0.017	0.28	0.98	0.21	9.5E-4	0.19	0.25	0.13	0.18	0.14	0.62	0.87	0.11	1.0	0.92	0.32	0.31	0.2
ZC3H12A	0.849	0.906	1.231	0.885	0.953	1.155	0.9	1.256	0.98	1.117	1.328	0.996	1.083	1.062	1.073	1.062	0.749	0.744	0.88	0.871	0.962	0.037	0.26	0.12	0.24	0.75	0.14	0.15	0.0021	0.89	0.28	0.0015	0.96	0.31	0.38	0.36	0.59	0.23	0.0042	0.068	0.11	0.73
PPP1R15B	1.044	1.202	1.292	0.976	1.013	0.984	1.03	0.85	1.803	0.874	1.005	0.97	1.173	1.093	0.941	1.164	1.383	0.941	0.894	1.01	1.144	0.6	0.044	0.06	0.81	0.92	0.85	0.67	0.029	2.0E-4	0.26	0.96	0.71	0.035	0.21	0.45	0.19	0.11	0.56	0.14	0.9	0.22
IRF2BPL	0.914	0.924	0.946	1.273	0.844	1.105	0.916	1.149	0.995	1.244	1.096	0.972	0.982	0.975	1.187	0.7	1.402	0.929	0.849	1.023	1.18	0.24	0.37	0.67	0.019	0.23	0.28	0.2	0.082	0.97	0.035	0.27	0.75	0.81	0.72	0.022	0.0029	0.12	0.48	0.024	0.79	0.11
CPEB2	1.151	0.885	1.32	0.904	1.079	0.978	0.923	1.002	0.898	0.971	1.481	0.881	1.146	1.033	0.988	1.004	1.184	1.074	0.98	1.116	1.031	0.076	0.18	0.05	0.33	0.59	0.8	0.31	0.98	0.49	0.78	5.1E-5	0.14	0.068	0.64	0.87	0.97	0.46	0.49	0.77	0.18	0.77
KLF9	1.201	1.224	0.99	0.985	0.898	1.035	0.969	0.781	0.76	1.0	1.078	0.78	0.991	1.11	1.092	0.921	1.183	0.792	0.816	1.245	1.299	0.018	0.034	0.94	0.88	0.42	0.7	0.66	0.002	0.086	1.0	0.42	0.0058	0.91	0.13	0.27	0.48	0.46	0.026	0.0056	0.011	0.011
ZFHX4	1.246	1.177	1.056	1.207	0.868	0.986	0.997	1.362	1.736	0.821	1.293	0.954	1.162	0.978	1.301	1.087	1.334	1.196	1.013	1.254	1.347	0.0073	0.08	0.68	0.067	0.31	0.89	0.97	8.9E-5	0.001	0.084	0.0047	0.61	0.053	0.74	0.0018	0.46	0.22	0.084	0.85	0.0063	0.0054
MSL2	0.838	0.958	0.741	1.161	0.932	0.918	0.881	0.981	1.177	0.81	0.814	1.013	0.894	0.929	1.141	0.962	0.8	1.267	0.795	0.831	0.953	0.028	0.63	0.014	0.15	0.62	0.34	0.079	0.8	0.28	0.067	0.02	0.88	0.14	0.3	0.099	0.74	0.33	0.029	0.0016	0.024	0.66
TOB2	0.989	0.939	1.197	1.178	0.885	0.916	1.016	0.774	1.084	1.078	0.905	0.949	0.996	0.976	1.036	1.286	0.886	0.952	1.083	0.845	0.85	0.88	0.48	0.17	0.12	0.37	0.33	0.82	0.0011	0.59	0.49	0.28	0.55	0.95	0.74	0.64	0.026	0.57	0.64	0.28	0.048	0.13
STIM2	0.798	0.929	0.804	0.846	0.866	0.986	0.837	1.021	1.026	1.37	1.363	1.117	0.927	0.901	1.059	0.769	0.765	1.105	0.741	0.891	0.881	0.0039	0.41	0.1	0.11	0.26	0.88	0.012	0.8	0.86	0.0033	0.0011	0.23	0.31	0.13	0.44	0.015	0.2	0.33	6.0E-5	0.16	0.2
C6ORF62	0.738	1.194	0.883	0.945	1.098	1.038	0.922	1.143	1.129	1.03	1.239	0.974	0.858	1.127	0.86	0.798	0.968	1.091	0.802	0.965	0.961	2.2E-5	0.065	0.37	0.55	0.49	0.67	0.25	0.078	0.44	0.79	0.031	0.77	0.044	0.085	0.038	0.042	0.88	0.4	0.0024	0.66	0.71
ACTB	1.098	1.107	1.11	0.983	1.094	1.123	1.152	1.316	1.037	1.098	1.211	1.048	1.216	1.1	1.05	1.155	1.539	0.835	1.112	1.139	0.937	0.22	0.23	0.4	0.87	0.51	0.23	0.047	9.8E-4	0.8	0.37	0.045	0.61	0.011	0.17	0.53	0.18	0.079	0.071	0.16	0.11	0.55
KLF3	0.875	1.087	0.924	0.83	0.987	0.968	0.883	0.882	0.891	0.96	1.448	1.001	1.089	0.962	1.066	1.404	0.782	1.021	0.993	0.922	0.847	0.082	0.33	0.54	0.069	0.92	0.72	0.087	0.12	0.45	0.71	1.5E-4	0.99	0.24	0.58	0.39	0.0017	0.25	0.85	0.93	0.35	0.12
MLL2	0.941	1.107	1.197	1.247	0.99	1.002	0.903	1.187	1.071	0.94	1.133	0.957	0.956	1.08	1.073	0.909	1.027	1.025	1.117	0.951	0.992	0.43	0.27	0.18	0.041	0.94	0.99	0.15	0.031	0.65	0.57	0.19	0.62	0.54	0.27	0.36	0.41	0.91	0.81	0.13	0.56	0.94
TENC1	1.092	0.94	1.186	1.192	0.852	1.126	0.836	1.207	1.209	0.897	0.857	0.884	0.842	1.127	1.037	0.675	1.531	0.769	1.036	1.167	1.101	0.24	0.51	0.23	0.084	0.24	0.23	0.016	0.023	0.21	0.3	0.089	0.18	0.024	0.094	0.65	4.7E-4	0.062	0.011	0.62	0.066	0.37
PCF11	0.779	0.925	0.957	1.149	1.091	0.869	0.845	1.195	0.919	0.924	0.92	0.944	0.841	0.968	1.071	0.79	0.871	0.915	0.914	0.855	0.989	0.0022	0.4	0.73	0.19	0.58	0.13	0.02	0.023	0.57	0.45	0.37	0.52	0.022	0.64	0.31	0.038	0.54	0.37	0.22	0.052	0.92
ZC3H4	0.818	0.907	0.835	1.11	0.992	0.961	0.834	1.137	1.257	0.976	0.937	0.94	1.048	1.0	1.147	0.807	1.054	0.979	1.145	0.969	1.044	0.011	0.25	0.17	0.29	0.96	0.65	0.011	0.11	0.12	0.83	0.48	0.51	0.53	1.0	0.068	0.046	0.8	0.84	0.064	0.72	0.68
ATP2A2	1.107	1.154	1.236	0.934	1.165	1.191	1.087	1.027	1.375	0.873	0.881	1.054	1.155	1.033	0.988	1.169	1.07	0.946	1.107	0.937	0.847	0.18	0.097	0.13	0.53	0.26	0.063	0.24	0.75	0.05	0.19	0.16	0.53	0.057	0.66	0.87	0.21	0.75	0.58	0.16	0.46	0.13
ZCCHC2	0.977	1.112	1.036	0.978	0.809	1.051	0.935	1.012	0.877	1.018	1.172	1.029	1.01	1.032	1.057	0.9	0.973	0.892	0.821	0.969	1.07	0.77	0.22	0.8	0.83	0.11	0.57	0.34	0.87	0.41	0.88	0.063	0.74	0.89	0.66	0.47	0.35	0.9	0.28	0.0046	0.71	0.52
ATXN1	1.2	0.989	1.026	1.064	0.841	1.077	0.898	0.981	1.095	0.729	1.122	1.012	0.877	1.031	0.999	1.056	0.89	1.063	0.796	1.203	0.953	0.013	0.9	0.84	0.54	0.21	0.4	0.12	0.81	0.54	0.0025	0.22	0.89	0.066	0.65	0.98	0.63	0.61	0.55	5.4E-4	0.024	0.67
KIAA1949	1.036	0.945	1.054	1.209	1.1	1.089	1.091	1.438	2.092	1.259	1.127	1.14	1.048	1.073	1.101	1.049	1.502	1.007	0.899	1.098	0.933	0.64	0.5	0.68	0.064	0.49	0.4	0.24	1.7E-5	1.5E-5	0.032	0.23	0.15	0.52	0.3	0.22	0.67	0.081	0.95	0.11	0.28	0.52
USP9X	1.014	1.206	1.206	0.957	1.037	0.999	0.954	0.807	1.516	1.036	1.259	1.019	1.054	0.975	1.023	1.108	0.98	0.943	0.943	1.099	1.027	0.86	0.037	0.14	0.68	0.8	0.99	0.52	0.01	0.016	0.76	0.019	0.83	0.51	0.71	0.77	0.35	0.93	0.56	0.4	0.29	0.81
HNRNPU	1.067	0.952	1.045	0.954	1.018	0.94	1.042	0.901	1.174	0.953	1.053	0.965	0.923	0.974	0.995	0.858	0.98	1.077	1.114	1.014	0.932	0.41	0.58	0.75	0.64	0.89	0.48	0.56	0.19	0.28	0.64	0.6	0.69	0.29	0.7	0.95	0.16	0.94	0.46	0.15	0.87	0.54
TEAD1	1.171	1.05	1.257	0.983	0.924	1.095	1.054	0.825	1.204	0.851	0.967	0.997	1.105	1.097	1.22	1.218	1.126	0.921	1.003	1.201	1.203	0.033	0.61	0.077	0.86	0.56	0.32	0.47	0.016	0.23	0.18	0.72	0.97	0.19	0.19	0.014	0.099	0.64	0.42	0.96	0.025	0.069
TRERF1	0.934	1.072	1.1	1.047	1.163	0.884	0.88	1.1	1.14	0.85	0.771	0.853	1.09	1.046	1.018	1.228	1.318	1.199	0.905	1.075	1.149	0.37	0.45	0.47	0.65	0.29	0.16	0.07	0.2	0.4	0.12	0.0085	0.09	0.27	0.52	0.81	0.079	0.18	0.077	0.15	0.37	0.18
CALM2	1.018	1.159	0.96	0.858	1.03	1.078	1.208	1.079	0.831	1.058	1.08	1.169	0.966	0.936	1.003	1.379	1.219	1.077	0.858	1.184	1.257	0.82	0.09	0.78	0.15	0.82	0.36	0.0099	0.37	0.23	0.6	0.44	0.085	0.64	0.37	0.96	0.0062	0.36	0.49	0.038	0.044	0.034
STAG2	1.066	1.067	0.826	1.137	1.319	0.778	1.087	0.836	1.372	0.906	1.134	1.042	0.935	0.888	1.114	1.124	0.928	1.26	0.827	1.015	1.086	0.43	0.48	0.14	0.21	0.052	0.015	0.24	0.025	0.039	0.37	0.17	0.65	0.38	0.086	0.17	0.31	0.74	0.034	0.0085	0.86	0.44
HNRNPUL1	0.997	0.904	0.985	1.01	0.887	0.867	0.897	1.115	1.671	1.214	1.095	1.086	1.112	0.974	1.094	1.015	1.053	1.131	1.269	1.066	1.114	0.97	0.25	0.91	0.92	0.41	0.11	0.13	0.16	0.0023	0.09	0.33	0.4	0.15	0.71	0.25	0.89	0.81	0.23	9.9E-4	0.45	0.32
MAP7D1	1.25	0.988	1.092	1.114	1.051	1.113	0.971	1.306	1.237	1.187	1.217	1.295	1.069	1.153	1.069	0.976	1.297	0.887	1.034	1.042	1.012	0.0029	0.89	0.48	0.26	0.72	0.22	0.7	0.0012	0.17	0.12	0.037	0.0041	0.39	0.028	0.37	0.82	0.2	0.22	0.65	0.64	0.9
SP3	1.039	1.032	1.073	0.97	0.897	0.822	0.972	0.887	1.562	0.722	1.352	1.154	1.123	0.896	1.12	1.183	1.084	0.977	0.881	1.051	1.125	0.64	0.72	0.59	0.78	0.5	0.056	0.68	0.11	0.0029	0.0037	0.0021	0.12	0.11	0.12	0.13	0.12	0.7	0.82	0.079	0.55	0.31
ERF	0.963	0.86	1.111	1.09	0.797	0.883	1.071	1.134	1.303	1.051	1.454	0.871	1.203	0.984	1.004	0.823	1.219	1.106	1.051	0.919	1.062	0.62	0.094	0.4	0.38	0.077	0.15	0.35	0.13	0.097	0.65	2.7E-5	0.12	0.016	0.8	0.96	0.058	0.39	0.35	0.49	0.33	0.57
CHD3	0.89	0.966	0.96	1.367	0.756	1.055	0.87	1.242	1.005	1.14	0.648	0.994	1.078	0.988	1.115	0.75	1.289	1.079	1.194	1.122	0.85	0.14	0.67	0.75	0.0037	0.044	0.55	0.057	0.0053	0.97	0.24	1.0E-5	0.95	0.32	0.87	0.15	0.0095	0.27	0.49	0.012	0.17	0.11
PHF12	0.879	0.914	1.051	1.224	0.68	0.965	0.952	1.249	1.442	0.977	1.185	1.005	0.894	1.026	1.138	0.709	1.013	1.008	0.87	1.09	1.024	0.1	0.34	0.7	0.06	0.0042	0.7	0.51	0.0028	0.016	0.82	0.076	0.95	0.14	0.71	0.084	0.0021	0.95	0.94	0.042	0.3	0.82
SHB	1.057	0.925	1.006	1.037	0.756	1.026	1.031	1.02	0.725	1.221	0.714	0.863	0.97	1.024	1.044	1.151	1.277	1.073	1.164	0.823	0.893	0.45	0.35	0.96	0.72	0.062	0.79	0.67	0.81	0.029	0.069	3.0E-4	0.11	0.68	0.73	0.57	0.18	0.3	0.49	0.024	0.023	0.28
PHF15	0.972	0.868	0.933	1.18	1.052	1.151	0.982	0.801	0.94	1.06	0.88	0.95	0.952	1.095	1.12	0.797	1.079	0.826	0.84	1.051	1.007	0.71	0.15	0.6	0.098	0.72	0.095	0.79	0.0047	0.69	0.61	0.14	0.58	0.52	0.19	0.14	0.038	0.7	0.051	0.014	0.56	0.94
UBE2H	1.114	1.104	1.191	1.168	0.868	0.952	1.026	0.857	1.42	0.86	1.2	0.957	1.238	0.987	1.144	1.52	1.244	0.922	1.022	0.978	0.957	0.15	0.29	0.18	0.14	0.33	0.56	0.71	0.06	0.024	0.17	0.058	0.62	0.0066	0.85	0.066	1.5E-4	0.3	0.4	0.75	0.79	0.67
PCBP1	0.976	0.895	0.987	1.115	1.349	0.934	1.079	0.837	1.153	1.086	1.089	1.064	1.167	0.952	1.057	1.162	1.343	0.864	1.109	0.97	1.158	0.75	0.19	0.92	0.32	0.041	0.45	0.26	0.025	0.35	0.43	0.33	0.48	0.041	0.47	0.44	0.16	0.16	0.17	0.14	0.72	0.17
TRAF7	1.074	1.016	1.056	0.954	0.86	0.914	1.027	1.342	1.212	1.063	1.23	1.025	1.182	1.125	1.059	1.172	0.681	1.106	1.286	0.876	0.935	0.35	0.86	0.67	0.64	0.27	0.36	0.71	9.8E-4	0.24	0.55	0.013	0.79	0.036	0.087	0.43	0.14	0.098	0.33	3.0E-4	0.1	0.52
ZMYND8	0.89	1.161	1.208	1.129	1.274	0.972	1.007	1.267	1.195	0.917	1.066	1.11	1.013	1.042	0.995	1.035	0.954	0.907	0.943	1.035	1.059	0.13	0.1	0.13	0.26	0.091	0.76	0.92	0.0042	0.24	0.43	0.51	0.24	0.86	0.54	0.94	0.76	0.83	0.31	0.39	0.67	0.6
BNC2	1.131	1.087	1.195	1.078	0.829	1.139	0.931	1.06	0.84	0.989	1.39	1.091	1.03	1.01	1.109	1.051	1.391	0.934	1.095	1.21	1.21	0.11	0.36	0.2	0.45	0.15	0.19	0.31	0.44	0.26	0.92	5.7E-4	0.34	0.69	0.88	0.17	0.67	0.13	0.52	0.19	0.026	0.083
ATXN2	0.974	0.997	1.146	1.067	0.962	1.01	1.051	1.495	1.293	0.902	1.434	1.188	1.032	1.1	1.095	0.961	0.998	1.11	1.155	1.126	1.027	0.73	0.97	0.33	0.55	0.8	0.91	0.49	3.7E-7	0.097	0.36	1.2E-4	0.063	0.67	0.18	0.24	0.72	0.99	0.32	0.039	0.16	0.81
CTDSP2	1.11	1.098	1.092	0.968	1.02	1.1	0.912	0.955	1.368	0.97	1.483	1.023	0.917	1.076	1.162	1.095	0.841	1.193	0.986	1.134	1.084	0.17	0.28	0.52	0.75	0.88	0.33	0.19	0.57	0.04	0.78	3.2E-5	0.8	0.23	0.31	0.044	0.45	0.42	0.11	0.84	0.15	0.43
KCMF1	0.988	1.09	1.01	0.983	1.12	1.014	1.054	1.15	1.755	0.864	1.031	1.252	1.261	0.975	1.068	1.29	1.107	1.061	0.971	0.975	1.048	0.87	0.38	0.94	0.86	0.41	0.89	0.47	0.076	0.0012	0.2	0.74	0.015	0.0042	0.72	0.38	0.0075	0.62	0.57	0.67	0.76	0.64
CSNK1A1	1.015	1.266	0.889	0.845	1.341	1.021	1.025	1.033	1.572	0.886	1.155	1.123	1.093	0.983	1.07	1.37	1.022	0.948	0.878	1.071	1.024	0.86	0.0093	0.4	0.1	0.045	0.82	0.74	0.68	0.0059	0.28	0.14	0.18	0.23	0.81	0.37	0.0076	0.92	0.58	0.079	0.4	0.82
DDX17	0.837	0.878	0.78	1.033	0.735	0.918	0.976	1.404	0.816	0.866	0.826	0.972	0.882	0.89	1.012	0.873	0.74	1.112	0.904	0.992	1.025	0.027	0.17	0.047	0.75	0.037	0.32	0.74	1.2E-5	0.19	0.21	0.039	0.74	0.1	0.1	0.85	0.22	0.2	0.29	0.18	0.93	0.82
RBM39	0.857	1.021	0.949	1.029	1.152	0.868	1.003	1.459	1.054	0.892	1.107	0.984	0.873	0.949	1.065	0.829	0.975	1.294	0.888	0.991	1.074	0.047	0.82	0.69	0.76	0.27	0.097	0.97	3.3E-7	0.73	0.28	0.24	0.86	0.073	0.46	0.39	0.066	0.9	0.009	0.11	0.91	0.5
ATN1	0.886	0.838	1.202	1.388	0.938	0.924	0.941	1.538	1.282	0.943	0.758	1.136	1.005	1.009	1.137	0.811	1.419	1.081	1.101	1.04	1.032	0.11	0.047	0.17	0.0021	0.65	0.36	0.41	3.7E-8	0.094	0.59	0.0022	0.17	0.95	0.9	0.1	0.051	0.16	0.46	0.16	0.64	0.76
ZFHX3	0.944	1.143	1.333	1.141	1.115	0.964	1.055	0.927	1.191	0.816	1.505	0.924	0.985	1.035	1.153	1.013	1.082	1.003	0.947	1.213	0.892	0.44	0.13	0.032	0.19	0.44	0.68	0.44	0.35	0.27	0.052	5.5E-5	0.41	0.84	0.61	0.074	0.91	0.74	0.97	0.44	0.015	0.3
CSRNP1	1.033	0.966	1.073	0.968	1.235	1.074	0.996	0.933	0.752	0.95	1.1	0.866	0.966	1.254	0.985	0.988	1.146	0.817	0.859	1.236	1.15	0.67	0.71	0.6	0.74	0.12	0.46	0.95	0.4	0.06	0.64	0.3	0.11	0.65	0.0017	0.85	0.91	0.55	0.063	0.025	0.012	0.21
PPP3CA	1.069	1.043	1.118	0.966	0.929	1.095	1.148	0.924	0.977	0.818	0.826	1.006	1.112	1.007	1.222	1.477	1.246	1.211	0.927	1.112	1.114	0.39	0.65	0.41	0.74	0.57	0.31	0.05	0.33	0.88	0.071	0.045	0.94	0.15	0.92	0.011	4.8E-4	0.33	0.087	0.26	0.19	0.28
TMSB4X	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBL3	1.047	1.093	1.009	0.949	0.954	0.955	1.02	0.922	0.814	0.921	0.771	0.872	0.87	1.065	1.046	0.941	1.032	1.104	0.93	1.13	1.008	0.55	0.3	0.95	0.62	0.73	0.62	0.79	0.3	0.17	0.42	0.0044	0.15	0.065	0.35	0.57	0.58	0.88	0.35	0.32	0.15	0.94
NFKBIA	0.931	0.75	0.855	1.08	0.98	1.063	1.01	0.916	1.087	1.049	0.78	0.911	1.051	1.011	1.053	0.963	0.922	0.743	0.749	1.096	0.912	0.36	0.0013	0.24	0.42	0.88	0.51	0.89	0.31	0.59	0.67	0.011	0.3	0.53	0.88	0.47	0.71	0.72	0.003	7.3E-5	0.28	0.38
NDUFV2	0.843	0.886	0.964	0.843	1.031	1.097	1.051	1.119	0.626	1.107	0.972	0.78	1.069	0.99	0.868	1.119	1.46	0.893	1.008	1.063	1.016	0.022	0.18	0.77	0.092	0.83	0.29	0.46	0.16	0.0057	0.37	0.75	0.0087	0.4	0.89	0.066	0.32	0.079	0.29	0.91	0.45	0.89
TBX18	1.018	1.041	1.064	0.995	1.132	0.925	0.927	1.194	2.575	NA	1.146	1.045	1.024	0.922	1.029	1.078	0.829	1.13	1.067	1.249	1.052	0.82	0.66	0.64	0.96	0.34	0.4	0.29	0.022	2.4E-7	NA	0.12	0.63	0.76	0.23	0.72	0.49	0.39	0.27	0.33	0.0081	0.61
ACVR2A	0.897	0.943	0.708	1.056	0.805	1.043	0.938	0.833	1.086	1.035	0.782	1.054	0.866	0.895	1.054	0.879	0.94	0.86	0.906	1.145	1.069	0.16	0.52	0.0099	0.6	0.14	0.67	0.39	0.022	0.6	0.75	0.0079	0.58	0.058	0.12	0.5	0.27	0.77	0.17	0.15	0.11	0.52
ETF1	1.317	1.22	0.982	0.75	1.116	0.997	1.148	0.828	1.216	0.885	1.367	1.306	1.146	0.963	0.94	1.13	0.805	0.817	0.923	1.118	0.935	4.1E-4	0.023	0.9	0.006	0.44	0.97	0.056	0.017	0.22	0.27	0.0023	0.0049	0.064	0.6	0.44	0.29	0.31	0.044	0.28	0.19	0.54
MAP2K3	1.08	0.952	1.132	1.147	0.919	1.245	1.021	1.026	0.83	1.233	1.632	0.946	1.149	1.149	0.936	1.125	1.065	0.943	1.043	0.882	1.018	0.33	0.57	0.36	0.16	0.56	0.026	0.77	0.75	0.22	0.059	1.8E-6	0.53	0.07	0.046	0.39	0.27	0.77	0.59	0.56	0.12	0.87
SRRM2	1.016	1.037	1.112	1.186	0.7	0.966	0.9	1.346	1.328	1.03	1.158	0.874	0.981	1.057	1.082	0.874	0.613	1.05	1.124	0.912	1.062	0.84	0.68	0.45	0.11	0.017	0.69	0.12	1.8E-4	0.075	0.78	0.16	0.14	0.79	0.44	0.28	0.24	0.03	0.63	0.096	0.26	0.56
LUC7L2	1.073	0.93	0.944	1.133	0.851	0.96	0.953	1.227	1.043	0.834	1.118	1.048	0.975	0.93	0.863	1.066	1.083	1.109	0.959	0.892	1.018	0.35	0.41	0.65	0.25	0.25	0.64	0.48	0.011	0.78	0.11	0.22	0.6	0.73	0.31	0.072	0.52	0.71	0.28	0.55	0.2	0.86
