Gene	TSG_probability	OG_probability	H3K4me3_peak_length	NonSilent_silent_ratio	VEST_score	Exon_conservation_phastCons_score	TSG_all	OG_all	NG	Rank_TSG
SPTAN1	0.657950825603932	0.332386319481308	829.09	2.05	0.7	0.74	0	0	0	886
ZNF827	0.642335095259756	0.00879409437765952	3637.69	3.6	0.53	0.73	0	0	0	932
GNAQ	0.99999990013189	0.999999998920996	3324.18	21.62	0.65	0.72	0	1	0	21
HERPUD1	0.656757492725027	0.270035072374991	4140.73	2.64	0.43	0.7	0	0	0	890
FGFR1	0.999413185624416	0.999495602941983	3571.78	5.68	0.64	0.72	0	1	0	63
SEC61A1	0.886352417365039	0.153499757697404	3423.62	2.19	0.78	0.72	0	0	0	400
TRIP12	0.872863296865102	0.512068622395169	2558.63	3.48	0.71	0.75	0	0	0	425
PCMTD1	0.953783174343091	0.692242075556754	2594.26	3.46	0.58	0.69	0	0	0	247
USP22	0.922954522422792	0.0934586001119282	4464.79	2.94	0.63	0.66	0	0	0	310
SMARCD3	0.652225181757769	0.476468717250078	6182.48	2.62	0.64	0.74	0	0	0	902
SMEK1	0.966772752983652	0.474201561100953	3613.36	7.04	0.69	0.72	0	0	0	219
PSME4	0.936959649498187	0.63358728855401	3095.21	3.55	0.62	0.73	0	0	0	274
TOP1	0.987229213582118	0.965832505411048	3898.18	6.08	0.54	0.72	0	0	0	159
RREB1	0.645313356180604	0.433528111676541	752.26	2.33	0.45	0.67	0	0	0	924
WASL	0.800906812180822	0.839613769918585	3271.53	3.97	0.57	0.7	0	0	0	564
ANXA11	0.646468664470006	0.0542221184015223	3865.4	2.26	0.58	0.72	0	0	0	918
RBMS1	0.870656007025788	0.111115010687519	3017.43	3.26	0.62	0.74	0	0	0	431
CLASP1	0.948600301329257	0.871466262581986	2692.41	2.8	0.64	0.74	0	0	0	253
USP1	0.850802698809215	0.463067387155759	3233	4.44	0.43	0.71	0	0	0	465
ASH1L	0.667997528664315	0.823268362698548	2570.08	4.29	0.51	0.76	0	0	0	856
ATXN2L	0.940638523728997	0.81776210553433	2807.53	3.11	0.54	0.71	0	0	0	266
ROCK2	0.832632303058727	0.531234477678898	3915.1	5.04	0.54	0.72	0	0	0	499
SEC31A	0.908196501182866	0.377210605353492	3591.23	3.85	0.6	0.71	0	0	0	339
KIF11	0.653596922148471	0.227121882206785	2919.7	4.33	0.36	0.71	0	0	0	895
HS6ST1	0.716360454428944	0.893478417199728	2106.36	2.64	0.54	0.57	0	0	0	743
JMY	0.723067863709151	0.530262392344849	3798.11	3.55	0.44	0.72	0	0	0	726
HSP90AB1	0.922543689879189	0.813765680267834	3320.64	1.95	0.71	0.62	0	0	0	313
REL	0.891870344261622	0.905776237934018	3633.42	8	0.41	0.67	0	1	0	385
RXRA	0.971524631252809	0.962228076260702	2176.89	2.91	0.68	0.69	0	0	0	209
SHC1	0.929898607581203	0.978205772014419	5735.18	3.58	0.51	0.66	0	0	0	297
ZNF217	0.982410793837023	0.308122983498821	6307.71	1.91	0.34	0.68	0	0	0	172
CCNK	0.641998530677788	0.141763282206332	2414.43	3.04	0.58	0.71	0	0	0	934
WDR82	0.975420651919131	0.590254346577737	3317.47	4.9	0.65	0.7	0	0	0	199
RCOR1	0.816651735563577	0.255403090399258	2448.8	4.37	0.51	0.71	0	0	0	528
USP24	0.901816457846061	0.141343405123468	3462.1	3.2	0.62	0.74	0	0	0	364
KIAA0247	0.713709219529551	0.526676409619391	4266.67	2.43	0.57	0.69	0	0	0	746
AHDC1	0.983956413839162	0.973869149446665	4323.5	2.21	0.5	0.69	0	0	0	167
LRRFIP1	0.970462680547927	0.768506844973562	5003.45	2.65	0.38	0.69	0	0	0	213
CDV3	0.731371071789071	0.273164426349856	3816.18	7.75	0.55	0.68	0	0	0	715
TNKS2	0.750571395799183	0.0818081109442774	2848.97	4.89	0.65	0.74	0	0	0	671
FBXW11	0.706677948564793	0.46357264017119	2745.08	4.82	0.7	0.76	0	0	0	767
NUCKS1	0.78805225397088	0.926218690962644	3619.28	3.82	0.44	0.72	0	0	0	594
MMS19	0.80418543790963	0.0090707712578649	2882.96	3.91	0.59	0.7	0	0	0	556
RBM26	0.697709151245023	0.970181317536621	3659.24	4.63	0.59	0.74	0	0	0	780
CAPZB	0.986276579148611	0.982494954099902	3560.11	4.1	0.65	0.71	0	0	0	161
NCOA2	0.628773840142196	0.873968227883123	2946.74	3.6	0.57	0.76	0	1	0	961
VPS37B	0.92784472742226	0.696349325134814	5075.06	2.21	0.34	0.62	0	0	0	301
MARK3	0.945102444454155	0.529936391150362	2661.78	5.9	0.67	0.72	0	0	0	260
HNRNPA3	0.668649295283195	0.619882954597352	3202.34	5.62	0.62	0.6	0	0	0	853
TOP2B	0.796937530297674	0.175513735130006	3068.67	5.38	0.61	0.73	0	0	0	573
VAV2	0.941054441315658	0.433521243058507	2566.69	2.12	0.67	0.7	0	0	0	264
APPBP2	0.819599184428744	0.00531695789171307	2738.87	4.35	0.65	0.73	0	0	0	523
PDZRN3	0.682679202086193	0.717815055864776	3522	2.56	0.57	0.71	0	0	1	813
HIAT1	0.708955978743318	0.125649388740392	2597.7	3.27	0.64	0.58	0	0	1	761
GNB1	0.895334242346567	0.750975433303466	2442.4	3.11	0.77	0.76	0	0	0	373
GNAI2	0.992754124087645	0.990410824385311	4084.3	3.42	0.67	0.72	0	0	0	132
NCKAP1	0.849301573129037	0.341102907871544	3243.35	4.3	0.75	0.76	0	0	0	468
TCF12	0.909154978455336	0.959840401653044	1518.39	11.74	0.72	0.74	0	0	0	335
EGFR	0.99999999980711	0.999999999999989	3014.29	32.93	0.59	0.69	0	1	0	15
KIAA1033	0.742849124478629	0.0410871545403636	3114.57	5.06	0.7	0.74	0	0	0	689
PXN	0.828672586229906	0.402230079525769	3381.74	1.53	0.63	0.64	0	0	0	508
DNAJA1	0.712349241664534	0.164704854002471	3253.69	4.36	0.58	0.69	0	0	0	749
KHDRBS1	0.765354840727574	0.629151770376037	3006.16	4.21	0.59	0.71	0	0	0	640
TUBGCP6	0.789176142624322	0.00970598974692239	3001.95	1.78	0.43	0.63	0	0	0	591
TSPAN14	0.95535017656785	0.617146803982097	4845.66	1.58	0.67	0.65	0	0	0	240
BCLAF1	0.999723216656433	0.999994708294421	4119.15	2.41	0.66	0.75	0	0	0	55
ZFP91	0.940776771336909	0.947047986569918	2263.21	5.38	0.52	0.71	0	0	0	265
GTF2A1	0.725186106356677	0.574063932979373	3232.37	2.65	0.47	0.69	0	0	0	725
ADNP	0.976805043373387	0.680063245795614	2110.93	5.33	0.55	0.8	0	0	0	192
FLNB	0.9737301929006	0.726079448779622	3595.33	1.99	0.63	0.74	0	0	0	205
C14ORF43	0.996013003125225	0.959703754091259	5095.03	5.23	0.43	0.58	0	0	0	118
TEAD3	0.689479983618586	0.893927360126108	3882.99	2.1	0.59	0.68	0	0	0	796
ANP32B	0.711681748845238	0.166354061714217	3404.71	2.89	0.45	0.66	0	0	0	752
YWHAG	0.878043166148262	0.713289853313874	3321.6	1.9	0.65	0.59	0	0	0	416
SBNO2	0.84859028884929	0.465229773119375	2261.2	2.93	0.59	0.64	0	0	0	470
EIF4A3	0.676779354000533	0.0270887855396211	2521.96	2.37	0.67	0.68	0	0	0	829
DNAJB6	0.851924246910576	0.332972037374025	3251.45	2.32	0.55	0.68	0	0	0	464
RPS9	0.909338145940336	0.799995173470768	4364.07	1.75	0.65	0.58	0	0	0	334
PUM1	0.97817393341313	0.453891255215042	3554.59	2.69	0.67	0.77	0	0	0	187
GSPT1	0.75782499795204	0.194325251929164	2940.15	3.43	0.64	0.73	0	0	0	654
PTP4A2	0.876051811554722	0.954080869320413	4931.82	2.33	0.67	0.74	0	0	0	423
CHD4	0.94224993124349	0.995626052045072	3424.85	4.28	0.66	0.74	0	1	0	262
VDAC1	0.645726682412148	0.601901616345571	2856.86	3.71	0.68	0.74	0	0	0	921
MAP1B	0.742677206615726	0.323150044041982	3223.41	2.76	0.41	0.7	0	0	0	691
USP47	0.790651830239501	0.259865531789215	3215.26	3.11	0.66	0.76	0	0	0	588
XBP1	0.675096968916985	0.136659824015157	3312.87	4.06	0.46	0.67	0	0	0	834
ZC3HAV1	0.658271990276565	0.0209213904856729	3999.93	2.26	0.26	0.62	0	0	0	883
MYOF	0.882952190384072	0.348132285513017	2702.64	3.51	0.62	0.72	0	0	0	406
ZFX	0.828653443067964	0.230555411615362	3485.81	3	0.53	0.7	0	0	0	509
BRD3	0.814467865350166	0.572765537194243	3076.05	2.42	0.52	0.68	0	1	0	533
ESYT2	0.64615861530389	0.20306642149394	3508.2	2.71	0.58	0.69	0	0	0	920
JAK2	1	1	230.4	185.33	0.61	0.71	0	1	0	3
BICD2	0.808984365888219	0.261320972659537	2661.97	2.54	0.61	0.73	0	0	0	543
MATR3	0.956269461090592	0.657594886047259	3740.98	1.25	0.53	0.74	0	0	0	236
HMGCR	0.903602657299528	0.18737025795112	2937.41	4.86	0.59	0.71	0	0	0	352
MTF2	0.69396529192405	0.368029367924632	2967.19	5.5	0.52	0.74	0	0	0	790
HDAC2	0.786821564603414	0.893672024718097	2794.45	5.71	0.69	0.75	0	0	0	598
TKT	0.866425200435104	0.174424721082451	3733.62	1.84	0.71	0.72	0	0	0	437
HELZ	0.62884628531243	0.0262788474188022	2364.69	3.66	0.59	0.73	0	0	0	960
ZCCHC14	0.880531439545006	0.306895906324993	3425.3	2.56	0.49	0.65	0	0	0	412
FNBP4	0.632290474058833	0.804489283296443	2632.58	3.76	0.44	0.68	0	0	0	955
SREK1	0.781566209461166	0.602720678889728	3122.33	8.19	0.48	0.71	0	0	0	614
PLXNB2	0.871268938881596	0.984435615203604	4404.48	2.59	0.55	0.64	0	0	0	428
TMEM131	0.726321371414265	0.330930772597151	2604.33	4.59	0.5	0.72	0	0	0	721
SCAF4	0.970315717828234	0.655381253134656	2769.06	5.29	0.57	0.69	0	0	0	214
LUC7L3	0.999144628477398	0.997003561201647	3530.62	9.76	0.59	0.77	0	0	0	75
MYH10	0.737101419338421	0.0228912052106914	2512.69	3.42	0.66	0.74	0	0	0	705
PNISR	0.867157774714966	0.823094942817926	2770.33	8	0.48	0.76	0	0	0	435
KIAA0020	0.669740346591181	0.000690559517051202	2512.53	3.81	0.55	0.7	0	0	0	850
MTCH1	0.743963687213505	0.709483050409215	2708.63	2.56	0.54	0.72	0	0	0	687
HIPK1	0.933372576170794	0.12718887370026	3043.04	1.81	0.63	0.73	0	0	0	286
PCNX	0.63789155796397	0.241949615153798	2919.67	3.86	0.62	0.73	0	0	1	942
EDEM1	0.693430323389856	0.040667199714301	3566.77	2.59	0.66	0.71	0	0	0	792
NUP153	0.941257005164595	0.413892947544795	3148.3	4.12	0.45	0.65	0	0	0	263
IFFO1	0.719525205866272	0.113966928856867	3543.39	1.82	0.66	0.69	0	0	0	737
RICTOR	0.726182955101887	0.198388047730771	1886.36	6.94	0.59	0.71	0	0	0	722
EIF2S2	0.920025954800325	0.451454936565586	3028.37	4.29	0.61	0.74	0	0	0	317
LTBP2	0.632074271748273	0.768998323931471	2090.98	2.16	0.49	0.66	0	0	0	956
PHRF1	0.653007451722636	0.0178966328758604	2785.34	2.92	0.38	0.6	0	0	0	897
CALR	0.999894774764535	1	0	88.86	0.5	0.69	0	1	0	43
SNAPC1	0.880900974817098	0.0170830250787623	2878.91	4	0.45	0.69	0	0	1	411
FAM53B	0.889109071044773	0.907465443122222	4256.23	5.07	0.39	0.61	0	0	0	391
MYO1E	0.702810350163536	0.320417767624378	2718.57	3.86	0.7	0.75	0	0	0	774
AKAP13	0.695101109607963	0.999873659091992	410.5	2.04	0.41	0.69	0	0	0	788
PGK1	0.710638090281677	0.00513139570956896	3968.53	2.8	0.57	0.72	0	0	0	757
WAPAL	0.805014952478964	0.0383713240176691	2672.09	4	0.53	0.73	0	0	0	554
HMGCS1	0.674232583265206	0.311476049584653	3853.03	3.2	0.57	0.63	0	0	0	836
SETBP1	0.93641725445909	0.98741369565384	2885.97	2.94	0.53	0.67	0	1	0	277
SRSF6	0.728691128452947	0.561906283848249	2347.54	7.75	0.52	0.63	0	0	0	718
KIAA0182	0.999125121370498	0.927339130746925	5773.09	3.34	0.57	0.58	0	0	0	77
SEC24B	0.676545180175227	0.401728488521734	2468.22	3.59	0.57	0.73	0	0	0	831
VCP	0.994988039856831	0.464041938797514	3058.01	3.45	0.71	0.8	0	0	0	123
GNA11	0.989438330960321	0.999999999961694	0	14.94	0.6	0.66	0	1	0	149
PXDN	0.791956613574871	0.103789438634568	2777.23	2.23	0.64	0.68	0	0	0	586
CSDE1	0.932077267459241	0.71099471818408	3443.16	4.41	0.67	0.8	0	0	0	292
DEK	0.63704742457232	0.600480884749455	3435.61	3.96	0.58	0.78	0	1	0	945
PRDM10	0.659620959905711	0.146590600330672	2277.58	2.9	0.6	0.71	0	0	0	879
RERE	0.860802786584367	0.984772675040052	2643.21	3.39	0.67	0.75	0	0	0	451
EIF5A	0.834329325813388	0.967470043146582	2560.67	9.71	0.62	0.67	0	0	0	493
RAB6A	0.702940708541704	0.151733995190091	2769.26	5.43	0.77	0.78	0	0	0	773
SRSF7	0.937936981083137	0.395904515741688	3566.37	3.67	0.56	0.71	0	0	0	271
GNA13	0.902077605673408	0.912705232794558	1893.38	5.5	0.67	0.67	0	0	0	363
DHX9	0.955250455147535	0.597397653436765	3286	4.25	0.5	0.72	0	0	0	241
CNOT1	0.975634589733437	0.194454211726098	2495.77	3.66	0.72	0.76	0	0	0	197
MED17	0.885194040943767	0.045710226870658	2925.17	5.65	0.67	0.72	0	0	0	401
HDLBP	0.833315865563112	0.719442705783903	2886.14	3.9	0.66	0.7	0	0	0	495
WASF2	0.832493097931909	0.831400701055366	2506.58	2.86	0.53	0.69	0	0	0	500
STIP1	0.815437345775472	0.628455305093715	2692.41	4.46	0.63	0.73	0	0	0	532
MSN	0.923786307441401	0.843027667600228	4572.99	2.62	0.55	0.76	0	0	0	309
RPS19	0.821027141195715	0.365735704459139	3081.83	1.67	0.56	0.58	0	0	0	519
RBM33	0.646447831737955	0.110105838930934	1490.95	2.85	0.47	0.69	0	0	0	919
ITPR1	0.871048752371845	0.587047606082533	1449.7	2.96	0.68	0.73	0	0	0	429
TNK2	0.981364575719359	0.969493992593178	3777.79	3.64	0.62	0.7	0	0	0	178
MAP1LC3B	0.705228631687469	0.91897282581038	6192.7	9.67	0.56	0.65	0	0	0	771
SUV420H1	0.869978724753237	0.618080963674853	3158.64	4.09	0.5	0.73	0	0	0	432
SLC6A6	0.922738128545141	0.0769834752314266	3154.57	2.32	0.62	0.71	0	0	0	312
IARS	0.808132110854566	0.00574167280065536	2175.02	3.51	0.64	0.73	0	0	0	547
ARFGEF1	0.712740995400523	0.105599409647303	2161.27	3.48	0.63	0.74	0	0	0	747
SSH2	0.801830788800347	0.106088028809635	2260.27	4.03	0.46	0.75	0	0	0	561
SH3PXD2A	0.857648365515213	0.689384300073096	2304.02	2.33	0.44	0.73	0	0	0	457
SETD8	0.710590172369129	0.630172304979637	4809.08	1.98	0.5	0.63	0	0	0	758
ARCN1	0.908784015521857	0.503903220524297	2710.8	4.05	0.65	0.76	0	0	0	337
JHDM1D	0.696980811764986	0.307635534211781	2468.35	4.06	0.49	0.74	0	0	0	783
CBLL1	0.711963321475199	0.531828425527649	2638.89	2.42	0.51	0.67	0	0	0	751
DNAJC13	0.73348704745483	0.48940639658804	2380.15	3.33	0.68	0.74	0	0	0	710
NRD1	0.831176723062868	0.0940394967938068	2960.96	4.3	0.54	0.74	0	0	0	503
ACVR1	0.626091411695098	0.958590192539805	1873.88	9.9	0.67	0.73	0	1	0	967
TXNL1	0.670500710208615	0.0932971631133997	2932.9	3.54	0.7	0.75	0	0	0	847
ACTR2	0.887476566341799	0.371207034724909	2991.73	3	0.7	0.74	0	0	0	397
USP48	0.888148465318992	0.147874656948805	2418.52	4.35	0.57	0.73	0	0	0	394
ZNF800	0.758655735260022	0.0505563597715178	2966.13	3.94	0.6	0.74	0	0	0	652
GOLGA4	0.792515389966776	0.241906265676793	2520.63	4.94	0.35	0.71	0	0	0	584
FAM65A	0.689125010831113	0.342988003095157	2493.02	3.45	0.46	0.67	0	0	0	798
MED26	0.805998058925319	0.243091499404905	2489.19	2.65	0.42	0.64	0	0	0	551
PHF2	0.653595280602392	0.0437665752453691	2221.8	1.89	0.53	0.68	0	0	0	896
RRBP1	0.688320250921097	0.284822224833565	2604.52	2.13	0.41	0.67	0	0	0	801
HTT	0.785663842323066	0.00294633889064886	2353.62	2.91	0.57	0.69	0	0	0	602
SIK3	0.754190907940476	0.649776877574733	3123.98	3.63	0.6	0.73	0	0	0	664
PDGFRB	0.865223378842184	0.983902992943911	3376.38	3.27	0.5	0.67	0	1	0	442
TRAPPC8	0.636759616707131	0.192892815464281	2919.09	3.76	0.62	0.71	0	0	0	946
DDX21	0.678190537816507	0.0104301272142712	2293.16	3.76	0.41	0.71	0	0	0	824
GLG1	0.696251522102615	0.528057734364379	2779.4	3.98	0.68	0.72	0	0	0	785
DENND4A	0.657195906829319	0.56008354855	2877.57	4.31	0.54	0.7	0	0	0	889
ITPK1	0.741742287428956	0.11280611494471	3095.61	2.65	0.64	0.62	0	0	0	695
HIST1H2AC	0.896941822490331	0.888277965025878	4377.59	3.65	0.74	0.4	0	0	0	370
ITPR3	0.677627993533189	0.144518173215541	2064.75	2.18	0.63	0.7	0	0	0	825
USP36	0.642964058615598	0.169066302243007	2597.65	2.95	0.42	0.67	0	0	0	931
U2AF1	0.999992498195224	0.999999999999839	561.23	26.12	0.6	0.75	0	1	0	29
WHSC1	0.652565525581998	0.931460952913851	629.25	3.9	0.58	0.7	0	1	0	900
RTN3	0.742810823482586	0.238788551326656	2522.26	6.11	0.33	0.71	0	0	0	690
FARSB	0.861226145969462	0.0240013761482257	2283.73	4.64	0.62	0.71	0	0	0	450
TPX2	0.950476642572667	0.96716211470185	2211.02	3.31	0.44	0.69	0	0	0	250
ZRANB2	0.83867019906459	0.108587978385677	2421.57	4.88	0.55	0.72	0	0	0	484
TAF15	0.635971289090445	0.501451151570296	2216.23	5	0.56	0.76	0	1	0	947
MAP2K1	0.953698650583641	0.999941425185014	1158.91	10.49	0.71	0.73	0	1	0	248
ABCA1	0.741984671711318	0.111979554068216	2960.99	3.44	0.59	0.72	0	0	0	694
STK40	0.923876044300449	0.814769887479845	1947.19	3.02	0.68	0.71	0	0	0	308
