Gene	Gene_betweenness_centrality	Gene_closeness_centrality	Gene_Degree	TSG.All.Set	OG.All.Set	Neutral.Genes
ING1	1.704E-5	0.38347191	68	0	0	0
ZBTB7B	2.17E-5	0.38507717	47	0	0	0
COL1A1	9.456E-5	0.37475098	53	0	0	0
IGF2BP2	2.536E-5	0.40485575	63	1	0	0
BBC3	4.42E-6	0.35491393	24	0	0	0
PLK2	9.111E-5	0.38411417	54	0	0	0
MT-CYB	0	0	0	0	0	0
ALKBH5	1.08E-6	0.37821353	12	0	0	0
IRS2	2.468E-5	0.398942	66	0	0	0
ZFHX4	1.17E-6	0.33313435	12	0	0	0
PHLDA1	8.27E-6	0.37894117	20	0	0	0
SPRY4	1.211E-5	0.350046	19	0	0	0
TSC22D1	2.0323E-4	0.38280553	94	0	0	0
RBMS3	1.01E-6	0.33375197	11	0	0	0
SPN	6.919E-5	0.38960253	64	0	0	0
CITED2	4.761E-5	0.35941693	18	0	0	0
WNK1	7.347E-5	0.40369406	76	0	0	0
DDX3X	1.9057E-4	0.43446218	232	1	0	0
BCOR	2.3737E-4	0.4036162	164	1	0	0
CTDSP1	1.121E-5	0.35105156	25	0	0	0
RND3	2.14E-6	0.32766416	21	0	0	0
JUN	9.266E-4	0.42707005	330	0	1	0
MAT2B	2.244E-5	0.39075738	45	0	0	0
TRIB2	2.51E-5	0.35681251	25	0	0	0
MTCO1P12	0	0	0	0	0	0
BMI1	8.496E-4	0.43228588	474	0	0	0
SPRED1	1.201E-5	0.36387742	18	0	0	0
CDK13	9.243E-5	0.40878015	66	0	0	0
WEE1	4.743E-5	0.39970396	92	0	0	0
HEXIM1	0.00374227	0.44848647	862	0	0	0
CDH11	4.7E-7	0.33809245	8	1	0	0
ADAMTS1	4.216E-5	0.3467114	19	0	0	0
CCDC80	1.0E-7	0.34800141	4	0	0	0
FZD7	2.283E-5	0.35328874	19	0	0	0
FOXC1	5.615E-5	0.38121912	54	0	0	0
BAZ2A	3.44E-6	0.36853111	29	0	0	0
ARHGEF17	2.668E-5	0.37364697	16	0	0	0
KLF7	9.0E-8	0.34830549	4	0	0	0
PKM2	0	0	0	0	0	0
MSL2	7.28E-6	0.37052119	35	0	0	0
TGFB2	1.034E-5	0.34317926	10	0	0	0
KLF16	1.002E-5	0.37176356	25	0	0	0
CRIM1	1.23E-6	0.35587204	5	0	0	0
JAG1	4.14E-6	0.35372166	15	0	0	0
HNRNPH1	3.0281E-4	0.4433675	262	0	0	0
FAT1	1.1021E-4	0.37201138	44	1	0	0
BCL2L1	3.0953E-4	0.40175658	204	0	0	0
DLX2	6.26E-6	0.33216936	17	0	0	0
JARID2	9.5E-6	0.36954794	36	0	0	0
C10ORF140	0	0	0	0	0	0
LASP1	2.1843E-4	0.40488513	103	0	0	0
NIPBL	1.891E-5	0.39388307	49	0	0	0
ALCAM	2.265E-5	0.36836894	20	0	0	0
AKIRIN2	1.437E-5	0.35830926	21	0	0	0
ZNF703	8.02E-5	0.36879089	34	0	0	0
YWHAZ	0.00280226	0.459478	617	0	0	0
TBX5	2.1E-7	0.31865246	11	0	0	0
ZNF462	2.82E-5	0.3735386	28	0	0	0
SAMD4A	5.4E-6	0.36761671	26	0	0	0
CDC42EP3	4.62E-6	0.34690537	16	0	0	0
SPRED2	1.743E-5	0.35697989	21	0	0	0
TLE3	2.2533E-4	0.40802301	91	0	0	0
BMPR2	4.4998E-4	0.38193225	74	0	0	0
IGF1R	8.1361E-4	0.43415798	210	0	0	0
MLLT6	4.717E-5	0.37810249	50	0	0	0
TOB2	3.79E-6	0.356372	15	0	0	0
ZFAND5	7.01E-6	0.35961766	19	0	0	0
ZSWIM6	5.3E-7	0.3333267	4	0	0	0
PAWR	9.5E-5	0.39255317	74	0	0	0
ZMIZ1	1.6567E-4	0.38038761	30	0	0	0
HSPA8	0.00735891	0.47071724	920	0	0	0
FOXP1	3.79E-5	0.39255317	54	0	1	0
HNRNPD	0.001202	0.43625088	387	0	0	0
NRP2	7.36E-6	0.31971737	23	0	0	0
TLE4	4.837E-5	0.36697207	34	0	0	0
SMAD6	3.373E-5	0.36274998	66	0	0	0
TRA2B	8.544E-5	0.41041355	151	0	0	0
OSR1	1.0E-8	0.31179812	4	0	0	0
VEGFA	1.3954E-4	0.38141887	55	0	0	0
PBX1	1.9211E-4	0.37799151	53	0	1	0
JUNB	6.23E-5	0.36945008	81	0	0	0
STIM2	2.54E-5	0.35490641	27	0	0	0
C6ORF62	1.34E-6	0.32765133	2	0	0	0
DUSP4	3.975E-5	0.36613743	54	0	0	0
LZTS2	8.7757E-4	0.40815232	274	0	0	0
CCNL1	5.57E-6	0.36866907	16	0	0	0
FDFT1	6.499E-5	0.38302448	43	0	0	0
C3ORF58	4.51E-6	0.34958552	10	0	0	1
C17ORF59	4.265E-5	0.34775564	56	0	0	0
PURB	1.186E-5	0.38595601	47	0	0	0
ACTB	0.00195635	0.44416735	443	0	0	0
LRP1	4.704E-4	0.40501246	134	0	0	0
EFNA5	6.81E-6	0.35326637	14	0	0	0
NAB2	6.171E-5	0.35302056	50	1	0	0
KLF3	5.33E-6	0.3502657	16	0	0	0
SOS1	3.459E-5	0.37264067	69	0	0	0
CDKN1B	1.9141E-4	0.40174693	138	1	0	0
MICA	7.586E-5	0.35037566	30	0	0	0
APOLD1	3.3E-7	0.34176414	5	0	0	0
NNMT	2.5E-6	0.33802419	7	0	0	0
NUDT4	2.0E-8	0.33319402	4	0	0	0
HIVEP1	1.4222E-4	0.3856715	53	0	0	0
ARF6	1.5095E-4	0.39738903	90	0	0	0
NFIA	2.054E-5	0.38600051	51	0	0	0
VCPIP1	2.11E-4	0.38943035	76	0	0	0
PCDH10	1.43E-5	0.3356792	12	0	0	0
MAT2A	8.622E-5	0.40681343	74	0	0	0
SPARC	9.33E-6	0.3439548	32	0	0	0
PTGER4	4.1E-7	0.34698446	7	0	0	0
SIX1	3.98E-6	0.32915225	21	0	1	0
SMARCA2	9.131E-5	0.40551276	156	0	0	0
BCL2L11	1.1341E-4	0.37904413	71	0	0	0
CAV1	8.6215E-4	0.42949129	227	0	0	0
LAMC1	7.844E-5	0.39841984	45	0	0	0
MLL2	0	0	0	0	0	0
NRIP1	8.042E-5	0.40678378	80	0	0	0
MAMLD1	2.3E-7	0.33896178	2	0	0	0
CSDA	0	0	0	0	0	0
SPRY1	7.375E-5	0.37731852	42	0	0	0
TENC1	0.00116537	0.38950283	162	0	0	0
ID3	4.655E-5	0.35416314	37	1	0	0
KDM5B	3.0163E-4	0.39764387	76	0	0	0
DR1	2.495E-5	0.38159274	46	0	0	0
DHRS3	1.322E-5	0.35208513	8	0	0	0
PCF11	1.178E-5	0.37671572	46	0	0	0
CNN3	3.99E-6	0.37222642	23	0	0	0
TRIO	3.827E-5	0.39100378	39	0	0	0
CFLAR	7.31E-5	0.36059359	69	0	0	0
BMP4	1.2746E-4	0.36184836	95	0	0	1
ZC3H4	2.21E-5	0.3794651	36	0	0	0
CXXC5	1.37E-6	0.34801588	10	0	0	0
GLS	1.0084E-4	0.37419816	67	0	0	0
SEPT11	5.883E-5	0.39701209	64	0	0	0
PTPRG	8.457E-5	0.36853923	52	0	0	0
FUBP1	1.134E-4	0.41735012	125	0	1	0
MIDN	3.71E-6	0.33790139	9	0	0	0
SOX9	2.631E-5	0.35855482	26	0	0	0
CD44	3.0796E-4	0.41250678	149	0	0	0
UGCG	2.426E-5	0.36135633	17	0	0	0
NFE2L2	6.435E-5	0.38478511	90	1	1	0
ZBTB7A	5.827E-5	0.40182407	133	0	0	0
ATP2A2	2.4398E-4	0.42325875	167	0	0	0
FOXC2	1.871E-5	0.33764243	37	0	0	0
PCDH18	3.11E-6	0.32006576	3	0	0	0
ZCCHC2	0.0	0.33799689	2	0	0	0
MID1IP1	5.38E-6	0.34181996	16	0	0	1
UBTF	8.068E-5	0.4071003	108	0	0	0
MLLT3	5.479E-5	0.38440521	70	0	0	0
KIAA1539	0	0	0	0	0	0
SNX33	3.97E-6	0.36375092	18	0	0	0
FST	2.59E-6	0.31823452	8	0	0	0
HOXB4	2.0E-8	0.32423744	4	0	0	0
RPL3	2.2997E-4	0.42787773	286	0	0	0
RNASE4	0.0	0.32503689	2	0	0	0
SALL1	7.99E-6	0.35554706	23	0	0	0
ATXN1	0.00171276	0.40721913	271	0	0	0
BCL3	1.347E-5	0.3702426	62	0	1	0
MAML3	3.9E-6	0.35552441	11	0	0	0
SNX18	4.29E-6	0.35604611	23	0	0	0
CAMK2D	2.7242E-4	0.39323547	103	0	0	0
ACTN1	5.3569E-4	0.41950437	184	0	0	0
SLC2A1	1.465E-5	0.38793243	38	0	0	0
KLF10	2.357E-5	0.34015319	26	0	0	0
EIF4A2	6.478E-5	0.39082123	81	0	0	0
KIAA1949	0	0	0	0	0	0
KLF12	1.987E-5	0.37174705	11	0	0	0
TCF4	0.00122747	0.39829662	234	0	0	0
EFNB2	8.175E-5	0.36430499	67	0	0	0
USP9X	3.4624E-4	0.42431001	230	0	0	0
FZD8	3.63E-6	0.31555933	8	0	0	0
ARHGEF12	5.366E-5	0.39705917	52	1	0	0
ST3GAL1	2.979E-5	0.36362452	18	0	0	0
ATP1A1	4.7522E-4	0.42355858	203	1	1	0
GAPDH	7.703E-4	0.44578762	275	0	0	0
HNRNPU	0.00137403	0.45131551	632	0	0	0
HSPA5	0.0058161	0.46046371	625	0	0	0
VCAN	2.086E-5	0.3189803	18	0	0	0
FOXF1	2.89E-6	0.32821015	21	0	0	0
GABPB1	2.035E-5	0.35815595	31	0	0	0
ETV1	6.6E-6	0.35402085	25	0	1	0
ARF4	8.558E-5	0.41111902	95	0	0	0
PNRC1	9.66E-6	0.35556216	18	0	0	0
CDC42BPA	2.652E-5	0.38608952	27	0	0	0
FTH1	3.8136E-4	0.38616077	115	0	0	0
TXNIP	1.0926E-4	0.3993893	142	0	0	0
ERRFI1	4.3807E-4	0.39223128	103	0	0	0
TIPARP	0.0	0.28915871	1	0	0	0
PRRX1	0.0	0.32667317	2	0	0	0
FEM1B	5.483E-5	0.3755243	56	0	0	0
TEAD1	2.304E-5	0.36326159	29	0	0	0
CPEB4	1.38E-6	0.35613699	8	0	0	0
TRERF1	2.5E-6	0.36935228	14	0	0	0
TRIB1	2.25E-5	0.36750373	31	0	0	0
NFIL3	8.7E-6	0.35959448	23	0	0	0
FSCN1	1.612E-5	0.38482933	56	0	0	0
CALM2	4.615E-5	0.36364821	51	0	0	0
STAG2	5.968E-5	0.39268207	61	1	0	0
TUBB3	0.00144057	0.43260982	263	0	0	0
IGF2BP1	1.0194E-4	0.41969367	159	0	0	0
VGLL4	1.022E-5	0.37103029	20	0	0	0
GIT2	9.536E-5	0.37921584	98	0	0	0
TRPS1	9.91E-6	0.3794995	31	0	0	0
SMAD3	0.00160348	0.42609183	429	1	0	0
HNRNPUL1	2.1749E-4	0.42406282	177	0	0	0
ELL2	3.39E-6	0.33503432	32	0	0	0
MGEA5	7.399E-5	0.37406439	41	0	0	0
CLTC	8.7414E-4	0.43785961	383	1	0	0
STXBP5	3.46E-6	0.3486827	14	0	0	0
ATF4	1.8788E-4	0.38487356	98	0	0	0
JUB	0	0	0	0	0	0
CDKN2C	6.194E-5	0.36935228	66	1	0	0
PRPF4B	4.067E-5	0.39698385	79	0	0	0
SERBP1	3.7177E-4	0.43202931	274	0	0	0
SDC4	1.152E-5	0.36509148	20	0	0	0
ERBB2IP	5.7793E-4	0.41193839	131	0	0	0
MAP7D1	4.253E-5	0.39483987	52	0	0	0
MLL	0	0	0	0	0	0
HES1	6.359E-5	0.37443249	53	0	0	0
SLIT2	8.82E-6	0.35432054	17	0	0	0
LRIG3	1.948E-5	0.3616842	18	1	0	0
HUWE1	0.00131772	0.45311104	561	0	0	0
HIC1	3.82E-6	0.36059359	47	0	0	0
BHLHE41	7.68E-6	0.34994356	41	0	0	0
AAK1	2.268E-5	0.39307851	40	0	0	0
CDC42SE1	4.02E-6	0.35265619	13	0	0	0
HNRNPF	4.7451E-4	0.44303898	254	0	0	0
SCD	1.205E-5	0.40398629	31	0	0	0
VGLL3	1.9E-7	0.34039525	4	0	0	0
ARSJ	2.3E-7	0.30961848	4	0	0	1
HIVEP2	1.2E-6	0.36341929	10	0	0	0
WDR26	1.1458E-4	0.39508212	118	0	0	0
SOX12	4.0E-8	0.29876155	3	0	0	0
B4GALT1	8.188E-5	0.38844548	63	0	0	0
MAN1A2	3.514E-5	0.37285644	20	0	0	0
SLC16A1	5.514E-5	0.40285866	60	0	0	0
COL12A1	4.05E-6	0.34640293	7	0	0	0
MYL12A	4.813E-5	0.40317881	109	0	0	0
MIER1	2.126E-5	0.38072497	29	0	0	0
AMD1	1.8515E-4	0.3586009	32	0	0	0
MXI1	1.5517E-4	0.36918938	38	0	0	0
ETV6	5.01E-5	0.3928848	53	1	0	0
SP3	4.9E-5	0.3675118	53	0	0	0
SQLE	1.149E-5	0.33351926	16	0	0	0
RHOF	2.35E-6	0.37562541	15	0	0	0
ERF	2.626E-5	0.35557727	32	0	0	1
ZBTB37	2.1E-7	0.34416692	4	0	0	0
SEPT10	1.844E-5	0.35192971	34	0	0	0
USP38	9.55E-6	0.35905465	15	0	0	0
ARF1	3.2696E-4	0.40456226	159	0	0	0
WBP4	7.814E-5	0.3563189	53	0	0	0
CHD3	0.00153797	0.44747955	682	0	0	0
KLF4	1.253E-5	0.37454139	48	1	1	0
GADD45B	2.95E-6	0.3289453	25	0	0	0
EP300	0.0033723	0.44641762	748	1	0	0
LAPTM4A	4.1E-6	0.34852301	12	0	0	0
RUSC1	3.39E-6	0.35986501	14	0	0	0
MSL1	2.551E-5	0.37569284	51	0	0	0
TOB1	2.604E-5	0.37381383	48	0	0	0
FEM1C	2.4E-6	0.34709956	12	0	0	0
BAG3	0.00507368	0.4223192	502	0	0	0
WWTR1	2.038E-5	0.37295611	46	0	1	0
MEF2D	3.339E-5	0.38088955	46	0	0	0
ENO1	0.00128555	0.44219646	388	0	0	0
STC2	1.447E-5	0.35681251	17	0	0	0
ZEB1	2.113E-5	0.36813404	59	0	1	0
CDKN1A	9.6588E-4	0.42404134	368	1	1	0
MYCBP2	3.3679E-4	0.40776463	94	0	0	0
COL3A1	4.07E-6	0.34284193	12	0	0	1
MSH5	2.74E-6	0.3521666	12	0	0	0
XPO1	0.01283435	0.47063784	1328	0	1	0
FBXO11	2.1372E-4	0.38947564	79	1	0	0
KNTC1	1.898E-5	0.37357194	32	0	0	0
HNRNPL	0.03955305	0.4840547	1598	0	0	0
ADAMTS6	4.2E-7	0.3173117	3	0	0	0
USPL1	4.62E-6	0.34369355	29	0	0	0
FBXL14	2.545E-5	0.36356135	37	0	0	0
RNF139	1.26E-6	0.32479097	20	0	0	0
ITPRIP	4.079E-5	0.37771862	26	0	0	0
CDK17	4.252E-5	0.38714302	39	0	0	0
NT5E	8.946E-5	0.3581866	54	0	0	0
GATA3	2.19E-5	0.3677863	42	1	1	0
NUAK1	3.967E-5	0.38770784	30	0	0	0
TLE1	6.4453E-4	0.39471885	134	0	0	0
PICALM	1.0434E-4	0.40063175	118	0	0	0
SC4MOL	0	0	0	0	0	0
ENC1	1.558E-5	0.3576739	21	0	0	0
YY1	2.498E-4	0.41625022	184	0	0	0
REV3L	3.7995E-4	0.36138753	33	0	0	0
PHF12	1.436E-5	0.36600936	51	0	0	0
MAP4K4	8.136E-5	0.39975168	60	0	0	0
KLHL21	9.05E-6	0.35925497	27	0	0	0
PBX3	6.497E-5	0.35094118	27	0	0	0
SRF	3.724E-5	0.36075677	80	0	0	1
SGMS1	2.25E-6	0.35494403	6	0	0	0
SMTN	5.56E-6	0.38385876	17	0	0	1
PER1	3.586E-5	0.36380625	44	1	0	0
F3	2.26E-6	0.34518164	13	0	0	0
EEF2	3.8119E-4	0.44017352	290	0	0	0
MYH9	0.00120878	0.44602515	390	1	0	0
FGF5	7.4E-7	0.31390858	6	0	0	0
SEMA5A	0	0	0	0	0	0
FZD1	4.31E-6	0.3294891	9	0	0	0
MAF	1.5E-5	0.3567897	36	0	1	0
RBPJ	4.0576E-4	0.40234553	147	0	0	0
PTTG1IP	1.844E-5	0.35566036	10	0	0	0
SLC1A5	1.6726E-4	0.41151313	91	0	0	0
PFN2	7.925E-5	0.38730423	65	0	0	0
SLC20A1	3.278E-5	0.37257433	30	0	0	0
YAP1	0.00130637	0.43744774	475	0	0	0
SNX1	1.2801E-4	0.39313389	89	0	0	0
SHB	2.034E-5	0.37714003	27	0	0	0
SERPINH1	1.0918E-4	0.41242548	128	0	0	0
GAS1	1.36E-6	0.35133887	6	0	0	0
GIT1	1.0342E-4	0.38883341	93	0	0	0
CLK1	0.00128828	0.3833402	168	0	0	0
PHF15	1.574E-5	0.36382207	32	0	0	0
EPHA4	1.1492E-4	0.37305584	53	0	0	0
UBE2H	2.5647E-4	0.39359601	101	0	0	0
TRHDE	5.12E-6	0.33971836	14	0	0	0
DNAJB4	1.205E-4	0.38719674	70	0	0	0
GJA1	9.422E-5	0.36779438	67	0	0	0
ZBTB10	7.838E-5	0.39717221	79	0	0	0
CIC	1.846E-5	0.37821353	28	1	1	0
AMOTL2	1.7314E-4	0.39634478	100	0	0	0
ZNF292	2.48E-6	0.36458265	13	0	0	0
PTBP1	1.5371E-4	0.43842145	207	0	0	0
KDM6A	1.2954E-4	0.39835348	71	1	1	0
ACTN4	3.614E-4	0.42011493	170	0	0	0
PPP1R12A	1.2498E-4	0.40812247	106	0	0	0
UQCRH	2.5128E-4	0.37480971	86	0	0	0
PCBP1	0.00107982	0.44972735	462	0	0	0
GABBR1	6.14E-6	0.32360445	13	0	0	0
CBLB	4.922E-5	0.37870117	89	1	0	0
TRAM2	6.8E-7	0.35464328	3	0	0	0
ASPH	2.1006E-4	0.41889559	110	0	0	0
OBFC2A	0	0	0	0	0	0
BRI3	0.0	0.26478356	2	0	0	0
DPYSL2	1.1701E-4	0.40865044	84	0	0	0
PTGES3	1.174E-4	0.40827176	141	0	0	0
CSNK1E	4.4586E-4	0.40656645	195	0	0	0
S100A10	5.716E-5	0.38185385	62	0	0	0
IGFBP4	4.28E-6	0.32930115	12	0	0	0
RBM15	3.721E-5	0.39869499	67	0	0	0
SEPT2	1.3167E-4	0.40090996	107	0	0	0
CYP1B1	5.0E-7	0.34686943	8	0	0	0
FAT4	6.645E-5	0.36261642	25	1	0	0
EGR1	2.478E-5	0.35998882	51	0	0	0
KLF13	1.33E-6	0.35794155	15	0	0	0
SYNCRIP	0.00130697	0.44339098	388	0	0	0
LRFN5	0	0	0	0	0	0
YBX1	3.5445E-4	0.43967645	277	0	0	0
GLUD1	7.849E-5	0.39444916	72	0	0	0
CCND2	1.2318E-4	0.38083756	140	0	1	0
AHR	4.496E-5	0.39594173	90	0	0	0
IL6ST	3.146E-5	0.36845001	37	0	1	0
MAML2	5.4E-7	0.34914809	8	0	1	0
MEX3B	5.69E-6	0.35581153	19	0	0	1
CACNB3	1.053E-5	0.33329352	12	0	0	0
TSPAN5	1.7854E-4	0.36296232	64	0	0	0
MDM2	0.00218439	0.44539626	721	0	1	0
RANBP9	5.0775E-4	0.412395	176	0	0	0
CRKL	4.9622E-4	0.40525755	149	0	0	0
NRM	4.19E-6	0.33022348	9	0	0	0
PABPC1	4.7975E-4	0.4404978	348	1	1	0
UGP2	1.7598E-4	0.38272677	60	0	0	0
RBBP6	2.3759E-4	0.40427895	98	0	0	0
SOCS3	1.509E-4	0.38400844	99	0	0	0
TSHZ3	7.26E-6	0.34930835	24	0	0	0
SOX11	1.3E-7	0.29124626	2	0	0	0
KDM2B	4.407E-5	0.38839141	46	0	0	0
RABGGTB	1.0921E-4	0.36079564	71	0	0	0
ALDOA	4.1973E-4	0.42443909	157	0	0	0
KIF26B	1.215E-5	0.3682393	23	0	0	0
IVNS1ABP	6.947E-5	0.40685298	95	0	0	0
CDC42EP4	5.879E-5	0.38858973	32	0	0	0
FANK1	1.59E-6	0.32530846	8	0	0	0
TMEM165	3.949E-5	0.39736074	45	0	0	0
SAP30	2.606E-5	0.36953979	83	0	0	0
LPHN2	5.22E-6	0.35887762	16	0	0	0
ODZ4	0	0	0	0	0	0
ACBD5	8.87E-6	0.35612942	24	0	0	0
TRAF7	5.406E-5	0.35919331	49	1	0	0
FOS	2.2889E-4	0.38998369	166	0	0	0
ARL4C	2.287E-5	0.34481196	21	0	0	0
C6ORF145	0	0	0	0	0	0
PPAP2B	1.022E-5	0.35991917	15	0	0	0
PRDX6	5.6836E-4	0.41579536	162	0	0	0
DUSP7	2.225E-5	0.36412275	62	0	0	0
RPRD2	1.028E-5	0.3991227	38	0	0	0
TOMM70A	1.734E-5	0.38150579	57	0	0	0
ZMYND8	2.979E-5	0.38950283	74	0	0	0
CEBPD	8.93E-6	0.36961321	46	0	0	0
RPL28	2.3093E-4	0.41145245	200	0	0	0
ATP2B4	2.1947E-4	0.39428195	60	0	0	0
RNF168	2.702E-5	0.37794031	91	0	0	0
EPHA2	3.8933E-4	0.41388346	159	0	0	0
TPM2	4.4459E-4	0.39131451	130	0	0	0
ITGA3	6.86E-6	0.3523593	25	0	0	0
CD164	1.31E-6	0.33916778	4	0	0	0
SLC38A1	2.445E-5	0.36560971	19	0	0	0
LARP1	1.6105E-4	0.42627626	174	0	0	0
