Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Focal adhesion	22/199	1.0223017767406588E-8	2.8624449748738446E-7	0	0	4.293311216275553	78.99101884844949	GSK3B;PRKCB;SHC1;ACTN1;HGF;CAV1;PTEN;PIK3R2;PIK3R1;ACTB;ARHGAP35;VEGFA;CDC42;COL2A1;COL4A1;RAPGEF1;FLNB;FYN;FLNC;ITGA5;SOS1;BCAR1
Human T-cell leukemia virus 1 infection	23/219	1.2633672709180028E-8	3.242642662022874E-7	0	0	4.078556545639934	74.17630065316484	RB1;SMAD2;SMAD4;CDKN2C;SMAD3;CDKN2A;HLA-B;PTEN;PIK3R2;HLA-A;PIK3R1;ETS1;TGFBR1;TGFBR2;NFKBIA;PPP3CA;PPP3CB;CHEK2;CDC27;EP300;ATM;B2M;BCL2L1
Cell cycle	17/124	2.0114662135604095E-8	4.765627644435432E-7	0	0	5.324146570623238	94.35355029173891	RB1;SMAD2;YWHAE;GSK3B;SMAD4;HDAC2;SMAD3;CDKN1B;CDKN2C;CDKN2A;YWHAZ;STAG2;CHEK2;CDC27;EP300;ATM;YWHAG
PI3K-Akt signaling pathway	29/354	4.63571718911821E-8	1.0198577816060061E-6	0	0	3.181394328341835	53.72385550796168	YWHAE;GSK3B;CDKN1B;PHLPP1;HSP90AB1;PTEN;PIK3R2;PIK3R1;RPTOR;STK11;RXRA;BCL2L11;PPP2R1A;YWHAG;MCL1;HSP90AA1;HGF;TSC2;TSC1;PPP2R5C;YWHAZ;VEGFA;COL2A1;COL4A1;GNB1;ITGA5;TEK;SOS1;BCL2L1
Bacterial invasion of epithelial cells	13/74	4.694583912985571E-8	9.639545634663707E-7	0	0	6.822356336919444	115.12229145235995	SHC1;CAV1;PIK3R2;WASL;PIK3R1;ACTB;DNM2;CDC42;SEPT9;CDH1;ITGA5;WASF2;BCAR1
Viral carcinogenesis	21/201	5.9500693238010385E-8	1.1453883448316999E-6	0	0	4.057382987972757	67.50380820972374	RB1;YWHAE;HDAC2;CDKN1B;GSN;DDX3X;CDKN2A;ACTN1;HLA-B;PIK3R2;HLA-A;PIK3R1;YWHAZ;HDAC7;NFKBIA;CDC42;CASP8;PKM;EP300;HIST1H2BD;YWHAG
Hepatitis B	18/163	2.2812682788628916E-7	4.133121352292768E-6	0	0	4.288522246709155	65.58593216982823	RB1;MAP2K3;SMAD2;SMAD4;SMAD3;DDX3X;PRKCB;PIK3R2;PIK3R1;YWHAZ;TGFBR1;TGFBR2;NFKBIA;CASP8;EP300;FAS;MAP2K7;SOS1
Transcriptional misregulation in cancer	19/186	3.607423451347571E-7	6.172702350083621E-6	0	0	3.9670111702682957	58.85101478602767	CEBPA;HDAC2;CDKN1B;CDKN2C;LDB1;MAX;ZBTB16;PRCC;JMJD1C;KLF3;ETV6;TGFBR2;NCOR1;RXRA;SIN3A;ATM;GRIA3;MEN1;BCL2L1
Pancreatic cancer	12/75	4.474273761539959E-7	7.253033255548986E-6	0	0	6.2135922330097095	90.84117499231468	RB1;CDC42;SMAD2;SMAD4;SMAD3;CDKN2A;PIK3R2;PIK3R1;TGFBR1;TGFBR2;VEGFA;BCL2L1
TGF-beta signaling pathway	13/90	5.065494817055208E-7	7.80086201826502E-6	0	0	5.6094929881337645	81.3132123927604	TGIF1;SMAD2;SMAD4;SMAD3;INHBA;ACVR1B;TGFBR1;ACVR2A;TGFBR2;SMAD7;PPP2R1A;EP300;ID3
Renal cell carcinoma	11/69	1.4033729658578276E-6	2.0582803499248138E-5	0	0	6.1910792176727165	83.43489603712544	CDC42;HGF;PRCC;RAPGEF1;EP300;PIK3R2;PIK3R1;VHL;SOS1;ETS1;VEGFA
Endometrial cancer	10/58	2.020908619798084E-6	2.8292720677173174E-5	0	0	6.695681285570807	87.79352752530917	GSK3B;APC;CDH1;PTEN;AXIN1;PIK3R2;AXIN2;PIK3R1;SOS1;MLH1
Signaling pathways regulating pluripotency of stem cells	15/139	3.0877245826070466E-6	4.1348659627955235E-5	0	0	4.190822099601872	53.173469802401186	SMAD2;GSK3B;SMAD4;ZFHX3;SMAD3;AXIN1;PIK3R2;HNF1A;PIK3R1;INHBA;AXIN2;ACVR1B;ACVR2A;APC;ID3
Relaxin signaling pathway	14/130	6.7217311446082356E-6	8.626221635580569E-5	0	0	4.182225541448843	49.810995537327976	SMAD2;SMAD3;SHC1;PIK3R2;PIK3R1;TGFBR1;TGFBR2;GNAI2;VEGFA;NFKBIA;COL4A1;GNB1;MAP2K7;SOS1
FoxO signaling pathway	14/132	8.033240953707639E-6	9.896952854967811E-5	0	0	4.1188584877905265	48.3221285908694	SMAD2;SMAD4;SMAD3;CDKN1B;PTEN;PIK3R2;PIK3R1;TGFBR1;TGFBR2;STK11;BCL2L11;EP300;ATM;SOS1
MAPK signaling pathway	22/295	8.95840191023986E-6	1.0612260724437989E-4	0	0	2.8961658713180847	33.66190047886535	MAP2K3;PRKCB;MAX;HGF;RRAS2;CACNA1C;TGFBR1;VEGFA;TGFBR2;CDC42;PPP3CA;PPP3CB;RASA1;NF1;FAS;FLNB;FLNC;TEK;MAP2K7;SOS1;MAP4K4;MAP3K12
Thyroid hormone signaling pathway	13/116	9.231150296767511E-6	1.053034922742368E-4	0	0	4.352192835621024	50.45465336039453	GSK3B;HDAC2;PRKCB;TSC2;ATP2A2;PIK3R2;PIK3R1;ACTB;MED12;NCOR1;RXRA;SIN3A;EP300
AGE-RAGE signaling pathway in diabetic complications	12/100	1.0047942403450584E-5	1.1052736643795642E-4	0	0	4.660194174757281	53.630179481454874	SMAD2;CDC42;SMAD4;SMAD3;CDKN1B;PRKCB;COL4A1;PIK3R2;PIK3R1;TGFBR1;TGFBR2;VEGFA
Human immunodeficiency virus 1 infection	18/212	1.021372773682413E-5	1.0847683251523559E-4	0	0	3.297307199120718	37.89192195412432	MAP2K3;PRKCB;HLA-B;PIK3R2;HLA-A;PIK3R1;GNAI2;NFKBIA;PPP3CA;PPP3CB;CASP8;GNB1;FAS;ATM;MAP2K7;B2M;CALM2;BCL2L1
Regulation of actin cytoskeleton	18/214	1.1618056750983212E-5	1.1927871597676097E-4	0	0	3.2664912439887486	37.11697685616025	GSN;ACTN1;RRAS2;MSN;PIK3R2;PIK3R1;WASL;ACTB;ARHGAP35;CDC42;GNA13;APC;TMSB4X;MYH9;ITGA5;SOS1;WASF2;BCAR1
Apelin signaling pathway	14/137	1.2352692788952575E-5	1.2272997996765785E-4	0	0	3.96853518531642	44.85094201882965	MEF2A;SMAD2;RYR2;SMAD4;MEF2B;SMAD3;RRAS2;TGFBR1;GNAI2;GNA13;CDH1;GNB1;CALM2;MEF2D
Proteoglycans in cancer	17/201	1.8838419691001487E-5	1.8131978952588932E-4	0	0	3.284548133120804	35.73460985142702	SMAD2;PRKCB;HGF;PTCH1;CAV1;RRAS2;MSN;PIK3R2;PIK3R1;ACTB;VEGFA;CDC42;FAS;FLNB;FLNC;ITGA5;SOS1
Kaposi sarcoma-associated herpesvirus infection	16/186	2.6781146268145606E-5	2.49957365169359E-4	0	0	3.3406409854890913	35.16964164267726	RB1;GSK3B;HLA-B;PIK3R2;HLA-A;PIK3R1;VEGFA;NFKBIA;PPP3CA;PPP3CB;CASP8;GNB1;EP300;FAS;MAP2K7;CALM2
Ras signaling pathway	18/232	3.4438251942200925E-5	3.1197004700582014E-4	0	0	3.0130565785068635	30.963201783316215	PRKCB;SHC1;HGF;RRAS2;PIK3R2;PIK3R1;RASAL2;ETS1;VEGFA;CDC42;GRIN2A;RASA1;GNB1;NF1;TEK;SOS1;CALM2;BCL2L1
Prostate cancer	11/97	4.003471260410758E-5	3.5230547091614676E-4	0	0	4.403963567210489	44.59349427120252	RB1;NFKBIA;GSK3B;HSP90AA1;CDKN1B;HSP90AB1;PTEN;EP300;PIK3R2;PIK3R1;SOS1
Insulin signaling pathway	13/137	5.493837589186845E-5	4.7002832707487456E-4	0	0	3.685068386365247	36.14793557079802	GSK3B;PTPN1;SHC1;TSC2;TSC1;PIK3R2;PIK3R1;PTPRF;RPTOR;SOCS1;RAPGEF1;SOS1;CALM2
T cell receptor signaling pathway	11/101	5.832958789309672E-5	4.855544073263187E-4	0	0	4.2295491685090845	41.23557124117618	NFKBIA;CDC42;GSK3B;PPP3CA;PPP3CB;PTPRC;PIK3R2;FYN;PIK3R1;MAP2K7;SOS1
Neurotrophin signaling pathway	12/119	5.837878489986513E-5	4.7317541445153846E-4	0	0	3.9161295586195646	38.17661616274924	NFKBIA;YWHAE;CDC42;GSK3B;SHC1;RAPGEF1;PIK3R2;PIK3R1;MAP2K7;SOS1;CALM2;SH2B3
Wnt signaling pathway	14/158	6.11319068443845E-5	4.8278531559154943E-4	0	0	3.441071648027529	33.38691721666713	RNF43;GSK3B;SMAD4;SMAD3;CSNK2A1;CTBP2;PRKCB;CSNK1A1;AXIN1;AXIN2;PPP3CA;PPP3CB;APC;EP300
Fluid shear stress and atherosclerosis	13/139	6.386402346893176E-5	4.917529807107746E-4	0	0	3.632045819654956	35.081038425869245	MEF2A;HSP90AA1;HSP90AB1;CAV1;KEAP1;PIK3R2;PIK3R1;ACTB;ACVR2A;VEGFA;ARHGEF2;MAP2K7;CALM2
Epstein-Barr virus infection	16/201	6.84856923804261E-5	5.144778842236888E-4	0	0	3.091339419407815	29.642500367664713	RB1;MAP2K3;HDAC2;CDKN1B;HLA-B;TNFAIP3;PIK3R2;HLA-A;PIK3R1;NFKBIA;BCL2L11;CASP8;SIN3A;FAS;MAP2K7;B2M
Chagas disease (American trypanosomiasis)	11/103	6.989722545031874E-5	5.125796533023375E-4	0	0	4.147422000188519	39.684543549457516	SMAD2;NFKBIA;SMAD3;CASP8;PPP2R1A;FAS;PIK3R2;PIK3R1;TGFBR1;TGFBR2;GNAI2
Axon guidance	15/181	7.2814530072178E-5	5.215552386565309E-4	0	0	3.218366142788178	30.663289278892794	EPHA5;GSK3B;EPHA6;PTCH1;PIK3R2;PIK3R1;GNAI2;CDC42;PPP3CA;PPP3CB;RGS3;RASA1;PLXNB2;FYN;NGEF
Rap1 signaling pathway	16/206	9.16075837356593E-5	6.412530861496152E-4	0	0	3.016306909228014	28.045611078404335	MAP2K3;PRKCB;HGF;PIK3R2;PIK3R1;ACTB;GNAI2;VEGFA;CDC42;GRIN2A;CDH1;RAPGEF1;TEK;CALM2;RAPGEF3;BCAR1
Th17 cell differentiation	11/107	9.901803963455193E-5	6.777234712764887E-4	0	0	3.99237818709736	36.81055931943926	SMAD2;NFKBIA;PPP3CA;SMAD4;PPP3CB;HSP90AA1;SMAD3;HSP90AB1;RXRA;TGFBR1;TGFBR2
Fc gamma R-mediated phagocytosis	10/91	1.1663806202046379E-4	7.809678935283228E-4	0	0	4.267577083111064	38.64903405480786	CDC42;GSN;PTPRC;PRKCB;PIK3R2;WASL;ASAP2;PIK3R1;WASF2;DNM2
cAMP signaling pathway	16/212	1.2815921816507095E-4	8.398518977625926E-4	0	0	2.9309397325517494	26.2677770291193	RYR2;PTCH1;PDE4D;RRAS2;ATP2A2;PIK3R2;PIK3R1;CACNA1C;GNAI2;NFKBIA;GRIN2A;EP300;SOX9;CALM2;RAPGEF3;GRIA3
Glioma	9/75	1.2889921252133652E-4	8.271032803452427E-4	0	0	4.660194174757281	41.7389347911117	RB1;PRKCB;SHC1;CDKN2A;PTEN;PIK3R2;PIK3R1;SOS1;CALM2
Small cell lung cancer	10/93	1.4006832119650933E-4	8.804294475209158E-4	0	0	4.175801231861364	37.05347216137768	RB1;NFKBIA;CDKN1B;RXRA;COL4A1;MAX;PTEN;PIK3R2;PIK3R1;BCL2L1
Influenza A	14/171	1.4297352168792183E-4	8.807168935975984E-4	0	0	3.179469709873389	28.147371943493905	MAP2K3;GSK3B;PRKCB;PIK3R2;PIK3R1;ACTB;NFKBIA;NXF1;DDX39B;HNRNPUL1;EP300;FAS;PRSS3;MAP2K7
Dopaminergic synapse	12/131	1.4781234273941008E-4	8.926706188968295E-4	0	0	3.5574001334025054	31.374728976024947	GSK3B;PPP3CA;GRIN2A;PPP3CB;PPP2R1A;PRKCB;GNB1;CACNA1C;PPP2R5C;CALM2;GRIA3;GNAI2
Leukocyte transendothelial migration	11/112	1.4945848668877328E-4	8.852541134642725E-4	0	0	3.8141470180305133	33.596883055395814	CDC42;PRKCB;ACTN1;MSN;PIK3R2;PIK3R1;ARHGAP35;ACTB;RAPGEF3;BCAR1;GNAI2
Hepatitis C	13/155	1.9293071270714657E-4	0.00112118225497738	0	0	3.257124960851864	27.858774232491598	RB1;YWHAE;GSK3B;PIK3R2;PIK3R1;YWHAZ;NFKBIA;CASP8;RXRA;PPP2R1A;FAS;SOS1;YWHAG
MicroRNAs in cancer	19/299	2.960483136914346E-4	0.0016885718632770716	0	0	2.467772835016398	20.050624412189485	CDKN1B;PRKCB;CDKN2A;SHC1;DNMT3A;PTEN;PIK3R2;DICER1;VEGFA;RPTOR;ZEB2;SOCS1;BCL2L11;APC;EP300;ATM;ITGA5;SOS1;MCL1
Long-term potentiation	8/67	3.1464808469205805E-4	0.001762029274275525	0	0	4.637009129111723	37.393100061398556	PPP3CA;PPP3CB;GRIN2A;PRKCB;EP300;CACNA1C;CALM2;RAPGEF3
Apoptosis	12/143	3.352962264233898E-4	0.001844129245328644	0	0	3.2588770452848124	26.072633283078694	NFKBIA;BCL2L11;CASP8;LMNA;DAB2IP;FAS;PIK3R2;ATM;PIK3R1;ACTB;MCL1;BCL2L1
Osteoclast differentiation	11/127	4.4870366959534586E-4	0.002424574214655553	0	0	3.3636572127513187	25.930930826103925	NFKBIA;PPP3CA;PPP3CB;SOCS1;PIK3R2;FYN;PIK3R1;MAP2K7;TGFBR1;FOSL2;TGFBR2
Phospholipase D signaling pathway	12/148	4.587174695745933E-4	0.0024359479418788747	0	0	3.1487798478089744	24.20491022446243	GNA13;SHC1;TSC2;RRAS2;TSC1;PIK3R2;FYN;PIK3R1;SOS1;DGKZ;RAPGEF3;DNM2
B cell receptor signaling pathway	8/71	4.692421732326992E-4	0.002449603209418159	0	0	4.375769178175852	33.537608366247795	NFKBIA;GSK3B;PPP3CA;PPP3CB;PRKCB;PIK3R2;PIK3R1;SOS1
Autophagy	11/128	4.797493305149919E-4	0.0024627132299769585	0	0	3.3373786407766994	25.505071299821473	RPTOR;VMP1;STK11;PTEN;TSC2;RRAS2;TSC1;PIK3R2;PIK3R1;AMBRA1;BCL2L1
Non-alcoholic fatty liver disease (NAFLD)	12/149	4.87514755864864E-4	0.0024615499148586575	0	0	3.127647097152538	23.852031014406588	CDC42;MLXIP;GSK3B;CEBPA;BCL2L11;CASP8;RXRA;FAS;PIK3R2;PIK3R1;NDUFV2;COX5A
Alzheimer disease	13/171	5.015567302699224E-4	0.002491604401986066	0	0	2.9523647305967184	22.43145855111291	GSK3B;LRP1;ATP2A2;CACNA1C;COX5A;RTN4;PPP3CA;GRIN2A;PPP3CB;CASP8;FAS;NDUFV2;CALM2
Pathogenic Escherichia coli infection	7/55	5.0180547946611E-4	0.0024532712329454263	0	0	4.942630185348632	37.55063444398229	CDC42;CDH1;FYN;WASL;ARHGEF2;YWHAZ;ACTB
p53 signaling pathway	8/72	5.162086692197065E-4	0.002484254220619838	0	0	4.314994606256742	32.66019191593018	CASP8;CDKN2A;CHEK2;PTEN;TSC2;FAS;ATM;BCL2L1
Natural killer cell mediated cytotoxicity	11/131	5.838654414858404E-4	0.002766623938117521	0	0	3.26095012228563	24.28051289145092	PPP3CA;PPP3CB;PRKCB;SHC1;HLA-B;FAS;PIK3R2;FYN;HLA-A;PIK3R1;SOS1
VEGF signaling pathway	7/59	7.722824682280395E-4	0.0036039848517308505	0	0	4.6075366134605895	33.01834542282085	CDC42;PPP3CA;PPP3CB;PRKCB;PIK3R2;PIK3R1;VEGFA
Viral myocarditis	7/59	7.722824682280395E-4	0.0035501940330483006	0	0	4.6075366134605895	33.01834542282085	CASP8;CAV1;HLA-B;DMD;FYN;HLA-A;ACTB
Ubiquitin mediated proteolysis	11/137	8.490798012333252E-4	0.0038458320408803555	0	0	3.1181347884629016	22.049445453484626	UBE2H;SOCS1;FBXW7;CUL3;UBE2D3;CDC27;UBR5;KEAP1;UBE2G1;VHL;SAE1
Measles	11/138	9.017276294365534E-4	0.004025103041542876	0	0	3.0955396088363583	21.70344125812724	NFKBIA;GSK3B;CDKN1B;CASP8;CSNK2A1;MSN;TNFAIP3;FAS;PIK3R2;PIK3R1;BCL2L1
Thermogenesis	15/231	0.0010019902889699406	0.004408757271467738	0	0	2.5217500945656286	17.414618504635467	MAP2K3;SMARCD1;SMARCD2;SMARCB1;SMARCC2;TSC2;TSC1;ARID1A;COX5A;ARID1B;ACTB;SMARCA4;RPTOR;NDUFV2;SOS1
Sphingolipid signaling pathway	10/119	0.0010192593937691065	0.0044215759617026035	0	0	3.2634412988496373	22.480799542965148	GNA13;SGMS1;PPP2R1A;PRKCB;PTEN;PIK3R2;FYN;PIK3R1;PPP2R5C;GNAI2
Choline metabolism in cancer	9/99	0.0010320041443234941	0.004414684395161614	0	0	3.53045013239188	24.276266888308882	PRKCB;TSC2;TSC1;PIK3R2;PIK3R1;WASL;SOS1;DGKZ;WASF2
AMPK signaling pathway	10/120	0.001086920392703189	0.004585910697980579	0	0	3.236245954692557	22.085459253425796	RPTOR;STK11;RAB14;PPP2R1A;TSC2;TSC1;PIK3R2;PIK3R1;PPP2R5C;ELAVL1
Hedgehog signaling pathway	6/47	0.0012413845846800662	0.005166843947046762	0	0	4.957653377401363	33.17427600124672	GSK3B;CSNK1A1;CUL3;SUFU;PTCH1;SPOP
cGMP-PKG signaling pathway	12/166	0.0012637309122222789	0.005189721612859492	0	0	2.807345888408001	18.73534745627602	MEF2A;GNA13;PPP3CA;PPP3CB;MEF2B;ATP2A2;MRVI1;CACNA1C;CALM2;MEF2D;GTF2I;GNAI2
Oocyte meiosis	10/125	0.0014825770465817251	0.0060083385571996235	0	0	3.1067961165048548	20.237587441491343	YWHAE;PPP3CA;PPP3CB;PPP2R1A;CDC27;PPP2R5C;CPEB2;CALM2;YWHAZ;YWHAG
Breast cancer	11/147	0.0015087099085146437	0.006034839634058575	0	0	2.906016775642296	18.8789390249281	RB1;GSK3B;APC;SHC1;CSNK1A1;PTEN;AXIN1;PIK3R2;PIK3R1;AXIN2;SOS1
Non-small cell lung cancer	7/66	0.0015110185278832955	0.005966585981898141	0	0	4.1188584877905265	26.751867806037648	RB1;RXRA;PRKCB;CDKN2A;PIK3R2;PIK3R1;SOS1
ErbB signaling pathway	8/85	0.0015524498714084589	0.0060525893720734854	0	0	3.6550542547115934	23.64060229309256	GSK3B;CDKN1B;PRKCB;SHC1;PIK3R2;PIK3R1;SOS1;MAP2K7
Hypertrophic cardiomyopathy (HCM)	8/85	0.0015524498714084589	0.005976932004922567	0	0	3.6550542547115934	23.64060229309256	RYR2;TPM3;LMNA;ATP2A2;DMD;ITGA5;CACNA1C;ACTB
Parathyroid hormone synthesis, secretion and action	9/106	0.0016720942437682064	0.006358086754081575	0	0	3.297307199120718	21.081921817242147	MEF2A;NR4A2;GNA13;AKAP13;RXRA;PRKCB;PDE4D;MEF2D;GNAI2
Amphetamine addiction	7/68	0.0017999944829905057	0.006760954887330192	0	0	3.997715591090805	25.265449316750384	PPP3CA;PPP3CB;GRIN2A;PRKCB;CACNA1C;CALM2;GRIA3
Insulin resistance	9/108	0.0019039763020349666	0.007065357843696021	0	0	3.236245954692557	20.271232327186496	NFKBIA;MLXIP;GSK3B;PTPN1;PRKCB;PTEN;PIK3R2;PIK3R1;PTPRF
TNF signaling pathway	9/110	0.0021608557210688554	0.007923137643919137	0	0	3.177405119152692	19.5005326450847	MAP2K3;NFKBIA;CASP8;DAB2IP;TNFAIP3;FAS;PIK3R2;PIK3R1;MAP2K7
Cushing syndrome	11/155	0.0022972594799554953	0.00832418729207403	0	0	2.7560288130285002	16.745736891028546	RB1;GSK3B;CDKN1B;CDKN2C;APC;CDKN2A;AXIN1;CACNA1C;AXIN2;MEN1;GNAI2
Dilated cardiomyopathy (DCM)	8/91	0.00239877570382426	0.008590964148579907	0	0	3.4140616664888515	20.596340280181824	RYR2;TPM3;LMNA;ATP2A2;DMD;ITGA5;CACNA1C;ACTB
mRNA surveillance pathway	8/91	0.00239877570382426	0.008492217434228413	0	0	3.4140616664888515	20.596340280181824	UPF2;NXF1;DDX39B;PPP2R1A;PCF11;ETF1;PPP2R5C;SRRM1
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	7/72	0.002505131941270142	0.008767961794445497	0	0	3.7756202804746497	22.613752493347697	RYR2;LMNA;ATP2A2;DMD;ITGA5;CACNA1C;ACTB
Melanoma	7/72	0.002505131941270142	0.008669445369788805	0	0	3.7756202804746497	22.613752493347697	RB1;CDH1;CDKN2A;HGF;PTEN;PIK3R2;PIK3R1
Glutamatergic synapse	9/114	0.0027571411008816007	0.009435549545239256	0	0	3.0659172202350535	18.069170063708007	PPP3CA;GRIN2A;PPP3CB;PRKCB;GNB1;DLGAP1;CACNA1C;GRIA3;GNAI2
Circadian entrainment	8/97	0.0035700935192895184	0.012083393449902986	0	0	3.2028825943349015	18.048767050839448	RYR2;GRIN2A;PRKCB;GNB1;CACNA1C;CALM2;GRIA3;GNAI2
Chemokine signaling pathway	12/190	0.003881535977679071	0.012994707403534282	0	0	2.452733776188043	13.616411241239888	NFKBIA;CDC42;GSK3B;PRKCB;SHC1;GNB1;PIK3R2;PIK3R1;WASL;SOS1;BCAR1;GNAI2
Lysine degradation	6/59	0.004020982145389692	0.013316801083656184	0	0	3.949317097251934	21.78533786309421	KMT2E;SETD2;KMT2C;NSD1;SETD1B;ASH1L
RNA degradation	7/79	0.004228644437166259	0.013855558368587317	0	0	3.441071648027529	18.808463369385702	CNOT4;BTG2;BTG1;CNOT3;TOB2;TOB1;HSPD1
HIF-1 signaling pathway	8/100	0.004301049827082646	0.013944456281489	0	0	3.1067961165048548	16.92860936776137	CDKN1B;PRKCB;EP300;PIK3R2;PIK3R1;VHL;TEK;VEGFA
Tight junction	11/170	0.004659414659445193	0.014948955365719994	0	0	2.5128498001142208	13.491152468588844	CDC42;STK11;PPP2R1A;ACTN1;MSN;MYH9;NF2;WASL;ARHGEF2;MAP2K7;ACTB
C-type lectin receptor signaling pathway	8/104	0.005448615698857248	0.017300759126268373	0	0	2.987303958177745	15.571004339895985	NFKBIA;PPP3CA;PPP3CB;CASP8;RRAS2;PIK3R2;PIK3R1;CALM2
Basal cell carcinoma	6/63	0.005564319429220244	0.017487861063263627	0	0	3.6985668053629217	19.200667948487773	GSK3B;APC;SUFU;PTCH1;AXIN1;AXIN2
mTOR signaling pathway	10/152	0.00608372800482076	0.018927153792775698	0	0	2.5549310168625445	13.035609637765504	RPTOR;GSK3B;STK11;PRKCB;PTEN;TSC2;TSC1;PIK3R2;PIK3R1;SOS1
Type II diabetes mellitus	5/46	0.006379780356671776	0.01964972349854907	0	0	4.221190375685944	21.336520088948966	SOCS1;PKM;PIK3R2;PIK3R1;CACNA1C
Shigellosis	6/65	0.006480372847035273	0.019761929078087766	0	0	3.584764749813294	18.0635479569248	CDC42;NFKBIA;WASL;ITGA5;WASF2;ACTB
Salmonella infection	7/86	0.0067271203536026095	0.020313265381466702	0	0	3.1609844208624978	15.810005311723218	CDC42;MYH9;FLNB;WASL;FLNC;WASF2;ACTB
Fc epsilon RI signaling pathway	6/68	0.008052985370956688	0.02408077178888019	0	0	3.4266133637921192	16.522144155679666	MAP2K3;PIK3R2;FYN;PIK3R1;SOS1;MAP2K7
