Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Viral carcinogenesis	36/201	8.732029546654326E-15	2.444968273063211E-13	0	0	4.676357117805229	151.3819971435599	HDAC4;GTF2A1;HDAC2;GTF2B;PXN;PIK3R3;PIK3CD;PIK3R2;CHD4;CDC42;NRAS;CCND3;CCND2;CHEK1;MAPK1;RAC1;PRKACA;HRAS;YWHAG;JUN;GSN;SYK;STAT3;HLA-B;HLA-A;YWHAZ;DDB1;HNRNPK;SNW1;PKM;PIK3CA;TRAF3;REL;KRAS;IL6ST;HIST1H2BD
Colorectal cancer	24/86	9.138814802231353E-15	2.345629132572714E-13	0	0	7.2864169044872185	235.54250304971282	TCF7L2;MAP2K1;JUN;MAP2K2;PIK3CD;PIK3R3;PIK3R2;BRAF;TGFBR1;EGFR;NRAS;BCL2L11;PIK3CA;RPS6KB1;MSH3;MYC;BCL2;AKT1;MAPK1;CTNNB1;KRAS;RAC1;SOS1;HRAS
Prostate cancer	25/97	1.9254510675077043E-14	4.561837913787484E-13	0	0	6.729293962477456	212.51804151195455	HSP90AB1;PIK3R3;PIK3CD;PIK3R2;EGFR;NRAS;ERBB2;AKT1;MAPK1;HRAS;PDGFRB;PDGFRA;TCF7L2;MAP2K1;MAP2K2;BRAF;AR;PIK3CA;BCL2;CTNNB1;KRAS;ERG;SOS1;FGFR2;FGFR1
PI3K-Akt signaling pathway	48/354	2.399842537473645E-14	5.279653582442019E-13	0	0	3.540292959242377	111.02637757614235	PHLPP1;FLT1;HSP90AB1;FLT3;ITGB4;PIK3R3;PIK3CD;PIK3R2;EGFR;RPTOR;PPP2CA;NRAS;CCND3;RXRA;CCND2;BCL2L11;MYC;ERBB2;KDR;AKT1;MAPK1;RAC1;JAK2;HRAS;EIF4E;YWHAG;MCL1;PDGFRB;PDGFRA;MAP2K1;MAP2K2;SYK;YWHAZ;PTK2;VEGFA;PIK3CA;RPS6KB1;COL4A1;KIT;GNB1;BCL2;KRAS;SOS1;FGFR3;FGFR2;EPHA2;BCL2L1;FGFR1
Estrogen signaling pathway	29/137	4.126937893132067E-14	8.47397914056451E-13	0	0	5.526862457357397	170.33047062282563	HSP90AB1;SHC1;ITPR1;PIK3R3;PIK3CD;ITPR3;PIK3R2;EGFR;GNAI2;NRAS;AKT1;MAPK1;PRKACA;HRAS;NCOA2;KCNJ5;MAP2K1;JUN;MAP2K2;PRKCD;PIK3CA;GNAQ;GNAS;BCL2;RARA;KRAS;SOS1;CALM2;FKBP5
Human immunodeficiency virus 1 infection	36/212	4.792496741470178E-14	9.225556227330093E-13	0	0	4.433715946598355	135.9782541372076	PXN;CUL1;ITPR1;PIK3R3;CXCR4;PIK3CD;PIK3R2;ITPR3;CRKL;GNAI2;NRAS;GNA11;CHEK1;AKT1;MAPK1;RAC1;HRAS;JUN;MAP2K1;MAP2K2;FBXW11;HLA-B;NFATC3;HLA-A;PTK2;DDB1;PIK3CA;RPS6KB1;GNAQ;GNB1;BCL2;KRAS;CALR;CALM2;MYD88;BCL2L1
Chronic myeloid leukemia	22/76	5.179364491049321E-14	9.383789783783475E-13	0	0	7.558059639961523	231.21244903206698	MAP2K1;HDAC2;MAP2K2;CTBP2;SHC1;PIK3CD;PIK3R3;PIK3R2;PTPN11;BRAF;TGFBR1;CRKL;NRAS;PIK3CA;MYC;ABL1;AKT1;MAPK1;KRAS;SOS1;HRAS;BCL2L1
Ras signaling pathway	37/232	1.5975714623580515E-13	2.7336222800348884E-12	0	0	4.164040695057172	122.6939652972197	FLT1;SHC1;FLT3;PIK3R3;PIK3CD;PIK3R2;RASAL2;EGFR;CDC42;NRAS;RAP1A;KDR;ABL1;AKT1;MAPK1;RAC1;PRKACA;HRAS;PDGFRB;PDGFRA;MAP2K1;MAP2K2;PTPN11;VEGFA;PIK3CA;RASA1;KIT;GNB1;REL;KRAS;SOS1;CALM2;FGFR3;FGFR2;EPHA2;BCL2L1;FGFR1
Endometrial cancer	19/58	2.2446168859996987E-13	3.638642109936354E-12	0	0	8.553164670928243	249.1115313467786	TCF7L2;MAP2K1;MAP2K2;ILK;PIK3CD;PIK3R3;PIK3R2;BRAF;EGFR;NRAS;PIK3CA;MYC;ERBB2;AKT1;MAPK1;CTNNB1;KRAS;SOS1;HRAS
Acute myeloid leukemia	20/66	2.7912423383131757E-13	4.298513201002291E-12	0	0	7.912018355882585	228.71365954307024	TCF7L2;MAP2K1;MAP2K2;FLT3;STAT3;PIK3CD;PIK3R3;PIK3R2;BRAF;NRAS;PIK3CA;RPS6KB1;MYC;KIT;RARA;AKT1;MAPK1;KRAS;SOS1;HRAS
ErbB signaling pathway	22/85	6.504769289390777E-13	9.540328291106473E-12	0	0	6.757794501612656	189.63094836841907	MAP2K1;JUN;MAP2K2;SHC1;PIK3CD;PIK3R3;PIK3R2;BRAF;EGFR;PTK2;CRKL;NRAS;PIK3CA;RPS6KB1;MYC;ERBB2;ABL1;AKT1;MAPK1;KRAS;SOS1;HRAS
MAPK signaling pathway	41/295	8.550982685979846E-13	1.1971375760371784E-11	0	0	3.6288002832234367	100.83550559281052	FLT1;FLT3;CACNA1E;EGFR;CACNA1H;CRKL;CDC42;NRAS;RAP1A;MYC;RPS6KA2;ERBB2;KDR;AKT1;MAPK1;FLNB;RAC1;FLNC;PRKACA;HRAS;MAP3K5;PDGFRB;PDGFRA;JUN;MAP2K1;MAP2K2;NFATC3;BRAF;TGFBR1;VEGFA;TAOK1;RASA1;KIT;KRAS;SOS1;FGFR3;MYD88;FGFR2;EPHA2;FGFR1;MAP3K12
B cell receptor signaling pathway	20/71	1.2914329545981231E-12	1.7293971739835737E-11	0	0	7.354833964623249	201.34055599998763	MAP2K1;JUN;MAP2K2;SYK;CD81;INPPL1;NFATC3;PIK3CD;PIK3R3;PIK3R2;VAV2;NRAS;PIK3CA;AKT1;MAPK1;KRAS;RAC1;SOS1;HRAS;CARD11
Cellular senescence	29/160	2.632164146613274E-12	3.3779439881537014E-11	0	0	4.7323759791122715	126.18035695522076	ITPR1;PIK3R3;PIK3CD;ITPR3;PIK3R2;ZFP36L2;ZFP36L1;CCND3;NRAS;CCND2;MYC;CHEK1;AKT1;MAPK1;HRAS;MAP2K1;MAP2K2;FBXW11;HLA-B;NFATC3;HLA-A;HIPK1;TGFBR1;PPP1CA;RAD50;PIK3CA;VDAC1;KRAS;CALM2
Thyroid hormone signaling pathway	24/116	1.091434893437801E-11	1.3446477887153709E-10	0	0	5.401998739533627	136.35154106281442	MED1;NCOA2;MAP2K1;HDAC2;MAP2K2;SLC2A1;PIK3R3;PIK3CD;ATP2A2;PIK3R2;ACTB;SLC9A1;MED17;NRAS;RXRA;PIK3CA;SIN3A;MYC;AKT1;MAPK1;CTNNB1;KRAS;PRKACA;HRAS
Non-small cell lung cancer	18/66	3.143208619530387E-11	3.723493287751381E-10	0	0	7.120816520294326	172.2040723337108	ALK;MAP2K1;MAP2K2;STAT3;PIK3CD;PIK3R3;PIK3R2;BRAF;EGFR;NRAS;RXRA;PIK3CA;ERBB2;AKT1;MAPK1;KRAS;SOS1;HRAS
Chemokine signaling pathway	30/190	4.1653955935104516E-11	4.75163645481933E-10	0	0	4.122577985433558	98.53631209863144	SHC1;ROCK2;PXN;PIK3R3;PIK3CD;CXCR4;PIK3R2;WASL;CRKL;GNAI2;CDC42;NRAS;RAP1A;AKT1;MAPK1;CCR7;RAC1;PRKACA;JAK2;HRAS;MAP2K1;PRKCD;STAT3;BRAF;PTK2;VAV2;PIK3CA;GNB1;KRAS;SOS1
VEGF signaling pathway	17/59	4.2306342467846875E-11	4.653697671463156E-10	0	0	7.5231225383900515	179.6979376539478	MAP2K1;MAP2K2;PXN;PIK3CD;PIK3R3;PIK3R2;PTK2;VEGFA;CDC42;NRAS;PIK3CA;KDR;AKT1;MAPK1;KRAS;RAC1;HRAS
Axon guidance	29/181	6.117070437921464E-11	6.496750671999348E-10	0	0	4.183315782640682	98.38051283142842	ROCK2;PIK3R3;ILK;PIK3CD;CXCR4;PIK3R2;GNAI2;CDC42;NRAS;ABLIM1;ABL1;MAPK1;FYN;RAC1;HRAS;EPHA5;EPHA7;UNC5B;NFATC3;PTPN11;SSH2;PTK2;SMO;PIK3CA;RASA1;PLXNB2;KRAS;EPHA3;EPHA2
Insulin signaling pathway	25/137	7.294444757784625E-11	7.488963284658881E-10	0	0	4.76453660117017	111.21058754629183	SHC1;INPPL1;PIK3R3;PIK3CD;IRS2;PIK3R2;CRKL;RPTOR;NRAS;AKT1;MAPK1;PRKACA;HRAS;EIF4E;PTPN1;MAP2K1;MAP2K2;BRAF;PPP1CA;PIK3CA;RPS6KB1;RAPGEF1;KRAS;SOS1;CALM2
Phospholipase D signaling pathway	26/148	7.3697411569388E-11	7.322194439797261E-10	0	0	4.5868322630724725	107.01562864329541	DGKD;SHC1;PIK3R3;PIK3CD;PIK3R2;EGFR;GRM3;GNA13;NRAS;AKT1;MAPK1;FYN;HRAS;CYTH1;PDGFRB;PDGFRA;MAP2K1;MAP2K2;SYK;PTPN11;PIK3CA;KIT;GNAS;KRAS;SOS1;RAPGEF3
Human T-cell leukemia virus 1 infection	32/219	7.536598333128666E-11	7.253975895636341E-10	0	0	3.8151102209187258	88.9251264290925	CRTC3;CRTC1;SLC2A1;PIK3R3;PIK3CD;PIK3R2;NRAS;CCND3;XPO1;CCND2;MYC;CHEK1;CDC27;AKT1;MAPK1;PRKACA;HRAS;JUN;MAP2K1;RANBP3;MAP2K2;HLA-B;NFATC3;HLA-A;TGFBR1;PIK3CA;CDC16;VDAC1;KRAS;CALR;TLN1;BCL2L1
Gastric cancer	26/149	8.609572748698027E-11	8.035601232118158E-10	0	0	4.556048153924334	105.58897340645923	SHC1;LRP5;PIK3R3;PIK3CD;PIK3R2;EGFR;NRAS;RXRA;MYC;ERBB2;AKT1;MAPK1;HRAS;TCF7L2;MAP2K1;MAP2K2;CSNK1A1;BRAF;TGFBR1;PIK3CA;RPS6KB1;BCL2;CTNNB1;KRAS;SOS1;FGFR2
Autophagy	24/128	9.698474098687083E-11	8.785676536457711E-10	0	0	4.895561357702349	112.87435113844626	MAP2K1;MAP2K2;MTMR3;DAPK1;PRKCD;ITPR1;PIK3R3;PIK3CD;IRS2;PIK3R2;AMBRA1;EIF2S1;RPTOR;PPP2CA;NRAS;PIK3CA;RPS6KB1;BCL2;AKT1;MAPK1;KRAS;PRKACA;HRAS;BCL2L1
Choline metabolism in cancer	21/99	1.2974644809082023E-10	1.141768743199218E-9	0	0	5.53841284911781	126.08439970326675	PDGFRB;PDGFRA;MAP2K1;JUN;DGKD;MAP2K2;PIK3R3;PIK3CD;PIK3R2;WASL;EGFR;NRAS;PIK3CA;RPS6KB1;AKT1;MAPK1;KRAS;RAC1;SOS1;HRAS;WASF2
Fc gamma R-mediated phagocytosis	20/91	1.818869954926113E-10	1.5561442947701188E-9	0	0	5.738386939431326	128.6984507823094	MAP2K1;GSN;SYK;MYO10;PRKCD;INPPL1;PIK3CD;PIK3R3;PIK3R2;ASAP1;WASL;CRKL;VAV2;CDC42;PIK3CA;RPS6KB1;AKT1;MAPK1;RAC1;WASF2
Hepatocellular carcinoma	27/168	2.605017113610459E-10	2.168500732410869E-9	0	0	4.196195449459157	92.60336869036406	SMARCD2;SMARCD3;SHC1;LRP5;PIK3R3;PIK3CD;PIK3R2;ACTB;EGFR;NRAS;MYC;AKT1;MAPK1;BRD7;HRAS;TCF7L2;MAP2K1;MAP2K2;CSNK1A1;BRAF;TGFBR1;PIK3CA;RPS6KB1;CTNNB1;KRAS;SOS1;BCL2L1
Glioma	18/75	3.174308623184585E-10	2.572860673528558E-9	0	0	6.266318537859007	137.0491555788124	PDGFRB;PDGFRA;MAP2K1;MAP2K2;SHC1;PIK3CD;PIK3R3;PIK3R2;BRAF;EGFR;NRAS;PIK3CA;AKT1;MAPK1;KRAS;SOS1;HRAS;CALM2
Pancreatic cancer	18/75	3.174308623184585E-10	2.506889887027826E-9	0	0	6.266318537859007	137.0491555788124	MAP2K1;STAT3;PIK3CD;PIK3R3;PIK3R2;BRAF;TGFBR1;EGFR;VEGFA;CDC42;PIK3CA;RPS6KB1;ERBB2;AKT1;MAPK1;KRAS;RAC1;BCL2L1
Breast cancer	25/147	3.497554730038029E-10	2.6931171421292824E-9	0	0	4.440418465036145	96.68472520103678	SHC1;LRP5;PIK3R3;PIK3CD;PIK3R2;EGFR;NRAS;MYC;ERBB2;AKT1;MAPK1;HRAS;TCF7L2;MAP2K1;JUN;MAP2K2;CSNK1A1;BRAF;PIK3CA;RPS6KB1;KIT;CTNNB1;KRAS;SOS1;FGFR1
Kaposi sarcoma-associated herpesvirus infection	28/186	5.766633430453061E-10	4.332007552633031E-9	0	0	3.930486538083607	83.61623704449134	ITPR1;PIK3R3;PIK3CD;ITPR3;PIK3R2;NRAS;MYC;AKT1;MAPK1;RAC1;JAK2;HRAS;MAP2K1;JUN;MAP2K2;SYK;STAT3;HLA-B;NFATC3;HLA-A;VEGFA;PIK3CA;TRAF3;GNB1;CTNNB1;KRAS;IL6ST;CALM2
Hepatitis C	25/155	1.1081943677748394E-9	8.126758697015489E-9	0	0	4.21123557651815	86.83792572149638	SCARB1;CD81;PIK3R3;PIK3CD;PIK3R2;EGFR;PPP2CA;NRAS;RXRA;MYC;AKT1;MAPK1;HRAS;YWHAG;MAP2K1;MAP2K2;STAT3;BRAF;EIF2S1;YWHAZ;PIK3CA;TRAF3;CTNNB1;KRAS;SOS1
Leukocyte transendothelial migration	21/112	1.4377430888683776E-9	1.02982528225921E-8	0	0	4.895561357702349	99.67456552996404	ROCK2;PXN;PIK3R3;MSN;PIK3CD;CXCR4;PIK3R2;PTPN11;ARHGAP5;ARHGAP35;ACTB;PTK2;VAV2;GNAI2;CDC42;RAP1A;PIK3CA;CTNNB1;RAC1;EZR;RAPGEF3
Bladder cancer	13/41	2.2520697229809605E-9	1.5764488060866724E-8	0	0	8.278672865057633	164.84010072393968	MAP2K1;MAP2K2;DAPK1;BRAF;EGFR;VEGFA;NRAS;MYC;ERBB2;MAPK1;KRAS;HRAS;FGFR3
Hepatitis B	25/163	3.244906497998871E-9	2.220958225297005E-8	0	0	4.004549167854683	78.27363605608569	PCNA;PIK3R3;PIK3CD;PIK3R2;NRAS;MYC;AKT1;MAPK1;JAK2;HRAS;MAP2K1;JUN;MAP2K2;STAT3;NFATC3;BRAF;YWHAZ;TGFBR1;DDB1;PIK3CA;TRAF3;BCL2;KRAS;SOS1;MYD88
Long-term potentiation	16/67	3.3202863303218187E-9	2.2231482385633045E-8	0	0	6.235142823740306	121.73003274175743	MAP2K1;MAP2K2;ITPR1;ITPR3;BRAF;PPP1CA;NRAS;RAP1A;RPS6KA2;GNAQ;MAPK1;KRAS;PRKACA;HRAS;CALM2;RAPGEF3
Fc epsilon RI signaling pathway	16/68	4.189293561393644E-9	2.7453242912962606E-8	0	0	6.143449546920595	118.51164932161876	MAP2K1;MAP2K2;SYK;PIK3CD;PIK3R3;PIK3R2;VAV2;NRAS;PIK3CA;AKT1;MAPK1;FYN;KRAS;RAC1;SOS1;HRAS
Relaxin signaling pathway	22/130	4.390023558154794E-9	2.8169317831493262E-8	0	0	4.418557943362121	85.03042525770877	MAP2K1;JUN;MAP2K2;SHC1;PIK3R3;PIK3CD;PIK3R2;TGFBR1;EGFR;GNAI2;VEGFA;NRAS;PIK3CA;COL4A1;GNB1;GNAS;AKT1;MAPK1;KRAS;PRKACA;SOS1;HRAS
Sphingolipid signaling pathway	21/119	4.521775271636702E-9	2.842258742171641E-8	0	0	4.607587160190447	88.5318437766871	MAP2K1;MAP2K2;SGMS1;ROCK2;PIK3R3;PIK3CD;PIK3R2;GNAI2;PPP2CA;GNA13;NRAS;PIK3CA;GNAQ;BCL2;AKT1;MAPK1;FYN;KRAS;RAC1;HRAS;MAP3K5
Gap junction	18/88	5.031787566302333E-9	3.099581140842237E-8	0	0	5.340612390220746	102.04570069720927	PDGFRB;PDGFRA;MAP2K1;MAP2K2;ITPR1;CSNK1D;ITPR3;EGFR;GNAI2;NRAS;GNA11;GNAQ;GNAS;MAPK1;KRAS;PRKACA;SOS1;HRAS
Long-term depression	15/60	5.2103113967879584E-9	3.146619431785669E-8	0	0	6.527415143603133	124.49494917695853	MAP2K1;MAP2K2;ITPR1;ITPR3;BRAF;GNAI2;PPP2CA;GNA13;NRAS;GNA11;GNAQ;GNAS;MAPK1;KRAS;HRAS
Human papillomavirus infection	37/330	5.319122045996667E-9	3.150556904167257E-8	0	0	2.9274467916765565	55.77359208148636	HDAC2;ITGB4;PXN;PIK3R3;PIK3CD;PIK3R2;CHD4;EGFR;PPP2CA;CDC42;NRAS;CCND3;CCND2;AKT1;MAPK1;PRKACA;HRAS;ATP6V1C1;PDGFRB;TCF7L2;MAP2K1;MAP2K2;CSNK1A1;HLA-B;HLA-A;PTK2;VEGFA;PKM;PIK3CA;RPS6KB1;COL4A1;TRAF3;GNAS;CTNNB1;KRAS;MAML3;SOS1
Apoptosis	23/143	5.414380410096671E-9	3.1464701251127823E-8	0	0	4.199455896583833	79.93331443585255	MAP2K1;JUN;MAP2K2;PARP1;ITPR1;PIK3R3;PIK3CD;ITPR3;PIK3R2;EIF2S1;ACTB;NRAS;BCL2L11;PIK3CA;BCL2;AKT1;MAPK1;KRAS;HRAS;SPTAN1;MAP3K5;MCL1;BCL2L1
FoxO signaling pathway	22/132	5.889970132985496E-9	3.3594644462213574E-8	0	0	4.351610095735421	82.46307619711138	MAP2K1;MAP2K2;PLK1;STAT3;PIK3R3;PIK3CD;IRS2;PIK3R2;BRAF;SOD2;TGFBR1;EGFR;NRAS;CCND2;BCL2L11;BCL6;PIK3CA;AKT1;MAPK1;KRAS;SOS1;HRAS
Prolactin signaling pathway	16/70	6.581769641620143E-9	3.68579099930728E-8	0	0	5.9679224170085785	112.42946473866331	MAP2K1;MAP2K2;SHC1;STAT3;PIK3CD;PIK3R3;PIK3R2;NRAS;CCND2;PIK3CA;AKT1;MAPK1;KRAS;JAK2;SOS1;HRAS
AGE-RAGE signaling pathway in diabetic complications	19/100	6.903074600861338E-9	3.796691030473736E-8	0	0	4.960835509138382	93.22054299608347	JUN;PRKCD;STAT3;PIK3R3;PIK3CD;PIK3R2;TGFBR1;VEGFA;CDC42;NRAS;PIK3CA;COL4A1;BCL2;AKT1;MAPK1;KRAS;RAC1;JAK2;HRAS
Thyroid cancer	12/37	7.0131931671469305E-9	3.7895850797916745E-8	0	0	8.467998024133795	158.9906659257726	RET;TCF7L2;NRAS;MAP2K1;RXRA;MAP2K2;MYC;MAPK1;CTNNB1;BRAF;KRAS;HRAS
Cholinergic synapse	20/112	8.517678889670146E-9	4.523181203480008E-8	0	0	4.662439388287952	86.63335492358767	MAP2K1;ITPR1;PIK3R3;PIK3CD;ITPR3;PIK3R2;GNAI2;NRAS;PIK3CA;GNAQ;GNA11;GNB1;BCL2;AKT1;MAPK1;FYN;KRAS;PRKACA;JAK2;HRAS
Platelet activation	21/124	9.70985856615823E-9	5.0688753192826014E-8	0	0	4.421797355344058	81.58271004197962	SYK;ROCK2;ITPR1;PIK3R3;PIK3CD;ITPR3;PIK3R2;ARHGAP35;ACTB;GNAI2;PPP1CA;GNA13;RAP1A;PIK3CA;GNAQ;GNAS;AKT1;MAPK1;FYN;PRKACA;TLN1
Adherens junction	16/72	1.0169835958525522E-8	5.220515792043101E-8	0	0	5.802146794313896	106.78177984888033	PTPN1;TCF7L2;CSNK2A1;PTPRJ;WASL;ACTB;TGFBR1;EGFR;CDC42;ERBB2;MAPK1;CTNNB1;FYN;RAC1;WASF2;FGFR1
Melanoma	16/72	1.0169835958525522E-8	5.134933565944034E-8	0	0	5.802146794313896	106.78177984888033	PDGFRB;PDGFRA;MAP2K1;MAP2K2;PIK3CD;PIK3R3;PIK3R2;BRAF;EGFR;NRAS;PIK3CA;AKT1;MAPK1;KRAS;HRAS;FGFR1
Oocyte meiosis	21/125	1.1256963832258081E-8	5.592169129573369E-8	0	0	4.386422976501306	80.2815366563537	MAP2K1;FBXW11;PLK1;CUL1;ITPR1;ITPR3;SMC3;YWHAZ;AURKA;PPP1CA;PPP2CA;AR;RPS6KA2;CDC27;CDC16;MAPK1;FBXO5;PRKACA;CPEB2;CALM2;YWHAG
GnRH signaling pathway	18/93	1.266069280841997E-8	6.189672039671985E-8	0	0	5.05348269182178	91.8963886003061	MAP2K1;JUN;MAP2K2;PRKCD;ITPR1;ITPR3;EGFR;CDC42;NRAS;GNA11;GNAQ;GNAS;MAPK1;KRAS;PRKACA;SOS1;HRAS;CALM2
Parathyroid hormone synthesis, secretion and action	19/106	1.879208512368676E-8	9.043690965774253E-8	0	0	4.680033499187152	83.25700062478926	MAP2K1;ITPR1;LRP5;ITPR3;BRAF;RUNX2;EGFR;GNAI2;GNA13;AKAP13;RXRA;GNAQ;GNA11;GNAS;BCL2;MAPK1;PRKACA;MEF2D;FGFR1
Progesterone-mediated oocyte maturation	18/99	3.524142009017964E-8	1.6699011365808197E-7	0	0	4.747211013529552	81.4670958415009	MAP2K1;HSP90AB1;PLK1;PIK3R3;PIK3CD;PIK3R2;BRAF;AURKA;GNAI2;PIK3CA;RPS6KA2;CDC27;CDC16;AKT1;MAPK1;KRAS;PRKACA;CPEB2
HIF-1 signaling pathway	18/100	4.146209911648555E-8	1.9348979587693257E-7	0	0	4.699738903394255	79.8884464290879	MAP2K1;MAP2K2;FLT1;STAT3;SLC2A1;PIK3R3;PIK3CD;PIK3R2;EGFR;VEGFA;PIK3CA;RPS6KB1;ERBB2;PGK1;BCL2;AKT1;MAPK1;EIF4E
T cell receptor signaling pathway	18/101	4.867519701654404E-8	2.2376060718053082E-7	0	0	4.653206835043817	78.35114450427236	MAP2K1;JUN;MAP2K2;NFATC3;PIK3R3;PIK3CD;PIK3R2;VAV2;CDC42;NRAS;PIK3CA;AKT1;MAPK1;FYN;KRAS;SOS1;HRAS;CARD11
