Gene	oncogene_p_value	oncogene_q_value	tsg_p_value	tsg_q_value
AR	1.63E-05	0.008571429	0.369555979	0.930786542
SMAD2	0.272318169	0.847042874	0.000670117	0.108849558
ZNF318	0.78385726	0.977027027	0.000294198	0.065060241
PPP6C	0.000108962	0.037735849	0.155461727	0.930786542
EED	0.58233179	0.934572003	0.000381367	0.072727273
CEBPA	0.678539907	0.958193568	0.000381367	0.072727273
MED12	0.000163443	0.052631579	0.141154999	0.930786542
IDH2	0.000108962	0.037735849	0.17643149	0.930786542
TMEM30A	0.383110869	0.888551933	0.000610188	0.102752294
KBTBD7	0.720828112	0.971474473	0.000381367	0.072727273
KLF4	8.72E-05	0.032653061	0.233816399	0.930786542
LAMTOR1	1.63E-05	0.008571429	0.479286298	0.934070569
BRD7	0.678539907	0.958193568	0.000392264	0.072727273
ERRFI1	0.965284664	0.982248586	0.000283302	0.065
MLLT4	0.068232089	0.717296678	0.002527922	0.246808511
RAF1	8.72E-05	0.032653061	0.300479433	0.930786542
ATG5	0.78385726	0.977027027	0.000381367	0.072727273
TSC1	0.418191229	0.903472222	0.000648325	0.107207207
ASXL2	0.638670662	0.953926276	0.000463089	0.083333333
SOX4	0.007229638	0.485765125	0.014709888	0.584415584
PCBP1	5.45E-05	0.027027027	0.425339145	0.930786542
CHEK2	0.000441297	0.12173913	0.096268047	0.912108981
MYC	8.17E-05	0.032653061	0.35977118	0.930786542
AXIN1	0.678539907	0.958193568	0.000484882	0.086407767
PRKACA	0.000473985	0.122535211	0.090324162	0.907443897
TCF7L2	0.418191229	0.903472222	0.000757287	0.115833333
MED23	0.216763825	0.821536238	0.001302098	0.161486486
RQCD1	0.000566603	0.142465753	0.086559521	0.907443897
CCND1	8.17E-05	0.032653061	0.413440479	0.930786542
SEC22A	0.902789431	0.980384111	0.00040316	0.074
NKX3-1	8.72E-05	0.032653061	0.324412966	0.930786542
EIF4A1	0.444129665	0.90941544	0.000757287	0.115833333
NFE2L3	0.977504767	0.985396529	0.000381367	0.072727273
SIN3A	0.096649414	0.733967729	0.002527922	0.246808511
CHUK	0.257194225	0.843150563	0.001242168	0.161486486
PIK3CB	8.72E-05	0.032653061	0.332890221	0.930786542
NCOA2	0.061204032	0.698631841	0.003742849	0.303982301
MOAP1	0.865360937	0.980384111	0.000463089	0.083333333
EIF2S2	8.72E-05	0.032653061	0.425339145	0.930786542
ZFP36L1	0.564728957	0.931237086	0.00069191	0.109482759
TP53BP1	0.204750749	0.814874241	0.001574503	0.179503106
MYCN	0.000190684	0.060344828	0.216823754	0.930786542
INPPL1	0.250046309	0.838895997	0.001312994	0.161744966
EZH2	0.011664397	0.546173469	0.013200763	0.562180974
NEK9	0.383110869	0.888551933	0.00103514	0.146153846
ZMYM4	0.515587034	0.922108545	0.000789975	0.117741935
CUL2	0.188624353	0.812228571	0.001721602	0.191515152
PRKCI	0.000473985	0.122535211	0.117030782	0.923925864
NME4	0.762413511	0.973841336	0.000610188	0.102752294
CBX4	0.080157995	0.723818437	0.003350586	0.288732394
PHF6	0.638670662	0.953926276	0.00069191	0.109482759
TTK	0.471255789	0.912244252	0.000942522	0.1384
CNN2	0.00448924	0.4	0.02808499	0.71398892
SP3	0.28828657	0.855675938	0.001340234	0.164
SENP8	0.92063198	0.980384111	0.000533914	0.09245283
DCUN1D1	0.35171343	0.880723056	0.001242168	0.161486486
SF3A3	0.331980387	0.870127088	0.001291201	0.161486486
SAMHD1	0.126771997	0.765931534	0.002598747	0.251052632
NUP93	0.007436666	0.485765125	0.021792427	0.672268908
SLA2	0.658567148	0.955799794	0.000757287	0.115833333
TSG101	0.515587034	0.922108545	0.000964315	0.14047619
HLA-B	0.658567148	0.955799794	0.000789975	0.117741935
MBNL1	0.805290112	0.980179045	0.000670117	0.108849558
WDR33	0.457455734	0.910299219	0.001078725	0.14887218
TBL1XR1	0.547997821	0.92841979	0.001018796	0.14609375
GOT2	8.72E-05	0.032653061	0.494693544	0.934070569
TBX3	0.418191229	0.903472222	0.001198583	0.158273381
STX7	0.457455734	0.910299219	0.001116862	0.152898551
ETV3	0.564728957	0.931237086	0.001018796	0.14609375
CUL1	0.01257423	0.546919431	0.015499864	0.596436059
ACVR1B	0.113979842	0.756910275	0.003132661	0.272511848
DNAJB5	8.72E-05	0.032653061	0.584015255	0.937424468
LDB1	0.272318169	0.847042874	0.001678017	0.188957055
EXOSC10	0.216763825	0.821536238	0.001966767	0.207471264
WT1	0.296366113	0.859483554	0.00161264	0.182716049
LRFN4	0.741242168	0.971474473	0.000795424	0.117741935
AMOTL1	0.383110869	0.888551933	0.001302098	0.161486486
NAA25	0.457455734	0.910299219	0.001149551	0.152898551
ASXL1	0.78385726	0.977027027	0.000795424	0.117741935
TCF12	0.341743394	0.878775567	0.001574503	0.179503106
RBM39	0.003508581	0.351912568	0.042991011	0.804383282
UCHL5	0.394175974	0.897655087	0.001394715	0.168421053
KLF5	0.003007355	0.338650307	0.048673386	0.824932004
ACTN4	0.091620812	0.733967729	0.004249523	0.320987654
CDK12	0.372105693	0.886207344	0.001520022	0.177707006
HNRNPD	0.699013893	0.967820774	0.00103514	0.146153846
SMAD7	0.123317897	0.764179608	0.003541269	0.296803653
SLC9A3R1	0.60049033	0.938681656	0.001133206	0.152898551
LATS1	0.117025334	0.758742494	0.003742849	0.303982301
TUBA3C	9.81E-05	0.035294118	0.604990466	0.937424468
RAPGEF6	0.720828112	0.971474473	0.001046037	0.146564885
RRAS2	0.000947971	0.193333333	0.119498774	0.923925864
CNOT3	0.002092073	0.295384615	0.066826478	0.864411557
ATP6AP2	0.00175429	0.266115702	0.075162081	0.893523316
SMARCD2	0.167769	0.791823091	0.002920185	0.264039409
MSX2	0.638670662	0.953926276	0.001133206	0.152898551
SUGP1	0.331980387	0.870127088	0.00181422	0.195882353
KRT15	0.000196132	0.061016949	0.390411332	0.930786542
CDC73	0.048308363	0.684349135	0.00765459	0.446031746
SMARCC2	0.280272405	0.852427506	0.002086625	0.215168539
E2F1	0.000947971	0.193333333	0.131332062	0.930786542
TNFRSF14	0.564728957	0.931237086	0.001291201	0.161486486
TWIST1	0.02092073	0.612440191	0.013936257	0.573542601
AAMP	0.762413511	0.973841336	0.001067829	0.148484848
MAP2K2	0.000332335	0.096825397	0.285502588	0.930786542
CHD2	0.372105693	0.886207344	0.00175429	0.193975904
LARP4B	0.471255789	0.912244252	0.001520022	0.177707006
MBD6	0.720828112	0.971474473	0.001149551	0.152898551
NIPBL	0.22961046	0.829625984	0.002527922	0.246808511
FBXO11	0.022696813	0.617185185	0.0136693	0.567647059
GPX7	9.81E-05	0.035294118	0.781520022	0.946505906
HIST1H3B	0.000375919	0.106153846	0.285502588	0.930786542
NOTCH2	0.078098611	0.723818437	0.005774993	0.388278388
IRF4	0.000713702	0.165822785	0.17643149	0.930786542
CCDC120	0.002702261	0.32	0.064353037	0.864411557
ROCK2	0.564728957	0.931237086	0.001394715	0.168421053
SFPQ	0.331980387	0.870127088	0.002053936	0.215168539
INTS12	0.010318714	0.52320442	0.025704168	0.713239437
BTRC	0.000212476	0.065	0.450661945	0.930786542
GNG2	0.038142196	0.665384615	0.010160719	0.523876404
VEGFA	0.658567148	0.955799794	0.001302098	0.161486486
BLMH	0.418191229	0.903472222	0.001786979	0.19408284
ATXN2	0.000294198	0.08852459	0.390411332	0.930786542
TXNRD1	0.001825116	0.272357724	0.088482702	0.907443897
CDK5RAP3	0.406140016	0.901087876	0.00184146	0.197660819
FLT3	0.003007355	0.338650307	0.061950422	0.864411557
SKAP2	0.000163443	0.052631579	0.627518387	0.937424468
FAM189A2	0.243154454	0.83704051	0.002718605	0.255897436
DARS	0.35171343	0.880723056	0.002086625	0.215168539
PPARD	0.000348679	0.1	0.350286026	0.930786542
ING1	0.58233179	0.934572003	0.001574503	0.179503106
KHSRP	0.272318169	0.847042874	0.002718605	0.255897436
USP10	0.000457641	0.12173913	0.285502588	0.930786542
RIT1	0.001024244	0.202150538	0.159302642	0.930786542
CUX1	0.22961046	0.829625984	0.003045492	0.267464115
SNCB	0.000299646	0.088709677	0.413440479	0.930786542
METTL22	0.638670662	0.953926276	0.001520022	0.177707006
PPP4R1	0.658567148	0.955799794	0.001481885	0.176623377
RABGGTB	0.162778534	0.789587738	0.004135113	0.318907563
BLVRA	0.000795424	0.175903614	0.211359303	0.930786542
MSL3	0.699013893	0.967820774	0.001481885	0.176623377
TUBGCP3	0.008330155	0.504620462	0.035249251	0.762971698
ZC3H18	0.372105693	0.886207344	0.002315445	0.232240437
GLIS2	0.845911196	0.980384111	0.001291201	0.161486486
LTA4H	0.000593844	0.147297297	0.251876873	0.930786542
NIT1	0.8259003	0.980384111	0.001302098	0.161486486
C2CD5	0.272318169	0.847042874	0.002860256	0.263819095
TP63	0.002702261	0.32	0.07815854	0.897747184
FUS	0.172912013	0.795438596	0.004135113	0.318907563
KLC1	0.28828657	0.855675938	0.002920185	0.264039409
BAX	0.741242168	0.971474473	0.001574503	0.179503106
TFG	0.331980387	0.870127088	0.002718605	0.255897436
FOXA1	0.020343231	0.6091354	0.020147099	0.647635727
PSMC5	0.018599837	0.589637306	0.020953419	0.663103448
MKLN1	0.61928085	0.95263996	0.001786979	0.19408284
STAT2	0.304647235	0.859483554	0.002985563	0.266019417
MAPK8	0.015418142	0.567134269	0.024679924	0.699074074
DHX30	0.107758104	0.750341426	0.006352493	0.407692308
PHACTR4	0.457455734	0.910299219	0.002255516	0.227472527
PTGS2	0.28828657	0.855675938	0.003132661	0.272511848
CDK17	0.052388995	0.693200549	0.010749115	0.527540107
ROCK1	0.341743394	0.878775567	0.002816671	0.262436548
JUN	0.00509398	0.428899083	0.056360665	0.853547855
TOP2A	0.000724598	0.16625	0.25815854	0.930786542
RIC3	0.61928085	0.95263996	0.001868701	0.199418605
NUP98	0.00175429	0.266115702	0.125192046	0.928444444
VAPA	0.243154454	0.83704051	0.003742849	0.303982301
PLK1	0.058142196	0.697766433	0.010160719	0.523876404
N4BP2L2	0.699013893	0.967820774	0.001786979	0.19408284
TCF4	0.039144647	0.665384615	0.01346772	0.565675057
SGPL1	0.762413511	0.973841336	0.001688913	0.18902439
TJP2	0.003966222	0.375257732	0.069376192	0.878206897
RXRA	0.000877145	0.185057471	0.245562517	0.930786542
RPL22	0.471255789	0.912244252	0.002418959	0.241304348
ACADS	0.003410515	0.351912568	0.079700354	0.898035605
EPS8	0.35171343	0.880723056	0.002985563	0.266019417
TMEM237	0.678539907	0.958193568	0.001923182	0.204046243
BLM	0.002092073	0.295384615	0.122484337	0.925947282
ACVR2A	0.60049033	0.938681656	0.002141106	0.219553073
SMARCA1	0.10469082	0.743941154	0.007529284	0.442948718
LZTR1	0.00520839	0.434545455	0.061950422	0.864411557
CUL3	0.188624353	0.812228571	0.005186598	0.361977186
TET2	0.658567148	0.955799794	0.002086625	0.215168539
TAF1	0.010318714	0.52320442	0.03930809	0.786804798
UBQLN1	0.331980387	0.870127088	0.003541269	0.296803653
RFC1	0.001825116	0.272357724	0.148155816	0.930786542
AGO3	0.00175429	0.266115702	0.155461727	0.930786542
MORC4	0.658567148	0.955799794	0.002206483	0.223756906
RBM11	0.35171343	0.880723056	0.003459548	0.293981481
VMP1	0.001051485	0.203157895	0.25815854	0.930786542
MAP2K7	0.018136747	0.58712522	0.027589213	0.713239437
SOD1	0.123317897	0.764179608	0.007196949	0.431699346
FBXO22	0.001051485	0.203157895	0.27110869	0.930786542
SYCE1	0.00069191	0.164935065	0.369555979	0.930786542
FGFR1	0.000909834	0.189772727	0.308281122	0.930786542
RRAD	0.000457641	0.12173913	0.564211387	0.934919202
GNAS	0.003851811	0.372105263	0.090324162	0.907443897
CASK	0.183159902	0.808343352	0.005878507	0.390942029
TBC1D7	0.547997821	0.92841979	0.002718605	0.255897436
HOXA1	0.001432852	0.246788991	0.211359303	0.930786542
ATRIP	0.141514574	0.772605592	0.006924544	0.423666667
ERCC6L2	0.183159902	0.808343352	0.005971125	0.394244604
MTFR1L	0.60049033	0.938681656	0.002598747	0.251052632
PSTPIP1	0.188624353	0.812228571	0.005878507	0.390942029
ERCC2	0.001013348	0.202150538	0.308281122	0.930786542
SF1	0.061204032	0.698631841	0.012759466	0.562180974
RERE	0.018136747	0.58712522	0.030449469	0.723027167
KCNQ5	0.000795424	0.175903614	0.379449741	0.930786542
TRIM41	0.00448924	0.4	0.08305094	0.902011834
USP48	0.00448924	0.4	0.084712612	0.903486345
RABL6	0.002413511	0.30979021	0.141154999	0.930786542
TRAF4	0.304647235	0.859483554	0.004249523	0.320987654
BCLAF1	0.061204032	0.698631841	0.013200763	0.562180974
MFN2	0.28828657	0.855675938	0.004505584	0.333467742
CERK	0.430847181	0.905449966	0.003541269	0.296803653
EFTUD2	0.003154454	0.348795181	0.114415691	0.923925864
SUZ12	0.243154454	0.83704051	0.00538273	0.368656716
MYCBP	0.531609916	0.927449862	0.003045492	0.267464115
PTN	0.001263961	0.234	0.27110869	0.930786542
GATA3	0.22961046	0.829625984	0.005562517	0.378148148
EIF1AX	0.008330155	0.504620462	0.057504767	0.858601728
ITGB1	0.000866249	0.185057471	0.390411332	0.930786542
CDK13	0.005589758	0.446086957	0.073772814	0.892028986
RAD50	0.004075184	0.379695431	0.096268047	0.912108981
WWP1	0.304647235	0.859483554	0.004625443	0.340963855
ADH5	0.341743394	0.878775567	0.004249523	0.320987654
TRIM8	0.000653773	0.16	0.494693544	0.934070569
CSDE1	0.444129665	0.90941544	0.003639335	0.300900901
NOS3	0.002625987	0.319205298	0.141154999	0.930786542
GTF2E2	0.36184146	0.88601921	0.004080632	0.318907563
CD58	0.58233179	0.934572003	0.002985563	0.266019417
TRIM32	0.0940997	0.733967729	0.010749115	0.527540107
TSPYL1	0.762413511	0.973841336	0.002478889	0.245945946
GGCT	0.902789431	0.980384111	0.002206483	0.223756906
KCNE4	0.000446745	0.12173913	0.781520022	0.946505906
TOP2B	0.372105693	0.886207344	0.004135113	0.318907563
UBR5	0.017651866	0.586956522	0.034611822	0.7617506
ZMYM6	0.341743394	0.878775567	0.004412966	0.329268293
SPEN	0.383110869	0.888551933	0.004080632	0.318907563
ESR2	0.002478889	0.313793103	0.155461727	0.930786542
NFYB	0.406140016	0.901087876	0.004015255	0.318907563
PRDX4	0.243154454	0.83704051	0.005774993	0.388278388
ING5	0.485982021	0.916396137	0.003639335	0.300900901
POLR2A	0.002304549	0.30979021	0.17643149	0.930786542
GJA1	0.394175974	0.897655087	0.004080632	0.318907563
MSH2	0.074154181	0.722068966	0.013200763	0.562180974
ATR	0.019716698	0.601162791	0.033271588	0.753020962
CUL4B	0.02215745	0.617185185	0.031582675	0.738471338
PLCG1	0.002555162	0.316891892	0.159302642	0.930786542
GPATCH2L	0.006684827	0.473745174	0.072236448	0.888077696
CCDC88A	0.304647235	0.859483554	0.005088532	0.361977186
FAM134C	0.296366113	0.859483554	0.005186598	0.361977186
LAMB1	0.007649142	0.489198606	0.066826478	0.864411557
NRF1	0.002702261	0.32	0.155461727	0.930786542
UXT	0.457455734	0.910299219	0.003879052	0.312280702
HAT1	0.564728957	0.931237086	0.003350586	0.288732394
RALYL	0.000713702	0.165822785	0.544903296	0.934650967
MAP3K12	0.296366113	0.859483554	0.00538273	0.368656716
THRAP3	0.35171343	0.880723056	0.004739853	0.346613546
SYK	0.00204304	0.295384615	0.211359303	0.930786542
FBXW11	0.001465541	0.246788991	0.27110869	0.930786542
ACTB	0.003410515	0.351912568	0.131332062	0.930786542
HMGB2	0.000670117	0.161842105	0.604990466	0.937424468
GNG12	0.58233179	0.934572003	0.003459548	0.293981481
CBX3	0.383110869	0.888551933	0.004505584	0.333467742
GGPS1	0.805290112	0.980179045	0.002783983	0.260714286
DNAJC1	0.699013893	0.967820774	0.003045492	0.267464115
DSTN	0.154132389	0.787611359	0.008700627	0.488379205
GNA11	0.000866249	0.185057471	0.510721874	0.934650967
RFX6	0.002413511	0.30979021	0.185301008	0.930786542
MYH10	0.003851811	0.372105263	0.125192046	0.928444444
ZFYVE9	0.084271316	0.723818437	0.013200763	0.562180974
HDAC1	0.080157995	0.723818437	0.01346772	0.565675057
NEU2	0.762413511	0.973841336	0.002920185	0.264039409
TPX2	0.28828657	0.855675938	0.005774993	0.388278388
RARS2	0.00204304	0.295384615	0.222429856	0.930786542
KLK8	0.000877145	0.185057471	0.527256878	0.934650967
ALG2	0.001263961	0.234	0.35977118	0.930786542
POLR3B	0.001601743	0.255652174	0.277847998	0.930786542
SPSB2	0.805290112	0.980179045	0.002860256	0.263819095
XPO4	0.070111686	0.718136161	0.015200218	0.596153846
PPP3CC	0.457455734	0.910299219	0.004249523	0.320987654
SUDS3	0.35171343	0.880723056	0.005186598	0.361977186
CCDC6	0.485982021	0.916396137	0.004135113	0.318907563
DHTKD1	0.001334786	0.235576923	0.341340234	0.930786542
KIAA0020	0.004619995	0.409661836	0.112111141	0.923925864
ARRDC3	0.485982021	0.916396137	0.004135113	0.318907563
PHF5A	0.005459003	0.443362832	0.096268047	0.912108981
RASA2	0.457455734	0.910299219	0.004412966	0.329268293
ARNTL2	0.61928085	0.95263996	0.003710161	0.303982301
HDAC9	0.000795424	0.175903614	0.627518387	0.937424468
RANBP3	0.009871969	0.522190202	0.064353037	0.864411557
ESR1	0.01257423	0.546919431	0.053331517	0.841617523
HM13	0.034279488	0.664413939	0.026248978	0.713239437
TEX11	0.158398257	0.788126864	0.009359847	0.496531792
PNN	0.003007355	0.338650307	0.171931354	0.930786542
ZNF750	0.845911196	0.980384111	0.002920185	0.264039409
TAOK1	0.28828657	0.855675938	0.00621629	0.403180212
TNPO1	0.250046309	0.838895997	0.006810133	0.420875421
LPAR1	0.133892672	0.767280674	0.010525742	0.526430518
BAG1	0.002555162	0.316891892	0.211359303	0.930786542
CNOT1	0.096649414	0.733967729	0.013200763	0.562180974
DUSP16	0.699013893	0.967820774	0.003639335	0.300900901
IQGAP1	0.141514574	0.772605592	0.010384092	0.526430518
SLC25A13	0.236289839	0.835021178	0.007529284	0.442948718
IREB2	0.005758649	0.451417004	0.100533914	0.913967311
TMEM131	0.099286298	0.734246575	0.013200763	0.562180974
DST	0.053707437	0.693200549	0.020555707	0.657317073
CCK	0.002702261	0.32	0.206036502	0.930786542
HARS	0.001013348	0.202150538	0.564211387	0.934919202
CNOT8	0.372105693	0.886207344	0.005562517	0.378148148
PPP2R5D	0.008787796	0.512063492	0.075162081	0.893523316
HDAC2	0.304647235	0.859483554	0.006352493	0.407692308
ITFG1	0.547997821	0.92841979	0.004320349	0.325
LARP1	0.053707437	0.693200549	0.020953419	0.663103448
PER1	0.001601743	0.255652174	0.341340234	0.930786542
TNIK	0.039144647	0.665384615	0.026248978	0.713239437
FOXP1	0.430847181	0.905449966	0.00538273	0.368656716
TOX4	0.011103242	0.534908136	0.065540725	0.864411557
QRICH1	0.008787796	0.512063492	0.07815854	0.897747184
PNISR	0.28828657	0.855675938	0.006924544	0.423666667
NR1H3	0.002092073	0.295384615	0.285502588	0.930786542
SMCHD1	0.078098611	0.723818437	0.016349768	0.607489879
CLCN3	0.60049033	0.938681656	0.004249523	0.320987654
DDX10	0.313707437	0.864839291	0.006603105	0.417931034
HCK	0.003966222	0.375257732	0.159302642	0.930786542
HSPBP1	0.457455734	0.910299219	0.005186598	0.361977186
ARL1	0.500550259	0.920048067	0.004968673	0.360474308
ATXN1	0.002625987	0.319205298	0.233816399	0.930786542
ZFP36L2	0.014584582	0.554244306	0.054426587	0.841617523
PDGFRA	0.006870063	0.477651515	0.098490874	0.912108981
FAM210B	0.515587034	0.922108545	0.004968673	0.360474308
CCAR2	0.039144647	0.665384615	0.02808499	0.71398892
KHDRBS1	0.22961046	0.829625984	0.008515391	0.479447853
POT1	0.007436666	0.485765125	0.096268047	0.912108981
BMPR2	0.331980387	0.870127088	0.006603105	0.417931034
WWC1	0.199008445	0.813360053	0.009359847	0.496531792
METTL1	0.394175974	0.897655087	0.005971125	0.394244604
CLN3	0.005459003	0.443362832	0.122484337	0.925947282
AREL1	0.002756742	0.322292994	0.233816399	0.930786542
FNIP1	0.066423318	0.712565751	0.019792972	0.640740741
CMTR2	0.699013893	0.967820774	0.004080632	0.318907563
PFKM	0.158398257	0.788126864	0.010977935	0.528871391
